,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-17 20:54:00-04:00,79.15,79.15,79.13,79.13,6,4,474.82
2021-08-17 21:55:00-04:00,79.195,79.195,79.195,79.195,1,1,79.195
2021-08-17 22:04:00-04:00,79.135,79.135,79.135,79.135,1,1,79.135
2021-08-18 01:34:00-04:00,79.275,79.275,79.275,79.275,1,1,79.275
2021-08-18 03:00:00-04:00,79.31,79.31,79.31,79.31,1,1,79.31
2021-08-18 03:06:00-04:00,79.3,79.3,79.3,79.3,20,4,1586.0
2021-08-18 03:08:00-04:00,79.3,79.3,79.3,79.3,58,13,4599.4
2021-08-18 03:13:00-04:00,79.3,79.3,79.3,79.3,8,2,634.4
2021-08-18 03:14:00-04:00,79.3,79.3,79.3,79.3,14,2,1110.2
2021-08-18 06:32:00-04:00,79.175,79.175,79.175,79.175,1,1,79.175
2021-08-18 10:08:00-04:00,79.255,79.255,79.255,79.255,1,1,79.255
2021-08-18 11:55:00-04:00,79.115,79.115,79.115,79.115,1,1,79.115
2021-08-18 12:21:00-04:00,79.045,79.045,79.03,79.03,4,3,316.155
2021-08-18 12:22:00-04:00,79.045,79.045,79.045,79.045,5,1,395.225
2021-08-18 12:35:00-04:00,79.085,79.085,79.085,79.085,5,1,395.425
2021-08-18 13:01:00-04:00,79.065,79.065,79.06,79.06,3,2,237.185
