,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-26 21:37:00-04:00,80.705,80.705,80.705,80.705,3,1,242.115
2021-10-26 21:41:00-04:00,80.725,80.725,80.725,80.725,2,1,161.45
2021-10-27 05:58:00-04:00,80.535,80.535,80.535,80.535,1,1,80.535
2021-10-27 06:03:00-04:00,80.515,80.515,80.515,80.515,1,1,80.515
2021-10-27 08:48:00-04:00,80.545,80.545,80.545,80.545,2,1,161.09
2021-10-27 08:57:00-04:00,80.48,80.48,80.48,80.48,1,1,80.48
2021-10-27 09:02:00-04:00,80.475,80.475,80.475,80.475,2,1,160.95
2021-10-27 09:57:00-04:00,80.56,80.56,80.56,80.56,1,1,80.56
2021-10-27 10:01:00-04:00,81.045,81.045,80.82,80.82,26,7,2103.35
2021-10-27 10:02:00-04:00,81.07,81.07,81.07,81.07,1,1,81.07
2021-10-27 10:05:00-04:00,81.04,81.04,81.04,81.04,6,2,486.24
2021-10-27 10:11:00-04:00,81.165,81.23,81.165,81.23,6,3,487.235
2021-10-27 10:20:00-04:00,81.105,81.105,81.105,81.105,1,1,81.105
2021-10-27 10:32:00-04:00,81.23,81.23,81.23,81.23,1,1,81.23
2021-10-27 10:48:00-04:00,81.04,81.04,81.04,81.04,1,1,81.04
2021-10-27 10:49:00-04:00,81.02,81.02,81.02,81.02,2,2,162.04
2021-10-27 11:20:00-04:00,80.99,80.99,80.99,80.99,3,1,242.97
2021-10-27 11:36:00-04:00,80.995,80.995,80.995,80.995,1,1,80.995
2021-10-27 11:48:00-04:00,80.975,80.975,80.965,80.965,2,2,161.94
2021-10-27 12:31:00-04:00,81.12,81.12,81.12,81.12,3,1,243.36
2021-10-27 13:04:00-04:00,81.115,81.115,81.115,81.115,8,5,648.92
2021-10-27 13:05:00-04:00,81.115,81.115,81.115,81.115,10,6,811.15
2021-10-27 13:10:00-04:00,81.125,81.125,81.125,81.125,5,1,405.625
2021-10-27 13:36:00-04:00,81.055,81.055,81.055,81.055,1,1,81.055
2021-10-27 14:55:00-04:00,80.985,80.985,80.985,80.985,6,2,485.91
