,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy,CDM22 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-26 18:06:00-04:00,80.65,80.65,80.65,80.65,2,2,161.3
2021-10-26 20:35:00-04:00,80.655,80.655,80.655,80.655,1,1,80.655
2021-10-26 20:53:00-04:00,80.63,80.63,80.63,80.63,2,1,161.26
2021-10-26 20:54:00-04:00,80.63,80.63,80.63,80.63,2,1,161.26
2021-10-26 20:55:00-04:00,80.635,80.635,80.635,80.635,2,1,161.27
2021-10-26 21:02:00-04:00,80.655,80.655,80.655,80.655,2,1,161.31
2021-10-26 21:04:00-04:00,80.67,80.67,80.67,80.67,2,1,161.34
2021-10-27 03:24:00-04:00,80.645,80.655,80.645,80.655,4,2,322.6
2021-10-27 03:40:00-04:00,80.635,80.635,80.635,80.635,2,1,161.27
2021-10-27 04:00:00-04:00,80.575,80.575,80.575,80.575,2,1,161.15
2021-10-27 10:10:00-04:00,81.03,81.135,81.03,81.135,3,2,243.3
2021-10-27 11:10:00-04:00,81.0,81.0,81.0,81.0,3,3,243.0
2021-10-27 11:45:00-04:00,80.91,80.91,80.91,80.91,1,1,80.91
2021-10-27 11:51:00-04:00,80.86,80.86,80.86,80.86,1,1,80.86
2021-10-27 12:29:00-04:00,81.025,81.025,81.025,81.025,5,2,405.125
2021-10-27 13:10:00-04:00,81.04,81.04,81.04,81.04,1,1,81.04
2021-10-27 13:12:00-04:00,81.05,81.05,81.05,81.05,1,1,81.05
2021-10-27 13:24:00-04:00,80.97,80.97,80.97,80.97,1,1,80.97
2021-10-27 13:38:00-04:00,80.925,80.925,80.925,80.925,1,1,80.925
2021-10-27 13:44:00-04:00,80.945,80.945,80.945,80.945,1,1,80.945
2021-10-27 13:50:00-04:00,80.955,80.955,80.955,80.955,1,1,80.955
2021-10-27 14:09:00-04:00,80.95,80.95,80.95,80.95,1,1,80.95
2021-10-27 14:22:00-04:00,80.94,80.94,80.94,80.94,1,1,80.94
2021-10-27 14:28:00-04:00,80.925,80.925,80.925,80.925,1,1,80.925
2021-10-27 14:29:00-04:00,80.935,80.935,80.935,80.935,1,1,80.935
2021-10-27 14:35:00-04:00,80.885,80.885,80.885,80.885,1,1,80.885
2021-10-27 14:42:00-04:00,80.895,80.895,80.895,80.895,1,1,80.895
2021-10-27 14:51:00-04:00,80.89,80.89,80.89,80.89,1,1,80.89
2021-10-27 14:55:00-04:00,80.875,80.875,80.875,80.875,5,5,404.375
2021-10-27 15:48:00-04:00,80.81,80.81,80.81,80.81,2,2,161.62
