,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy,CDZ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-13 18:00:00-04:00,79.055,79.07,79.055,79.065,93,19,7352.56
2021-09-13 18:01:00-04:00,79.065,79.065,79.065,79.065,12,2,948.78
2021-09-13 18:02:00-04:00,79.07,79.07,79.07,79.07,7,2,553.49
2021-09-13 18:03:00-04:00,79.07,79.07,79.07,79.07,5,3,395.35
2021-09-13 18:04:00-04:00,79.065,79.065,79.065,79.065,11,2,869.715
2021-09-13 18:06:00-04:00,79.06,79.065,79.06,79.065,19,3,1502.16
2021-09-13 18:09:00-04:00,79.065,79.075,79.065,79.065,35,10,2767.39
2021-09-13 18:10:00-04:00,79.06,79.06,79.055,79.055,7,3,553.405
2021-09-13 18:13:00-04:00,79.06,79.06,79.06,79.06,2,1,158.12
2021-09-13 18:17:00-04:00,79.065,79.065,79.065,79.065,1,1,79.065
2021-09-13 18:18:00-04:00,79.065,79.065,79.065,79.065,5,1,395.325
2021-09-13 18:19:00-04:00,79.065,79.065,79.065,79.065,4,1,316.26
2021-09-13 18:25:00-04:00,79.07,79.075,79.07,79.075,21,4,1660.48
2021-09-13 18:28:00-04:00,79.07,79.07,79.07,79.07,1,1,79.07
2021-09-13 18:29:00-04:00,79.065,79.065,79.06,79.06,10,3,790.605
2021-09-13 18:30:00-04:00,79.06,79.06,79.06,79.06,2,1,158.12
2021-09-13 18:35:00-04:00,79.06,79.06,79.06,79.06,1,1,79.06
2021-09-13 18:40:00-04:00,79.065,79.065,79.065,79.065,1,1,79.065
2021-09-13 18:46:00-04:00,79.065,79.065,79.065,79.065,1,1,79.065
2021-09-13 18:51:00-04:00,79.065,79.065,79.065,79.065,4,4,316.26
2021-09-13 18:54:00-04:00,79.065,79.07,79.065,79.07,9,2,711.61
2021-09-13 18:58:00-04:00,79.055,79.055,79.055,79.055,10,1,790.55
2021-09-13 18:59:00-04:00,79.055,79.055,79.05,79.05,44,8,3478.3
2021-09-13 19:00:00-04:00,79.045,79.06,79.045,79.055,33,10,2608.6
2021-09-13 19:01:00-04:00,79.05,79.065,79.05,79.065,50,11,3952.84
2021-09-13 19:02:00-04:00,79.06,79.06,79.06,79.06,1,1,79.06
2021-09-13 19:04:00-04:00,79.055,79.06,79.055,79.06,13,3,1027.775
2021-09-13 19:05:00-04:00,79.06,79.06,79.06,79.06,3,1,237.18
2021-09-13 19:06:00-04:00,79.055,79.055,79.055,79.055,2,1,158.11
2021-09-13 19:14:00-04:00,79.06,79.065,79.06,79.06,30,5,2371.825
2021-09-13 19:15:00-04:00,79.06,79.06,79.06,79.06,5,2,395.3
2021-09-13 19:17:00-04:00,79.06,79.06,79.06,79.06,1,1,79.06
2021-09-13 19:19:00-04:00,79.06,79.06,79.06,79.06,1,1,79.06
2021-09-13 19:22:00-04:00,79.065,79.065,79.065,79.065,1,1,79.065
2021-09-13 19:27:00-04:00,79.065,79.065,79.065,79.065,4,2,316.26
2021-09-13 19:32:00-04:00,79.065,79.065,79.065,79.065,1,1,79.065
2021-09-13 19:38:00-04:00,79.06,79.06,79.06,79.06,3,1,237.18
2021-09-13 19:46:00-04:00,79.06,79.06,79.06,79.06,2,1,158.12
2021-09-13 19:48:00-04:00,79.06,79.06,79.06,79.06,8,3,632.48
2021-09-13 19:54:00-04:00,79.06,79.06,79.06,79.06,6,2,474.36
2021-09-13 19:56:00-04:00,79.055,79.06,79.05,79.06,7,3,553.365
2021-09-13 19:59:00-04:00,79.05,79.05,79.05,79.05,1,1,79.05
2021-09-13 20:00:00-04:00,79.045,79.055,79.045,79.055,7,4,553.34
2021-09-13 20:01:00-04:00,79.06,79.06,79.035,79.035,10,8,790.475
2021-09-13 20:02:00-04:00,79.04,79.04,79.035,79.035,36,11,2845.38
2021-09-13 20:03:00-04:00,79.035,79.04,79.035,79.04,4,3,316.155
2021-09-13 20:04:00-04:00,79.04,79.04,79.035,79.035,10,5,790.365
2021-09-13 20:05:00-04:00,79.04,79.045,79.04,79.045,5,2,395.205
2021-09-13 20:06:00-04:00,79.045,79.045,79.04,79.04,2,2,158.085
2021-09-13 20:07:00-04:00,79.035,79.035,79.035,79.035,1,1,79.035
2021-09-13 20:08:00-04:00,79.03,79.035,79.03,79.035,4,4,316.125
2021-09-13 20:09:00-04:00,79.03,79.03,79.02,79.03,19,6,1501.54
2021-09-13 20:11:00-04:00,79.03,79.035,79.03,79.035,2,2,158.065
2021-09-13 20:12:00-04:00,79.03,79.03,79.03,79.03,2,1,158.06
2021-09-13 20:14:00-04:00,79.03,79.03,79.03,79.03,16,8,1264.48
2021-09-13 20:15:00-04:00,79.03,79.03,79.03,79.03,2,2,158.06
2021-09-13 20:16:00-04:00,79.025,79.025,79.025,79.025,10,3,790.25
2021-09-13 20:17:00-04:00,79.025,79.03,79.025,79.03,13,4,1027.385
2021-09-13 20:18:00-04:00,79.02,79.025,79.02,79.025,8,4,632.165
2021-09-13 20:19:00-04:00,79.025,79.025,79.025,79.025,1,1,79.025
2021-09-13 20:20:00-04:00,79.03,79.03,79.025,79.025,3,3,237.08
2021-09-13 20:22:00-04:00,79.025,79.025,79.02,79.02,15,6,1185.305
2021-09-13 20:24:00-04:00,79.02,79.02,79.02,79.02,2,1,158.04
2021-09-13 20:25:00-04:00,79.015,79.015,79.005,79.005,55,22,4345.67
2021-09-13 20:26:00-04:00,79.015,79.025,79.015,79.025,17,5,1343.335
2021-09-13 20:27:00-04:00,79.03,79.03,79.03,79.03,2,2,158.06
2021-09-13 20:29:00-04:00,79.045,79.05,79.045,79.05,7,3,553.345
2021-09-13 20:30:00-04:00,79.05,79.055,79.05,79.05,8,7,632.405
2021-09-13 20:31:00-04:00,79.05,79.05,79.05,79.05,3,2,237.15
2021-09-13 20:32:00-04:00,79.05,79.055,79.05,79.055,8,3,632.425
2021-09-13 20:33:00-04:00,79.06,79.08,79.06,79.08,63,13,4981.651
2021-09-13 20:34:00-04:00,79.07,79.08,79.07,79.075,21,3,1660.605
2021-09-13 20:35:00-04:00,79.075,79.075,79.075,79.075,2,1,158.15
2021-09-13 20:36:00-04:00,79.085,79.09,79.085,79.085,17,9,1344.475
2021-09-13 20:37:00-04:00,79.085,79.085,79.085,79.085,2,2,158.17
2021-09-13 20:39:00-04:00,79.09,79.095,79.09,79.09,10,6,790.915
2021-09-13 20:40:00-04:00,79.09,79.09,79.09,79.09,2,2,158.18
2021-09-13 20:41:00-04:00,79.09,79.09,79.09,79.09,1,1,79.09
