,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-03 18:00:00-04:00,82.57,82.585,82.56,82.585,176,32,14533.224
2021-06-03 18:01:00-04:00,82.58,82.585,82.58,82.58,31,16,2560.1
2021-06-03 18:02:00-04:00,82.58,82.58,82.58,82.58,12,2,990.96
2021-06-03 18:03:00-04:00,82.58,82.58,82.58,82.58,12,4,990.96
2021-06-03 18:04:00-04:00,82.58,82.58,82.58,82.58,1,1,82.58
2021-06-03 18:05:00-04:00,82.575,82.575,82.575,82.575,1,1,82.575
2021-06-03 18:06:00-04:00,82.575,82.575,82.575,82.575,1,1,82.575
2021-06-03 18:07:00-04:00,82.58,82.58,82.58,82.58,3,1,247.74
2021-06-03 18:08:00-04:00,82.58,82.585,82.58,82.58,46,9,3798.705
2021-06-03 18:09:00-04:00,82.58,82.58,82.58,82.58,2,1,165.16
2021-06-03 18:10:00-04:00,82.58,82.58,82.58,82.58,1,1,82.58
2021-06-03 18:11:00-04:00,82.58,82.585,82.58,82.585,20,3,1651.605
2021-06-03 18:12:00-04:00,82.585,82.585,82.585,82.585,2,2,165.17
2021-06-03 18:13:00-04:00,82.585,82.59,82.585,82.59,5,2,412.935
2021-06-03 18:14:00-04:00,82.585,82.59,82.585,82.585,33,8,2725.395
2021-06-03 18:15:00-04:00,82.585,82.59,82.585,82.585,19,6,1569.14
2021-06-03 18:16:00-04:00,82.585,82.585,82.585,82.585,2,2,165.17
2021-06-03 18:19:00-04:00,82.585,82.585,82.585,82.585,1,1,82.585
2021-06-03 18:21:00-04:00,82.585,82.585,82.585,82.585,1,1,82.585
2021-06-03 18:23:00-04:00,82.58,82.58,82.58,82.58,6,1,495.48
2021-06-03 18:24:00-04:00,82.585,82.585,82.585,82.585,1,1,82.585
2021-06-03 18:25:00-04:00,82.585,82.585,82.585,82.585,1,1,82.585
2021-06-03 18:26:00-04:00,82.59,82.59,82.585,82.585,5,5,412.93
2021-06-03 18:27:00-04:00,82.585,82.585,82.585,82.585,10,5,825.85
2021-06-03 18:29:00-04:00,82.59,82.59,82.59,82.59,16,7,1321.44
2021-06-03 18:30:00-04:00,82.59,82.59,82.58,82.585,13,5,1073.625
2021-06-03 18:31:00-04:00,82.58,82.58,82.58,82.58,5,1,412.9
2021-06-03 18:32:00-04:00,82.58,82.58,82.575,82.575,16,5,1321.25
2021-06-03 18:33:00-04:00,82.585,82.585,82.58,82.58,4,3,330.335
2021-06-03 18:40:00-04:00,82.58,82.58,82.58,82.58,1,1,82.58
2021-06-03 18:42:00-04:00,82.58,82.58,82.58,82.58,1,1,82.58
2021-06-03 18:45:00-04:00,82.585,82.585,82.585,82.585,7,3,578.095
2021-06-03 18:46:00-04:00,82.58,82.58,82.58,82.58,2,1,165.16
