,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty
,open,high,low,close,volume,num_trds,value
2021-08-15 20:00:00-04:00,1361.75,1363.5,1361.25,1361.25,31,13,42213.0
2021-08-15 20:01:00-04:00,1360.75,1360.75,1360.75,1360.75,1,1,1360.75
2021-08-15 20:02:00-04:00,1360.0,1360.0,1358.75,1358.75,4,4,5437.25
2021-08-15 20:04:00-04:00,1360.75,1360.75,1360.75,1360.75,1,1,1360.75
2021-08-15 20:13:00-04:00,1362.25,1362.25,1362.25,1362.25,1,1,1362.25
2021-08-15 20:19:00-04:00,1360.25,1360.25,1360.25,1360.25,6,6,8161.5
2021-08-15 20:20:00-04:00,1360.0,1360.0,1360.0,1360.0,1,1,1360.0
2021-08-15 21:00:00-04:00,1363.25,1363.25,1363.25,1363.25,5,3,6816.25
2021-08-15 21:03:00-04:00,1364.5,1364.5,1364.5,1364.5,4,2,5458.0
2021-08-15 21:07:00-04:00,1364.5,1364.5,1364.5,1364.5,1,1,1364.5
2021-08-15 21:08:00-04:00,1365.75,1365.75,1365.75,1365.75,2,1,2731.5
2021-08-15 21:09:00-04:00,1366.75,1366.75,1366.75,1366.75,55,11,75171.25
2021-08-15 21:10:00-04:00,1367.25,1367.25,1367.0,1367.0,2,2,2734.25
2021-08-15 21:11:00-04:00,1367.25,1367.25,1367.25,1367.25,6,1,8203.5
2021-08-15 21:14:00-04:00,1367.75,1367.75,1367.5,1367.5,32,12,43762.5
2021-08-15 21:15:00-04:00,1367.75,1368.0,1367.75,1368.0,16,2,21887.0
2021-08-15 21:16:00-04:00,1368.5,1369.0,1368.5,1369.0,59,16,80752.5
2021-08-15 21:17:00-04:00,1368.5,1368.5,1368.5,1368.5,65,26,88952.5
2021-08-15 21:18:00-04:00,1368.5,1368.5,1368.5,1368.5,87,23,119059.5
2021-08-15 21:23:00-04:00,1367.0,1367.25,1367.0,1367.25,30,7,41016.25
2021-08-15 21:25:00-04:00,1368.0,1368.75,1368.0,1368.75,7,4,9580.5
2021-08-15 21:26:00-04:00,1368.75,1368.75,1368.75,1368.75,10,6,13687.5
2021-08-15 21:27:00-04:00,1368.75,1368.75,1368.75,1368.75,10,3,13687.5
2021-08-15 21:29:00-04:00,1368.75,1368.75,1368.75,1368.75,5,1,6843.75
2021-08-15 21:31:00-04:00,1369.75,1369.75,1369.75,1369.75,12,4,16437.0
2021-08-15 21:32:00-04:00,1369.25,1369.25,1369.0,1369.0,4,2,5476.5
2021-08-15 21:33:00-04:00,1369.0,1369.0,1369.0,1369.0,1,1,1369.0
2021-08-15 21:53:00-04:00,1368.75,1368.75,1368.75,1368.75,2,1,2737.5
2021-08-15 21:54:00-04:00,1368.5,1368.5,1368.25,1368.25,3,2,4105.25
2021-08-15 21:56:00-04:00,1368.5,1368.75,1368.5,1368.75,2,2,2737.25
2021-08-15 22:09:00-04:00,1368.5,1368.5,1368.5,1368.5,10,6,13685.0
2021-08-15 22:10:00-04:00,1368.25,1368.25,1368.25,1368.25,2,1,2736.5
2021-08-15 22:11:00-04:00,1368.25,1368.25,1368.25,1368.25,3,1,4104.75
2021-08-15 22:20:00-04:00,1367.75,1367.75,1367.75,1367.75,1,1,1367.75
2021-08-15 22:22:00-04:00,1367.5,1367.5,1367.5,1367.5,1,1,1367.5
2021-08-15 22:44:00-04:00,1368.25,1368.25,1368.0,1368.0,20,3,27361.5
2021-08-15 23:01:00-04:00,1369.0,1369.0,1369.0,1369.0,43,16,58867.0
2021-08-15 23:02:00-04:00,1369.0,1369.0,1369.0,1369.0,28,17,38332.0
2021-08-15 23:03:00-04:00,1369.0,1369.0,1369.0,1369.0,7,5,9583.0
2021-08-15 23:05:00-04:00,1369.0,1369.0,1369.0,1369.0,3,1,4107.0
2021-08-15 23:07:00-04:00,1369.0,1369.0,1369.0,1369.0,2,2,2738.0
2021-08-15 23:16:00-04:00,1369.0,1369.0,1369.0,1369.0,1,1,1369.0
2021-08-15 23:17:00-04:00,1369.25,1369.25,1369.25,1369.25,3,2,4107.75
2021-08-16 00:26:00-04:00,1369.75,1369.75,1369.75,1369.75,1,1,1369.75
2021-08-16 01:30:00-04:00,1369.0,1369.0,1369.0,1369.0,19,7,26011.0
2021-08-16 01:33:00-04:00,1370.75,1370.75,1370.75,1370.75,1,1,1370.75
2021-08-16 01:39:00-04:00,1371.0,1371.0,1371.0,1371.0,8,2,10968.0
2021-08-16 01:44:00-04:00,1372.0,1372.0,1371.75,1372.0,48,12,65855.75
2021-08-16 01:45:00-04:00,1372.0,1372.0,1372.0,1372.0,6,2,8232.0
2021-08-16 01:46:00-04:00,1372.0,1372.0,1372.0,1372.0,69,21,94668.0
2021-08-16 01:48:00-04:00,1372.0,1372.0,1372.0,1372.0,2,1,2744.0
2021-08-16 01:51:00-04:00,1372.0,1372.0,1372.0,1372.0,12,5,16464.0
2021-08-16 02:30:00-04:00,1372.5,1372.5,1372.5,1372.5,3,1,4117.5
2021-08-16 02:32:00-04:00,1372.75,1373.25,1372.75,1373.0,56,20,76886.75
2021-08-16 02:33:00-04:00,1373.25,1373.25,1373.25,1373.25,5,1,6866.25
2021-08-16 02:37:00-04:00,1373.25,1373.25,1373.0,1373.0,6,3,8238.5
2021-08-16 02:39:00-04:00,1373.0,1373.0,1373.0,1373.0,2,2,2746.0
2021-08-16 02:40:00-04:00,1373.0,1373.0,1373.0,1373.0,151,66,207323.0
2021-08-16 02:41:00-04:00,1373.0,1373.0,1372.5,1372.5,32,11,43934.5
2021-08-16 02:43:00-04:00,1372.25,1372.75,1372.25,1372.5,37,8,50783.5
2021-08-16 02:44:00-04:00,1372.5,1372.5,1372.5,1372.5,4,2,5490.0
2021-08-16 02:45:00-04:00,1372.5,1372.5,1372.5,1372.5,26,12,35685.0
2021-08-16 02:46:00-04:00,1372.5,1372.5,1372.5,1372.5,72,23,98820.0
2021-08-16 02:47:00-04:00,1372.5,1372.5,1372.5,1372.5,2,2,2745.0
2021-08-16 02:48:00-04:00,1372.5,1372.5,1372.5,1372.5,48,12,65880.0
2021-08-16 02:49:00-04:00,1372.5,1372.5,1372.5,1372.5,57,22,78232.5
2021-08-16 02:57:00-04:00,1370.5,1370.5,1370.5,1370.5,1,1,1370.5
2021-08-16 03:02:00-04:00,1369.25,1369.25,1369.25,1369.25,1,1,1369.25
2021-08-16 03:05:00-04:00,1368.25,1368.25,1368.25,1368.25,5,2,6841.25
2021-08-16 03:17:00-04:00,1367.75,1367.75,1367.75,1367.75,1,1,1367.75
2021-08-16 03:27:00-04:00,1367.0,1367.0,1367.0,1367.0,1,1,1367.0
2021-08-16 03:31:00-04:00,1366.25,1366.25,1366.25,1366.25,2,2,2732.5
2021-08-16 03:43:00-04:00,1367.75,1367.75,1367.75,1367.75,3,1,4103.25
2021-08-16 04:14:00-04:00,1366.5,1366.5,1366.5,1366.5,2,2,2733.0
2021-08-16 04:19:00-04:00,1365.0,1365.0,1365.0,1365.0,4,3,5460.0
2021-08-16 04:20:00-04:00,1365.0,1365.0,1365.0,1365.0,4,2,5460.0
2021-08-16 04:34:00-04:00,1365.0,1365.0,1365.0,1365.0,42,25,57330.0
2021-08-16 04:40:00-04:00,1365.0,1365.0,1365.0,1365.0,10,4,13650.0
2021-08-16 04:48:00-04:00,1365.5,1365.5,1365.5,1365.5,1,1,1365.5
2021-08-16 05:39:00-04:00,1366.5,1366.5,1366.5,1366.5,1,1,1366.5
2021-08-16 05:47:00-04:00,1366.25,1366.25,1366.25,1366.25,2,2,2732.5
2021-08-16 05:48:00-04:00,1366.5,1366.5,1366.5,1366.5,1,1,1366.5
2021-08-16 05:49:00-04:00,1366.25,1366.25,1366.25,1366.25,1,1,1366.25
2021-08-16 05:51:00-04:00,1366.5,1366.5,1366.5,1366.5,3,3,4099.5
2021-08-16 05:58:00-04:00,1365.75,1365.75,1365.75,1365.75,1,1,1365.75
2021-08-16 06:26:00-04:00,1365.0,1365.0,1365.0,1365.0,1,1,1365.0
2021-08-16 06:55:00-04:00,1364.5,1364.5,1364.5,1364.5,1,1,1364.5
2021-08-16 06:56:00-04:00,1364.5,1364.5,1364.5,1364.5,1,1,1364.5
2021-08-16 07:01:00-04:00,1364.5,1364.5,1364.5,1364.5,16,7,21832.0
2021-08-16 07:02:00-04:00,1364.5,1364.5,1364.5,1364.5,25,15,34112.5
2021-08-16 07:14:00-04:00,1364.5,1364.5,1364.5,1364.5,7,2,9551.5
2021-08-16 07:27:00-04:00,1365.25,1365.25,1365.25,1365.25,25,23,34131.25
2021-08-16 07:29:00-04:00,1366.25,1366.25,1366.25,1366.25,13,4,17761.25
2021-08-16 07:30:00-04:00,1366.5,1366.5,1366.5,1366.5,1,1,1366.5
2021-08-16 07:31:00-04:00,1366.5,1366.5,1366.5,1366.5,14,3,19131.0
2021-08-16 07:32:00-04:00,1366.5,1367.5,1366.5,1367.5,24,8,32811.0
2021-08-16 07:34:00-04:00,1365.5,1366.25,1365.5,1366.25,3,2,4098.0
2021-08-16 07:43:00-04:00,1366.25,1366.25,1366.25,1366.25,1,1,1366.25
