,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy,CDF22 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-29 06:06:00-04:00,81.06,81.06,81.06,81.06,10,2,810.6
2021-10-29 07:34:00-04:00,80.995,80.995,80.995,80.995,1,1,80.995
2021-10-29 08:47:00-04:00,80.8,80.8,80.8,80.8,10,3,808.0
2021-10-29 08:48:00-04:00,80.795,80.795,80.795,80.795,1,1,80.795
2021-10-29 12:01:00-04:00,80.65,80.65,80.65,80.65,1,1,80.65
