,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-28 22:22:00-04:00,80.94,80.94,80.94,80.94,5,1,404.7
2021-10-29 06:44:00-04:00,81.1,81.1,81.1,81.1,1,1,81.1
2021-10-29 07:16:00-04:00,81.03,81.03,81.03,81.03,1,1,81.03
2021-10-29 07:34:00-04:00,80.98,80.98,80.98,80.98,3,1,242.94
2021-10-29 08:48:00-04:00,80.735,80.735,80.735,80.735,1,1,80.735
2021-10-29 10:25:00-04:00,80.69,80.69,80.69,80.69,20,4,1613.8
2021-10-29 11:20:00-04:00,80.635,80.635,80.635,80.635,2,1,161.27
2021-10-29 11:58:00-04:00,80.67,80.67,80.67,80.67,1,1,80.67
2021-10-29 12:01:00-04:00,80.645,80.645,80.645,80.645,1,1,80.645
2021-10-29 13:15:00-04:00,80.695,80.695,80.695,80.695,3,1,242.085
