,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-01 00:02:00-04:00,82.99,82.99,82.99,82.99,12,1,995.88
2021-06-01 00:10:00-04:00,82.99,82.99,82.99,82.99,4,1,331.96
2021-06-01 01:16:00-04:00,82.99,82.99,82.99,82.99,2,1,165.98
2021-06-01 03:46:00-04:00,83.115,83.135,83.115,83.115,23,7,1911.87
2021-06-01 05:04:00-04:00,83.07,83.07,83.07,83.07,1,1,83.07
2021-06-01 08:37:00-04:00,83.105,83.105,83.105,83.105,1,1,83.105
2021-06-01 09:19:00-04:00,83.11,83.11,83.11,83.11,2,1,166.22
2021-06-01 09:33:00-04:00,83.175,83.185,83.175,83.185,3,2,249.545
2021-06-01 09:35:00-04:00,83.18,83.18,83.18,83.18,1,1,83.18
2021-06-01 10:00:00-04:00,83.25,83.25,83.25,83.25,1,1,83.25
2021-06-01 10:09:00-04:00,83.19,83.19,83.19,83.19,1,1,83.19
2021-06-01 10:19:00-04:00,83.145,83.145,83.145,83.145,1,1,83.145
2021-06-01 11:10:00-04:00,83.22,83.22,83.22,83.22,1,1,83.22
2021-06-01 11:15:00-04:00,83.26,83.26,83.26,83.26,1,1,83.26
2021-06-01 11:41:00-04:00,83.165,83.165,83.165,83.165,2,1,166.33
2021-06-01 11:48:00-04:00,83.14,83.14,83.14,83.14,1,1,83.14
2021-06-01 12:11:00-04:00,83.025,83.025,83.025,83.025,1,1,83.025
2021-06-01 12:16:00-04:00,83.04,83.04,83.04,83.04,1,1,83.04
2021-06-01 12:35:00-04:00,83.02,83.02,83.02,83.02,1,1,83.02
2021-06-01 13:04:00-04:00,82.95,82.95,82.95,82.95,1,1,82.95
2021-06-01 13:16:00-04:00,82.925,82.925,82.925,82.925,1,1,82.925
2021-06-01 15:23:00-04:00,82.87,82.87,82.87,82.87,3,1,248.61
