,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty
,open,high,low,close,volume,num_trds,value
2021-11-12 05:44:00-05:00,1249.5,1249.5,1249.5,1249.5,1,1,1249.5
2021-11-12 05:51:00-05:00,1248.25,1248.25,1248.25,1248.25,8,1,9986.0
2021-11-12 06:50:00-05:00,1248.75,1248.75,1248.75,1248.75,1,1,1248.75
2021-11-12 06:54:00-05:00,1249.0,1249.25,1249.0,1249.25,5,2,6245.25
2021-11-12 06:56:00-05:00,1248.5,1248.5,1248.5,1248.5,1,1,1248.5
2021-11-12 07:40:00-05:00,1247.0,1247.0,1247.0,1247.0,5,1,6235.0
2021-11-12 07:42:00-05:00,1247.25,1247.25,1247.25,1247.25,1,1,1247.25
2021-11-12 07:44:00-05:00,1247.25,1247.25,1247.25,1247.25,1,1,1247.25
2021-11-12 07:45:00-05:00,1247.25,1247.25,1247.25,1247.25,2,1,2494.5
2021-11-12 07:56:00-05:00,1247.5,1247.5,1247.5,1247.5,1,1,1247.5
2021-11-12 08:02:00-05:00,1247.25,1247.25,1247.25,1247.25,5,1,6236.25
2021-11-12 08:05:00-05:00,1246.75,1246.75,1246.75,1246.75,1,1,1246.75
2021-11-12 08:06:00-05:00,1248.0,1248.0,1248.0,1248.0,1,1,1248.0
2021-11-12 08:14:00-05:00,1250.0,1250.75,1250.0,1250.75,15,4,18757.0
2021-11-12 08:15:00-05:00,1250.25,1250.5,1250.25,1250.5,5,2,6252.0
2021-11-12 08:16:00-05:00,1249.75,1249.75,1249.75,1249.75,1,1,1249.75
2021-11-12 08:17:00-05:00,1249.25,1249.25,1249.0,1249.0,5,2,6245.5
2021-11-12 08:31:00-05:00,1250.25,1250.25,1250.25,1250.25,1,1,1250.25
2021-11-12 09:32:00-05:00,1249.5,1249.5,1248.0,1248.0,3,3,3745.5
2021-11-12 09:36:00-05:00,1248.5,1248.5,1248.5,1248.5,1,1,1248.5
2021-11-12 09:50:00-05:00,1252.25,1252.25,1252.25,1252.25,1,1,1252.25
2021-11-12 10:01:00-05:00,1253.5,1253.5,1253.5,1253.5,1,1,1253.5
2021-11-12 10:03:00-05:00,1253.5,1253.5,1253.5,1253.5,1,1,1253.5
2021-11-12 10:04:00-05:00,1253.75,1253.75,1253.5,1253.5,3,3,3761.0
2021-11-12 10:05:00-05:00,1253.25,1253.25,1252.75,1252.75,2,2,2506.0
2021-11-12 10:23:00-05:00,1253.75,1253.75,1253.75,1253.75,1,1,1253.75
2021-11-12 10:31:00-05:00,1253.75,1253.75,1253.75,1253.75,1,1,1253.75
2021-11-12 10:33:00-05:00,1253.5,1253.5,1253.5,1253.5,3,2,3760.5
2021-11-12 10:34:00-05:00,1253.5,1253.5,1253.5,1253.5,1,1,1253.5
2021-11-12 10:36:00-05:00,1253.0,1253.0,1252.5,1252.5,10,3,12526.75
2021-11-12 10:37:00-05:00,1252.5,1252.5,1252.0,1252.0,20,6,25043.5
2021-11-12 10:38:00-05:00,1252.0,1252.0,1251.75,1252.0,7,4,8763.0
2021-11-12 10:58:00-05:00,1254.0,1254.25,1254.0,1254.25,11,2,13796.5
2021-11-12 11:30:00-05:00,1258.0,1258.0,1258.0,1258.0,1,1,1258.0
2021-11-12 11:33:00-05:00,1260.0,1260.0,1260.0,1260.0,1,1,1260.0
2021-11-12 11:44:00-05:00,1265.0,1265.0,1265.0,1265.0,8,6,10120.0
2021-11-12 11:45:00-05:00,1265.0,1265.5,1265.0,1265.5,3,3,3795.5
2021-11-12 11:48:00-05:00,1264.75,1264.75,1264.75,1264.75,1,1,1264.75
2021-11-12 12:02:00-05:00,1266.0,1267.0,1266.0,1267.0,2,2,2533.0
2021-11-12 12:07:00-05:00,1269.25,1269.25,1269.0,1269.0,10,2,12691.0
2021-11-12 12:22:00-05:00,1267.25,1267.25,1267.25,1267.25,1,1,1267.25
2021-11-12 12:56:00-05:00,1269.5,1269.75,1269.5,1269.75,3,3,3809.0
2021-11-12 12:57:00-05:00,1269.0,1269.0,1269.0,1269.0,1,1,1269.0
2021-11-12 13:03:00-05:00,1268.75,1269.0,1268.75,1269.0,20,2,25379.75
2021-11-12 13:04:00-05:00,1268.75,1269.0,1268.75,1269.0,10,2,12689.25
2021-11-12 13:06:00-05:00,1269.5,1269.5,1269.5,1269.5,1,1,1269.5
2021-11-12 13:07:00-05:00,1270.0,1270.5,1270.0,1270.5,20,3,25406.5
2021-11-12 13:12:00-05:00,1271.5,1271.5,1271.5,1271.5,10,1,12715.0
2021-11-12 13:19:00-05:00,1272.0,1272.0,1272.0,1272.0,1,1,1272.0
