,XUC4 Curncy,XUC4 Curncy,XUC4 Curncy,XUC4 Curncy,XUC4 Curncy,XUC4 Curncy,XUC4 Curncy
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,7.2343,7.2343,7.2266,7.2353,30.0,XUCM1,683.0
2020-08-04,7.2345,7.2346,7.2335,7.2388,30.0,XUCM1,693.0
2020-08-05,7.2236,7.2236,7.2014,7.1948,9.0,XUCM1,690.0
2020-08-06,7.2003,7.2004,7.1956,7.1992,92.0,XUCM1,740.0
2020-08-07,7.2154,7.2244,7.2154,7.2114,49.0,XUCM1,787.0
2020-08-10,7.2276,7.2276,7.2276,7.2248,4.0,XUCM1,786.0
2020-08-11,7.2016,7.2016,7.1996,7.1998,53.0,XUCM1,835.0
2020-08-12,7.2046,7.2095,7.1995000000000005,7.1988,77.0,XUCM1,869.0
2020-08-13,7.1846,7.1923,7.1846,7.1948,100.0,XUCM1,915.0
2020-08-14,7.199,7.199,7.1903,7.2002,46.0,XUCM1,928.0
2020-08-17,7.197,7.197,7.1955,7.1847,4.0,XUCM1,928.0
2020-08-18,7.1736,7.1736,7.1696,7.167,14.0,XUCM1,928.0
2020-08-19,7.1601,7.1601,7.1601,7.1488,10.0,XUCM1,928.0
2020-08-20,7.1654,7.1654,7.1654,7.1633,1.0,XUCM1,928.0
2020-08-21,7.157,7.157,7.1454,7.1557,29.0,XUCM1,956.0
2020-08-24,7.1684,7.1684,7.1507,7.1515,40.0,XUCM1,984.0
2020-08-25,7.1514,7.1545,7.1514,7.1533,45.0,XUCM1,1002.0
2020-08-26,7.1518,7.1574,7.1246,7.13,283.0,XUCM1,1190.0
2020-08-27,7.1249,7.1279,7.1133,7.1239,351.0,XUCM1,1426.0
2020-08-28,7.1248,7.1266,7.105,7.1074,222.0,XUCM1,1514.0
2020-08-31,7.1057,7.1057,7.0885,7.0996,136.0,XUCU1,428.0
2020-09-01,7.0948,7.0948,7.0627,7.075,86.0,XUCU1,508.0
2020-09-02,7.0767,7.0767,7.0675,7.0721,86.0,XUCU1,567.0
