,AUA1 Comdty,AUA1 Comdty,AUA1 Comdty,AUA1 Comdty,AUA1 Comdty,AUA1 Comdty,AUA1 Comdty
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,436.22,436.74,432.66,434.86,204419.0,AUAZ0,226018.0
2020-08-04,434.18,436.92,433.64,435.24,142798.0,AUAZ0,229636.0
2020-08-05,435.52,448.76,435.46,442.5,381406.0,AUAZ0,248730.0
2020-08-06,447.58,451.8,444.56,449.18,305325.0,AUAZ0,244033.0
2020-08-07,451.66,457.64,451.5,454.02,320402.0,AUAZ0,245899.0
2020-08-10,454.46,454.96,446.06,449.98,290951.0,AUAZ0,241486.0
2020-08-11,450.44,453.0,437.94,447.36,311559.0,AUAZ0,242150.0
2020-08-12,430.58,431.1,420.72,425.44,277064.0,AUAZ0,237687.0
2020-08-13,421.82,423.26,418.58,421.1,285203.0,AUAZ0,236510.0
2020-08-14,420.5,432.52,420.18,426.54,368224.0,AUAZ0,240748.0
2020-08-17,425.26,429.36,422.74,426.18,288643.0,AUAZ0,242365.0
2020-08-18,429.22,438.48,429.22,434.52,348375.0,AUAZ0,247333.0
2020-08-19,440.0,440.62,429.24,435.32,403441.0,AUAZ0,246282.0
2020-08-20,434.22,434.66,419.64,426.9,433563.0,AUAZ0,241803.0
2020-08-21,420.56,424.44,418.36,421.42,309753.0,AUAZ0,240658.0
2020-08-24,419.86,421.12,415.74,418.76,326923.0,AUAZ0,238222.0
2020-08-25,422.56,427.06,418.66,420.66,231252.0,AUAZ0,235241.0
2020-08-26,419.32,420.92,418.16,419.36,205680.0,AUAZ0,233911.0
2020-08-27,417.9,425.64,417.66,422.98,320475.0,AUAZ0,232731.0
2020-08-28,423.84,430.02,418.16,423.14,430007.0,AUAZ0,229601.0
2020-08-31,425.44,428.56,424.6,426.5,274835.0,AUAZ0,231884.0
2020-09-01,426.48,431.38,425.98,428.62,251530.0,AUAZ0,232650.0
2020-09-02,430.98,431.6,425.46,428.24,263522.0,AUAZ0,228664.0
2020-09-03,426.64,426.72,418.0,422.14,317316.0,AUAZ0,224712.0
2020-09-04,419.56,422.4,417.14,420.1,326578.0,AUAZ0,218995.0
2020-09-07,418.56,422.06,417.0,419.4,289410.0,AUAZ0,215479.0
2020-09-08,419.4,421.0,418.06,419.54,155836.0,AUAZ0,214738.0
2020-09-09,417.44,423.06,414.56,419.0,337511.0,AUAZ0,212770.0
2020-09-10,421.3,424.04,420.96,422.88,221436.0,AUAZ0,215314.0
2020-09-11,425.32,426.46,420.14,423.92,253280.0,AUAZ0,211960.0
2020-09-14,422.02,423.9,420.96,422.48,163104.0,AUAZ0,211046.0
2020-09-15,423.54,424.44,422.26,423.52,171699.0,AUAZ0,208614.0
2020-09-16,423.56,424.0,420.16,421.56,180576.0,AUAZ0,209430.0
2020-09-17,422.56,423.66,417.72,420.78,234764.0,AUAZ0,213564.0
2020-09-18,419.0,420.84,416.36,418.72,182221.0,AUAZ0,210258.0
2020-09-21,420.16,423.14,419.2,420.96,164172.0,AUAZ0,209385.0
2020-09-22,417.02,418.02,396.82,411.3,475584.0,AUAZ0,211942.0
2020-09-23,411.96,413.14,403.14,409.4,317889.0,AUAZ0,210028.0
2020-09-24,405.0,407.46,398.74,403.14,314778.0,AUAZ0,209781.0
2020-09-25,401.04,405.04,399.9,402.44,243866.0,AUAZ0,206242.0
2020-09-28,402.78,405.56,401.74,403.34,184483.0,AUAZ0,203539.0
2020-09-29,405.02,409.62,404.88,407.52,175770.0,AUAZ0,200956.0
2020-09-30,409.66,411.56,408.72,410.16,137965.0,AUAZ0,197342.0
2020-10-09,407.96,410.56,407.58,409.06,71362.0,AUAZ0,196479.0
2020-10-12,410.94,415.16,410.5,412.88,175001.0,AUAZ0,198166.0
2020-10-13,414.42,414.8,411.4,413.28,141066.0,AUAZ0,195939.0
2020-10-14,410.84,410.84,404.2,406.64,193310.0,AUAZ0,188656.0
2020-10-15,409.54,410.22,405.06,407.62,146674.0,AUAZ0,187346.0
2020-10-16,406.16,409.78,405.82,407.8,151010.0,AUAZ0,186375.0
2020-10-19,407.78,409.22,405.58,407.44,155500.0,AUAZ0,183367.0
2020-10-20,408.66,408.92,405.42,407.12,136216.0,AUAZ0,184294.0
2020-10-21,407.46,409.84,406.18,408.22,151406.0,AUAZ0,179446.0
2020-10-22,409.96,411.0,407.14,409.16,153265.0,AUAZ0,175557.0
2020-10-23,407.44,407.92,404.86,406.36,145253.0,AUAZ0,173923.0
2020-10-26,407.14,407.66,403.84,405.58,167714.0,AUAZ0,169399.0
2020-10-27,406.42,409.06,406.4,408.06,151696.0,AUAZ0,162159.0
2020-10-28,408.36,410.08,407.92,409.0,120494.0,AUAZ0,158003.0
2020-10-29,404.6,404.86,401.82,403.26,212188.0,AUAZ0,154496.0
2020-10-30,400.44,403.06,398.48,400.96,198494.0,AUAZ0,148505.0
2020-11-02,403.44,404.68,401.34,403.2,151267.0,AUAZ0,139201.0
2020-11-03,404.76,406.52,404.12,405.34,109941.0,AUAZ0,133519.0
2020-11-04,407.16,409.44,406.54,408.0,165806.0,AUAZ0,131109.0
2020-11-05,407.72,408.26,402.78,406.24,146502.0,AUAZ0,129696.0
2020-11-06,409.6,414.24,409.08,411.5,188202.0,AUAZ0,127093.0
2020-11-09,412.56,414.52,410.54,412.78,165871.0,AUAZ0,120788.0
2020-11-10,403.16,403.36,395.06,398.08,258061.0,AUAZ0,113069.0
2020-11-11,398.74,399.76,397.76,398.78,105185.0,AUAZ0,108968.0
2020-11-12,398.2,399.18,395.56,397.54,133699.0,AUAZ0,101791.0
2020-11-13,398.62,400.56,398.16,399.8,102837.0,AUAZ0,95747.0
2020-11-16,401.06,403.32,399.78,401.76,105185.0,AUAZ0,89414.0
2020-11-17,398.26,401.82,397.28,399.82,104315.0,AUAZ0,81027.0
2020-11-18,399.6,400.82,396.28,398.62,87655.0,AUAZ0,76287.0
2020-11-19,395.6,398.92,393.96,396.64,96342.0,AUAZ0,70384.0
2020-11-20,395.56,396.26,393.82,395.3,92438.0,AUAZ0,60399.0
2020-11-23,395.74,397.74,395.16,396.28,80667.0,AUAZ0,51812.0
2020-11-24,395.64,395.68,385.58,386.88,141810.0,AUAZ0,43794.0
2020-11-25,383.6,384.3,381.56,383.0,94687.0,AUAZ0,33091.0
2020-11-26,384.16,384.48,381.4,383.08,69791.0,AUAG1,61668.0
2020-11-27,383.24,383.9,381.76,382.8,87027.0,AUAG1,64699.0
2020-11-30,382.28,382.78,370.28,375.48,197649.0,AUAG1,69429.0
2020-12-01,371.78,377.08,371.46,374.28,123297.0,AUAG1,67056.0
2020-12-02,380.2,382.36,379.46,380.92,137644.0,AUAG1,63111.0
2020-12-03,382.88,386.28,381.2,383.9,127570.0,AUAG1,61338.0
2020-12-04,386.7,387.44,382.78,385.36,121286.0,AUAG1,59118.0
2020-12-07,386.0,386.94,383.36,385.18,134348.0,AUAG1,60892.0
2020-12-08,384.22,392.18,383.8,389.16,146198.0,AUAG1,64088.0
2020-12-09,390.78,392.82,388.16,390.74,117553.0,AUAG1,61423.0
2020-12-10,388.72,390.08,384.38,386.84,128810.0,AUAG1,62306.0
2020-12-11,385.22,388.66,384.2,386.14,118041.0,AUAG1,60998.0
2020-12-14,385.26,388.14,384.06,386.1,117407.0,AUAG1,51002.0
2020-12-15,383.0,387.94,382.46,384.88,118340.0,AUAG1,52312.0
2020-12-16,388.12,391.06,387.76,389.4,103926.0,AUAG1,53332.0
2020-12-17,389.98,393.22,388.32,390.38,109335.0,AUAG1,55690.0
2020-12-18,394.94,397.48,393.44,395.64,129844.0,AUAG1,54600.0
2020-12-21,395.96,402.8,394.0,397.84,133771.0,AUAG1,55273.0
2020-12-22,396.96,397.58,394.14,396.3,135335.0,AUAG1,52384.0
2020-12-23,395.06,397.14,392.74,394.64,121551.0,AUAG1,49200.0
2020-12-24,392.5,396.32,392.26,394.8,103777.0,AUAG1,46772.0
2020-12-25,395.0,397.24,393.26,395.22,91966.0,AUAG1,47708.0
2020-12-28,397.0,401.2,389.96,398.36,96263.0,AUAG1,43411.0
2020-12-29,396.4,400.44,395.38,397.62,160917.0,AUAG1,41610.0
2020-12-30,396.16,397.28,394.14,395.94,111318.0,AUAG1,39178.0
2020-12-31,395.4,399.68,394.64,397.1,117553.0,AUAG1,37201.0
2021-01-04,400.98,402.8,400.9,402.1,57526.0,AUAG1,39504.0
2021-01-05,403.88,406.6,403.0,404.92,120443.0,AUAG1,39174.0
2021-01-06,406.0,406.96,403.66,405.5,111744.0,AUAG1,37436.0
2021-01-07,402.2,404.6,396.0,400.78,144477.0,AUAG1,33912.0
2021-01-08,400.54,401.0,397.5,399.56,95356.0,AUAG1,29720.0
2021-01-11,394.54,394.84,380.2,387.68,161329.0,AUAG1,28848.0
2021-01-12,386.36,389.74,383.72,386.68,90144.0,AUAG1,23586.0
2021-01-13,389.54,390.68,386.02,388.18,80959.0,AUAG1,20228.0
2021-01-14,388.98,390.34,384.3,387.92,67055.0,AUAM1,107118.0
