,AUA2 Comdty,AUA2 Comdty,AUA2 Comdty,AUA2 Comdty,AUA2 Comdty,AUA2 Comdty,AUA2 Comdty
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,421.8,422.38,418.44,420.38,29485.0,AUAG1,27302.0
2020-08-04,419.78,422.58,419.36,420.82,16788.0,AUAG1,27883.0
2020-08-05,420.94,434.32,420.94,427.0,27883.0,AUAG1,30274.0
2020-08-06,433.58,437.44,431.66,435.04,28085.0,AUAG1,30583.0
2020-08-07,437.54,443.2,437.08,439.56,28011.0,AUAG1,31741.0
2020-08-10,439.84,440.56,431.66,435.72,21535.0,AUAG1,32922.0
2020-08-11,436.0,438.66,423.68,434.04,34870.0,AUAG1,35446.0
2020-08-12,415.68,416.76,407.22,411.02,16444.0,AUAG1,37642.0
2020-08-13,408.74,409.0,404.56,406.98,33408.0,AUAG1,39050.0
2020-08-14,406.0,418.36,406.0,412.12,29809.0,AUAG1,40239.0
2020-08-17,410.92,415.1,408.54,412.12,34799.0,AUAG1,39246.0
2020-08-18,414.52,424.32,414.52,420.18,35844.0,AUAG1,41368.0
2020-08-19,424.96,426.28,414.84,421.66,32715.0,AUAG1,43811.0
2020-08-20,418.92,420.4,405.26,412.58,31108.0,AUAG1,41543.0
2020-08-21,406.44,409.9,404.02,406.8,30906.0,AUAG1,41309.0
2020-08-24,406.24,406.56,401.54,404.44,27192.0,AUAG1,40450.0
2020-08-25,406.9,410.72,404.28,406.32,17109.0,AUAG1,39446.0
2020-08-26,405.02,406.52,403.7,404.94,23683.0,AUAG1,38656.0
2020-08-27,404.0,411.16,403.18,408.24,33472.0,AUAG1,36705.0
2020-08-28,410.16,415.58,403.8,408.98,45997.0,AUAG1,36305.0
2020-08-31,411.52,414.12,410.26,411.88,34145.0,AUAG1,35284.0
2020-09-01,412.04,416.94,411.56,414.36,23162.0,AUAG1,34837.0
2020-09-02,417.46,417.46,411.08,413.96,26052.0,AUAG1,33758.0
2020-09-03,412.12,412.32,403.7,407.54,31723.0,AUAG1,32540.0
2020-09-04,404.6,408.04,402.92,406.02,32086.0,AUAG1,32338.0
2020-09-07,405.06,407.74,402.68,405.26,29894.0,AUAG1,32183.0
2020-09-08,405.5,406.78,403.8,405.24,14938.0,AUAG1,31504.0
2020-09-09,403.82,408.78,400.36,404.18,28631.0,AUAG1,30394.0
2020-09-10,406.54,409.62,406.54,408.54,18663.0,AUAG1,29453.0
2020-09-11,411.2,411.92,405.78,409.18,20284.0,AUAG1,28037.0
2020-09-14,408.24,409.4,406.56,408.06,13771.0,AUAG1,27727.0
2020-09-15,408.78,410.0,407.86,409.1,16288.0,AUAG1,27958.0
2020-09-16,408.96,409.56,405.72,407.2,16913.0,AUAG1,27154.0
2020-09-17,408.26,409.28,403.46,406.16,27804.0,AUAG1,27858.0
2020-09-18,404.44,406.42,402.04,404.3,18795.0,AUAG1,26982.0
2020-09-21,406.06,408.7,404.9,406.4,14742.0,AUAG1,26986.0
2020-09-22,403.3,403.6,382.72,398.04,28641.0,AUAG1,27574.0
2020-09-23,397.46,398.84,388.68,395.2,28746.0,AUAG1,25767.0
2020-09-24,390.4,393.04,384.36,388.56,30197.0,AUAG1,24922.0
2020-09-25,386.32,390.4,385.22,387.64,26464.0,AUAG1,23443.0
2020-09-28,388.12,390.76,387.12,388.62,24537.0,AUAG1,23241.0
2020-09-29,390.2,395.0,390.2,392.88,24556.0,AUAG1,21494.0
2020-09-30,394.94,396.94,394.14,395.46,19927.0,AUAG1,20394.0
2020-10-09,395.66,396.06,393.1,394.62,10772.0,AUAG1,21441.0
2020-10-12,395.9,400.72,395.9,398.98,31688.0,AUAG1,21505.0
2020-10-13,399.88,400.34,397.08,398.74,29471.0,AUAG1,21742.0
2020-10-14,396.5,396.5,389.88,392.04,22219.0,AUAG1,21880.0
2020-10-15,395.36,395.36,390.78,393.0,24732.0,AUAG1,21684.0
2020-10-16,392.02,395.3,391.44,393.26,24799.0,AUAG1,21835.0
2020-10-19,393.98,394.84,391.26,393.18,24580.0,AUAG1,21005.0
2020-10-20,394.32,394.56,391.06,392.7,22171.0,AUAG1,19955.0
2020-10-21,393.58,395.36,391.86,393.62,22920.0,AUAG1,20578.0
2020-10-22,395.78,396.5,392.7,394.72,26443.0,AUAG1,22175.0
2020-10-23,392.9,393.36,390.44,391.92,25448.0,AUAG1,23339.0
2020-10-26,392.92,393.2,389.52,391.28,36942.0,AUAG1,23244.0
2020-10-27,391.7,394.68,391.7,393.68,33741.0,AUAG1,24788.0
2020-10-28,394.12,395.72,393.56,394.6,28183.0,AUAG1,26217.0
2020-10-29,389.52,390.34,387.66,388.98,54118.0,AUAG1,28105.0
2020-10-30,386.1,388.86,384.26,386.84,66642.0,AUAG1,32833.0
2020-11-02,388.92,390.66,387.32,389.28,52793.0,AUAG1,37035.0
2020-11-03,390.76,392.5,390.18,391.38,37819.0,AUAG1,38549.0
2020-11-04,392.84,395.32,392.42,393.92,53951.0,AUAG1,40054.0
2020-11-05,393.9,394.08,388.76,392.42,45095.0,AUAG1,40472.0
2020-11-06,396.32,400.24,395.06,397.26,60234.0,AUAG1,42641.0
2020-11-09,398.76,400.48,396.5,398.84,58456.0,AUAG1,42053.0
2020-11-10,389.3,389.42,381.12,384.38,71149.0,AUAG1,40606.0
2020-11-11,384.72,385.56,383.58,384.64,42103.0,AUAG1,39507.0
2020-11-12,383.96,384.84,381.4,383.34,59226.0,AUAG1,43350.0
2020-11-13,384.42,386.26,383.86,385.54,43824.0,AUAG1,43160.0
2020-11-16,386.84,388.82,385.36,387.2,45204.0,AUAG1,44394.0
2020-11-17,383.5,387.36,382.86,385.28,40406.0,AUAG1,46671.0
2020-11-18,385.08,386.28,381.74,383.92,47237.0,AUAG1,47233.0
2020-11-19,381.78,384.08,379.52,382.02,48731.0,AUAG1,49114.0
2020-11-20,380.5,381.72,379.18,380.62,50620.0,AUAG1,50965.0
2020-11-23,380.82,383.02,380.52,381.64,44322.0,AUAG1,52895.0
2020-11-24,381.02,381.02,370.82,374.98,84177.0,AUAG1,57546.0
2020-11-25,369.16,369.56,366.94,368.32,81882.0,AUAG1,59014.0
2020-11-26,,,,,,AUAK1,
2020-11-27,,,,,,AUAK1,
2020-11-30,,,,,,AUAK1,
2020-12-01,,,,,,AUAK1,
2020-12-02,,,,,,AUAK1,
2020-12-03,,,,,,AUAK1,
2020-12-04,,,,,,AUAK1,
2020-12-07,,,,,,AUAK1,
2020-12-08,,,,,,AUAK1,
2020-12-09,,,,,,AUAK1,
2020-12-10,,,,,,AUAK1,
2020-12-11,,,,,,AUAK1,
2020-12-14,,,,,,AUAK1,
2020-12-15,,,,,,AUAK1,
2020-12-16,,,,,,AUAK1,
2020-12-17,,,,,,AUAK1,
2020-12-18,,,,,,AUAK1,
2020-12-21,,,,,,AUAK1,
2020-12-22,,,,,,AUAK1,
2020-12-23,,,,,,AUAK1,
2020-12-24,,,,,,AUAK1,
2020-12-25,,,,,,AUAK1,
2020-12-28,,,,,,AUAK1,
2020-12-29,,,,,,AUAK1,
2020-12-30,,,,,,AUAK1,
2020-12-31,,,,,,AUAK1,
2021-01-04,,,,,,AUAK1,
2021-01-05,,,,,,AUAK1,
2021-01-06,,,,,,AUAK1,
2021-01-07,,,,,,AUAK1,
2021-01-08,,,,,,AUAK1,
2021-01-11,,,,,,AUAK1,
2021-01-12,,,,,,AUAK1,
2021-01-13,,,,,,AUAK1,
2021-01-14,,,,,,AUAU1,
2021-01-15,,,,,,AUAU1,
2021-01-18,,,,,,AUAU1,
2021-01-19,,,,,,AUAU1,
2021-01-20,,,,,,AUAU1,
2021-01-21,,,,,,AUAU1,
2021-01-22,,,,,,AUAU1,
2021-01-25,,,,,,AUAU1,
2021-01-26,,,,,,AUAU1,
2021-01-27,,,,,,AUAU1,
2021-01-28,,,,,,AUAU1,
2021-01-29,,,,,,AUAU1,
2021-02-01,,,,,,AUAU1,
2021-02-02,,,,,,AUAU1,
2021-02-03,,,,,,AUAU1,
2021-02-04,,,,,,AUAU1,
2021-02-05,,,,,,AUAU1,
