,AUA3 Comdty,AUA3 Comdty,AUA3 Comdty,AUA3 Comdty,AUA3 Comdty,AUA3 Comdty,AUA3 Comdty
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,,,,,,AUAK1,
2020-08-04,,,,,,AUAK1,
2020-08-05,,,,,,AUAK1,
2020-08-06,,,,,,AUAK1,
2020-08-07,,,,,,AUAK1,
2020-08-10,,,,,,AUAK1,
2020-08-11,,,,,,AUAK1,
2020-08-12,,,,,,AUAK1,
2020-08-13,,,,,,AUAK1,
2020-08-14,,,,,,AUAK1,
2020-08-17,,,,,,AUAK1,
2020-08-18,,,,,,AUAK1,
2020-08-19,,,,,,AUAK1,
2020-08-20,,,,,,AUAK1,
2020-08-21,,,,,,AUAK1,
2020-08-24,,,,,,AUAK1,
2020-08-25,,,,,,AUAK1,
2020-08-26,,,,,,AUAK1,
2020-08-27,,,,,,AUAK1,
2020-08-28,,,,,,AUAK1,
2020-08-31,,,,,,AUAK1,
2020-09-01,,,,,,AUAK1,
2020-09-02,,,,,,AUAK1,
2020-09-03,,,,,,AUAK1,
2020-09-04,,,,,,AUAK1,
2020-09-07,,,,,,AUAK1,
2020-09-08,,,,,,AUAK1,
2020-09-09,,,,,,AUAK1,
2020-09-10,,,,,,AUAK1,
2020-09-11,,,,,,AUAK1,
2020-09-14,,,,,,AUAK1,
2020-09-15,,,,,,AUAK1,
2020-09-16,,,,,,AUAK1,
2020-09-17,,,,,,AUAK1,
2020-09-18,,,,,,AUAK1,
2020-09-21,,,,,,AUAK1,
2020-09-22,,,,,,AUAK1,
2020-09-23,,,,,,AUAK1,
2020-09-24,,,,,,AUAK1,
2020-09-25,,,,,,AUAK1,
2020-09-28,,,,,,AUAK1,
2020-09-29,,,,,,AUAK1,
2020-09-30,,,,,,AUAK1,
2020-10-09,,,,,,AUAK1,
2020-10-12,,,,,,AUAK1,
2020-10-13,,,,,,AUAK1,
2020-10-14,,,,,,AUAK1,
2020-10-15,,,,,,AUAK1,
2020-10-16,,,,,,AUAK1,
2020-10-19,,,,,,AUAK1,
2020-10-20,,,,,,AUAK1,
2020-10-21,,,,,,AUAK1,
2020-10-22,,,,,,AUAK1,
2020-10-23,,,,,,AUAK1,
