,CL4 Comdty,CL4 Comdty,CL4 Comdty,CL4 Comdty,CL4 Comdty,CL4 Comdty,CL4 Comdty
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,36.87,37.73,36.2,37.59,71766.0,CLZ20,237979.0
2020-08-04,37.27,38.38,36.72,38.06,94078.0,CLZ20,238697.0
2020-08-05,37.82,39.71,37.76,38.64,171968.0,CLZ20,255352.0
2020-08-06,38.62,39.07,38.16,38.49,90025.0,CLZ20,256446.0
2020-08-07,38.46,38.69,37.63,37.79,70887.0,CLZ20,255936.0
2020-08-10,37.92,38.75,37.71,38.4,56811.0,CLZ20,259339.0
2020-08-11,38.41,39.3,37.98,38.11,78724.0,CLZ20,259778.0
2020-08-12,38.12,39.32,38.07,39.12,106074.0,CLZ20,255997.0
2020-08-13,39.0,39.28,38.6,38.75,70696.0,CLZ20,256646.0
2020-08-14,38.87,39.06,38.25,38.6,67098.0,CLZ20,260240.0
2020-08-17,38.84,39.46,38.42,39.38,75464.0,CLZ20,264099.0
2020-08-18,39.26,39.51,38.71,39.36,65094.0,CLZ20,261921.0
2020-08-19,39.03,39.39,38.8,39.29,68171.0,CLZ20,263199.0
2020-08-20,39.12,39.14,37.88,38.99,86217.0,CLZ20,266522.0
2020-08-21,38.93,39.07,37.67,38.52,29286.0,CLF1,109855.0
2020-08-24,38.61,39.0,38.44,38.89,23822.0,CLF1,114413.0
2020-08-25,38.75,39.73,38.75,39.53,37253.0,CLF1,115819.0
2020-08-26,39.57,39.88,39.23,39.6,27996.0,CLF1,116489.0
2020-08-27,39.63,39.66,38.63,39.2,20449.0,CLF1,118873.0
2020-08-28,39.06,39.54,38.95,39.23,16164.0,CLF1,118673.0
2020-08-31,39.28,39.76,38.76,38.82,15074.0,CLF1,118536.0
2020-09-01,39.02,39.56,38.97,39.04,22674.0,CLF1,120533.0
2020-09-02,39.3,39.44,37.65,37.89,33197.0,CLF1,120157.0
2020-09-03,37.95,38.18,36.77,37.79,30267.0,CLF1,117673.0
2020-09-04,37.62,38.19,35.94,36.31,29229.0,CLF1,118447.0
2020-09-08,35.97,36.09,32.92,33.5,66132.0,CLF1,119952.0
2020-09-09,33.46,34.93,32.89,34.63,42037.0,CLF1,121308.0
2020-09-10,34.41,34.71,33.49,33.89,36744.0,CLF1,122090.0
2020-09-11,33.74,34.27,33.29,33.85,27338.0,CLF1,123956.0
