,CL2 Comdty,CL2 Comdty,CL2 Comdty,CL2 Comdty,CL2 Comdty,CL2 Comdty,CL2 Comdty
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,38.1,38.89,37.29,38.71,120591.0,CLV20,223613.0
2020-08-04,38.48,39.68,37.83,39.31,191799.0,CLV20,231747.0
2020-08-05,39.2,41.08,39.06,39.83,224289.0,CLV20,227330.0
2020-08-06,39.82,40.27,39.29,39.6,115161.0,CLV20,229555.0
2020-08-07,39.59,39.84,38.73,38.89,143399.0,CLV20,237605.0
2020-08-10,39.03,39.94,38.83,39.57,142801.0,CLV20,257714.0
2020-08-11,39.61,40.54,39.15,39.27,160192.0,CLV20,272760.0
2020-08-12,39.32,40.57,39.2,40.35,198189.0,CLV20,291502.0
2020-08-13,40.28,40.5,39.77,39.92,179530.0,CLV20,323175.0
2020-08-14,40.02,40.24,39.33,39.71,180371.0,CLV20,338286.0
2020-08-17,39.85,40.65,39.49,40.57,193105.0,CLV20,356497.0
2020-08-18,40.45,40.69,39.8,40.52,285141.0,CLV20,359803.0
2020-08-19,40.21,40.61,39.95,40.51,304944.0,CLV20,373131.0
2020-08-20,40.35,40.38,39.03,40.22,377070.0,CLV20,381581.0
2020-08-21,40.14,40.35,38.87,39.75,84770.0,CLX20,213051.0
2020-08-24,39.85,40.26,39.64,40.06,84971.0,CLX20,207657.0
2020-08-25,39.84,40.97,39.76,40.78,108406.0,CLX20,209462.0
2020-08-26,40.87,41.18,40.45,40.82,80804.0,CLX20,210793.0
2020-08-27,40.91,40.94,39.81,40.44,93846.0,CLX20,212806.0
2020-08-28,40.4,40.82,40.16,40.42,102445.0,CLX20,209444.0
2020-08-31,40.43,41.02,39.97,40.03,77846.0,CLX20,211972.0
2020-09-01,40.25,40.83,40.17,40.21,110251.0,CLX20,216779.0
2020-09-02,40.48,40.64,38.72,38.98,120084.0,CLX20,223659.0
2020-09-03,39.09,39.27,37.74,38.85,114483.0,CLX20,224279.0
2020-09-04,38.73,39.32,36.88,37.28,115667.0,CLX20,232390.0
2020-09-08,36.99,37.09,33.71,34.32,269132.0,CLX20,251632.0
2020-09-09,34.31,35.91,33.73,35.54,197322.0,CLX20,269167.0
2020-09-10,35.29,35.66,34.4,34.79,171073.0,CLX20,286517.0
2020-09-11,34.47,35.25,34.15,34.78,152699.0,CLX20,306148.0
2020-09-14,34.73,35.1,34.25,34.69,185186.0,CLX20,330422.0
2020-09-15,34.73,35.95,34.49,35.68,217077.0,CLX20,347206.0
2020-09-16,35.78,37.72,35.75,37.54,283420.0,CLX20,365913.0
2020-09-17,37.54,38.61,36.8,38.35,270184.0,CLX20,374695.0
2020-09-18,38.33,38.85,37.65,38.45,280854.0,CLX20,372537.0
2020-09-21,38.32,38.62,36.0,36.67,405205.0,CLX20,366912.0
2020-09-22,36.97,37.4,36.32,36.93,287807.0,CLX20,369440.0
2020-09-23,36.87,37.88,36.4,37.06,87557.0,CLZ20,292901.0
2020-09-24,36.71,37.48,36.25,37.42,78411.0,CLZ20,297216.0
2020-09-25,37.19,37.73,36.84,37.35,79135.0,CLZ20,296311.0
2020-09-28,37.08,37.9,36.89,37.71,61393.0,CLZ20,299539.0
2020-09-29,37.68,37.78,35.54,36.4,152527.0,CLZ20,302826.0
2020-09-30,36.27,37.45,35.79,37.31,155542.0,CLZ20,303557.0
2020-10-01,36.99,37.54,34.76,35.85,171202.0,CLZ20,308467.0
2020-10-02,35.76,35.77,33.77,34.18,162579.0,CLZ20,312251.0
2020-10-05,34.18,36.8,34.16,36.34,163785.0,CLZ20,313821.0
2020-10-06,36.46,37.95,36.21,37.77,198236.0,CLZ20,321734.0
2020-10-07,36.96,37.45,36.41,37.07,229625.0,CLZ20,331252.0
2020-10-08,37.07,38.43,36.89,38.31,263971.0,CLZ20,336549.0
2020-10-09,38.44,38.58,37.52,37.75,173375.0,CLZ20,347490.0
2020-10-12,37.56,37.59,36.2,36.57,186653.0,CLZ20,374504.0
2020-10-13,36.64,37.63,36.49,37.33,248708.0,CLZ20,392158.0
2020-10-14,37.33,38.27,36.96,38.18,264494.0,CLZ20,408135.0
2020-10-15,38.27,38.41,36.36,38.08,281940.0,CLZ20,418420.0
2020-10-16,38.0,38.14,37.18,37.96,256540.0,CLZ20,420294.0
2020-10-19,37.76,38.3,37.61,37.9,314646.0,CLZ20,424131.0
