,XUC2 Curncy,XUC2 Curncy,XUC2 Curncy,XUC2 Curncy,XUC2 Curncy,XUC2 Curncy,XUC2 Curncy
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,7.2154,7.2314,7.2143,7.2278,2077.0,XUCZ0,20778.0
2020-08-04,7.2279,7.231,7.2201,7.2281,1948.0,XUCZ0,21159.0
2020-08-05,7.2276,7.2314,7.1811,7.1834,2881.0,XUCZ0,21415.0
2020-08-06,7.182,7.1923,7.175,7.1871,3402.0,XUCZ0,21969.0
2020-08-07,7.1876,7.2167,7.1867,7.1995000000000005,2683.0,XUCZ0,22825.0
2020-08-10,7.1994,7.2185,7.1975,7.2124,2403.0,XUCZ0,22794.0
2020-08-11,7.2124,7.216,7.1852,7.1856,4009.0,XUCZ0,23963.0
2020-08-12,7.1852,7.1967,7.1831,7.1865,4971.0,XUCZ0,25383.0
2020-08-13,7.1878,7.1878,7.1692,7.1832,4764.0,XUCZ0,25838.0
2020-08-14,7.1818,7.1932,7.1788,7.1896,4334.0,XUCZ0,25587.0
2020-08-17,7.1888,7.1888,7.169,7.1732,4076.0,XUCZ0,25857.0
2020-08-18,7.1773,7.1781,7.1536,7.1566,5017.0,XUCZ0,26766.0
2020-08-19,7.158,7.158,7.134,7.1348,8455.0,XUCZ0,28515.0
2020-08-20,7.1384,7.1608,7.1371,7.1509,7257.0,XUCZ0,29265.0
2020-08-21,7.152,7.157,7.1271,7.1442,6793.0,XUCZ0,30313.0
2020-08-24,7.1444,7.1588,7.1361,7.1395,7275.0,XUCZ0,31121.0
2020-08-25,7.1401,7.1467,7.1324,7.14,6573.0,XUCZ0,31858.0
2020-08-26,7.1409,7.1454,7.1112,7.1173,8282.0,XUCZ0,33301.0
2020-08-27,7.1163,7.1248,7.0997,7.111,8218.0,XUCZ0,35156.0
2020-08-28,7.1114,7.1229,7.0842,7.0896,13496.0,XUCZ0,36424.0
2020-08-31,7.0884,7.0906,7.0763,7.0802,79.0,XUCH1,3735.0
2020-09-01,7.0761,7.0761,7.0432,7.0547,343.0,XUCH1,3956.0
2020-09-02,7.0507,7.0649,7.0367,7.0518,570.0,XUCH1,4460.0
2020-09-03,7.0514,7.0684,7.0475,7.0624,225.0,XUCH1,4538.0
2020-09-04,7.0607,7.0721,7.0607,7.0653,73.0,XUCH1,4588.0
2020-09-07,7.0681,7.0681,7.0524000000000004,7.0581,135.0,XUCH1,4612.0
2020-09-08,7.0548,7.0616,7.0466,7.0654,674.0,XUCH1,4903.0
2020-09-09,7.0704,7.0744,7.0654,7.0705,527.0,XUCH1,5187.0
2020-09-10,7.0609,7.0612,7.0332,7.0616,746.0,XUCH1,5665.0
2020-09-11,7.0585,7.0585,7.0433,7.0562,258.0,XUCH1,5785.0
2020-09-14,7.0565,7.0565,7.0402,7.0446,925.0,XUCH1,5638.0
2020-09-15,7.0409,7.0409,6.9904,6.9949,1649.0,XUCH1,6524.0
2020-09-16,6.9886,6.9959,6.9701,6.9733,686.0,XUCH1,6818.0
2020-09-17,6.9702,6.9948,6.9620999999999995,6.9874,426.0,XUCH1,6967.0
2020-09-18,6.9846,6.9876000000000005,6.9618,6.9723,905.0,XUCH1,7497.0
2020-09-21,6.9681999999999995,6.9963999999999995,6.9681999999999995,7.0001,356.0,XUCH1,7574.0
2020-09-22,6.9968,7.0237,6.9968,7.0034,862.0,XUCH1,7905.0
2020-09-23,7.0013,7.0142,6.9884,7.009,712.0,XUCH1,8083.0
2020-09-24,7.0067,7.0512,7.0067,7.0567,629.0,XUCH1,8066.0
2020-09-25,7.0472,7.061,7.0274,7.0563,1245.0,XUCH1,8213.0
2020-09-28,7.0605,7.0627,7.0393,7.0438,703.0,XUCH1,8373.0
2020-09-29,7.0369,7.0425,7.0291,7.0384,848.0,XUCH1,8577.0
2020-09-30,7.0315,7.0375,7.0194,7.0262,1145.0,XUCH1,8746.0
2020-10-01,7.0232,7.0232,6.9451,6.9541,722.0,XUCH1,8625.0
2020-10-02,6.9559999999999995,6.9879,6.9411000000000005,6.9744,282.0,XUCH1,8641.0
2020-10-05,6.9654,6.9654,6.9315,6.9424,86.0,XUCH1,8650.0
2020-10-06,6.9401,6.9452,6.9274000000000004,6.9376999999999995,203.0,XUCH1,8625.0
2020-10-07,6.9399999999999995,6.9637,6.937,6.9435,174.0,XUCH1,8627.0
2020-10-08,6.9414,6.9552,6.9354,6.9452,97.0,XUCH1,8627.0
2020-10-09,6.9474,6.9564,6.9093,6.9111,1314.0,XUCH1,8706.0
2020-10-12,6.9085,6.9718,6.8911999999999995,6.9651,1101.0,XUCH1,9101.0
2020-10-13,6.9592,6.9779,6.9454,6.95,1293.0,XUCH1,9699.0
2020-10-14,6.9488,6.9639,6.9404,6.9417,745.0,XUCH1,9854.0
2020-10-15,6.9437999999999995,6.9437999999999995,6.916,6.9392,1380.0,XUCH1,9826.0
2020-10-16,6.9411000000000005,6.9411000000000005,6.9008,6.9089,1235.0,XUCH1,10198.0
2020-10-19,6.8982,6.9093,6.8914,6.8914,844.0,XUCH1,10446.0
2020-10-20,6.8873,6.8923,6.879,6.8838,1281.0,XUCH1,10945.0
