,CL3 Comdty,CL3 Comdty,CL3 Comdty,CL3 Comdty,CL3 Comdty,CL3 Comdty,CL3 Comdty
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,37.02,37.85,36.27,37.7,61702.0,CLX20,132999.0
2020-08-04,37.41,38.57,36.82,38.23,78247.0,CLX20,136591.0
2020-08-05,38.01,39.9,37.96,38.78,102230.0,CLX20,134864.0
2020-08-06,38.76,39.21,38.27,38.58,94403.0,CLX20,130459.0
2020-08-07,38.56,38.78,37.72,37.88,79225.0,CLX20,140491.0
2020-08-10,38.03,38.88,37.85,38.52,73466.0,CLX20,150355.0
2020-08-11,38.56,39.46,38.1,38.22,88928.0,CLX20,169427.0
2020-08-12,38.26,39.48,38.16,39.27,101785.0,CLX20,181619.0
2020-08-13,39.15,39.41,38.71,38.86,88124.0,CLX20,194353.0
2020-08-14,38.96,39.17,38.32,38.69,65448.0,CLX20,199658.0
2020-08-17,38.85,39.58,38.49,39.5,64828.0,CLX20,201988.0
2020-08-18,39.39,39.62,38.78,39.46,60421.0,CLX20,203094.0
2020-08-19,39.1,39.5,38.89,39.41,74882.0,CLX20,206335.0
2020-08-20,39.23,39.25,37.96,39.11,88325.0,CLX20,209300.0
2020-08-21,39.06,39.22,37.78,38.65,95117.0,CLZ20,266000.0
2020-08-24,38.76,39.14,38.55,38.99,73749.0,CLZ20,263689.0
2020-08-25,38.78,39.88,38.71,39.66,119059.0,CLZ20,266620.0
2020-08-26,39.7,40.05,39.35,39.72,85712.0,CLZ20,267339.0
2020-08-27,39.81,39.82,38.73,39.33,90352.0,CLZ20,270035.0
2020-08-28,39.26,39.69,39.05,39.34,79842.0,CLZ20,271620.0
2020-08-31,39.33,39.91,38.87,38.93,59380.0,CLZ20,271326.0
2020-09-01,39.14,39.7,39.09,39.13,86654.0,CLZ20,278183.0
2020-09-02,39.38,39.56,37.69,37.94,129747.0,CLZ20,278220.0
2020-09-03,38.0,38.23,36.75,37.83,122296.0,CLZ20,271924.0
2020-09-04,37.7,38.28,35.92,36.31,116897.0,CLZ20,279092.0
2020-09-08,36.05,36.12,32.84,33.43,243488.0,CLZ20,273526.0
2020-09-09,33.43,34.94,32.83,34.59,157032.0,CLZ20,276835.0
2020-09-10,34.31,34.71,33.45,33.83,135411.0,CLZ20,284084.0
2020-09-11,33.52,34.26,33.19,33.8,120066.0,CLZ20,288890.0
2020-09-14,33.73,34.1,33.25,33.71,120855.0,CLZ20,294109.0
2020-09-15,33.79,34.9,33.51,34.65,140217.0,CLZ20,303104.0
2020-09-16,34.73,36.62,34.7,36.44,219888.0,CLZ20,286655.0
2020-09-17,36.46,37.5,35.7,37.25,153121.0,CLZ20,284995.0
2020-09-18,37.23,37.74,36.58,37.33,112402.0,CLZ20,289523.0
2020-09-21,37.16,37.5,34.93,35.57,113447.0,CLZ20,287092.0
2020-09-22,35.8,36.28,35.22,35.81,62691.0,CLZ20,290314.0
2020-09-23,35.71,36.74,35.3,35.94,47161.0,CLF1,136730.0
2020-09-24,35.58,36.37,35.18,36.31,34562.0,CLF1,137366.0
2020-09-25,36.16,36.61,35.75,36.22,45982.0,CLF1,135746.0
2020-09-28,36.06,36.76,35.77,36.59,23136.0,CLF1,135417.0
2020-09-29,36.55,36.66,34.47,35.29,53648.0,CLF1,137769.0
2020-09-30,35.2,36.32,34.72,36.2,58597.0,CLF1,142513.0
2020-10-01,35.93,36.43,33.69,34.79,72071.0,CLF1,154249.0
2020-10-02,34.66,34.68,32.71,33.15,72518.0,CLF1,166978.0
2020-10-05,33.15,35.74,33.13,35.3,82236.0,CLF1,177283.0
2020-10-06,35.41,36.85,35.15,36.68,78119.0,CLF1,175894.0
2020-10-07,35.8,36.34,35.35,36.0,96222.0,CLF1,184302.0
2020-10-08,36.02,37.33,35.81,37.22,109049.0,CLF1,183259.0
2020-10-09,37.29,37.46,36.45,36.68,74032.0,CLF1,189611.0
2020-10-12,36.51,36.52,35.15,35.52,77915.0,CLF1,199297.0
2020-10-13,35.61,36.53,35.46,36.26,93995.0,CLF1,208129.0
2020-10-14,36.25,37.15,35.89,37.07,80754.0,CLF1,215877.0
2020-10-15,37.18,37.28,35.26,36.96,85553.0,CLF1,225706.0
2020-10-16,36.81,37.02,36.09,36.83,59875.0,CLF1,225988.0
2020-10-19,36.62,37.14,36.47,36.75,74134.0,CLF1,218377.0
2020-10-20,36.65,37.56,36.19,37.38,96582.0,CLF1,219775.0
2020-10-21,36.82,37.26,35.53,35.75,37751.0,CLG1,129347.0
