,XUC3 Curncy,XUC3 Curncy,XUC3 Curncy,XUC3 Curncy,XUC3 Curncy,XUC3 Curncy,XUC3 Curncy
,PX_Open,PX_High,PX_Low,Last_Price,Volume,FUT_CUR_GEN_TICKER,OPEN_INT
2020-08-03,7.2209,7.2217,7.2196,7.2308,85.0,XUCH1,1388.0
2020-08-04,7.2287,7.2337,7.2264,7.2328,85.0,XUCH1,1369.0
2020-08-05,7.2277000000000005,7.2277000000000005,7.1964,7.1889,64.0,XUCH1,1410.0
2020-08-06,7.1802,7.1953,7.1802,7.1929,68.0,XUCH1,1383.0
2020-08-07,7.1947,7.2204,7.1947,7.205,662.0,XUCH1,1822.0
2020-08-10,7.214,7.2174,7.214,7.2175,14.0,XUCH1,1767.0
2020-08-11,7.2211,7.2211,7.2052,7.1926,29.0,XUCH1,1750.0
2020-08-12,7.1897,7.2036,7.1892,7.1926,197.0,XUCH1,1811.0
2020-08-13,7.1811,7.1815,7.1772,7.1886,92.0,XUCH1,1801.0
2020-08-14,7.1926,7.1936,7.1833,7.195,121.0,XUCH1,1797.0
2020-08-17,7.1868,7.1868,7.1746,7.1794,71.0,XUCH1,1806.0
2020-08-18,7.1772,7.1772,7.1629,7.1616,5.0,XUCH1,1807.0
2020-08-19,7.1537,7.1572,7.1419,7.1436,74.0,XUCH1,1870.0
2020-08-20,7.1597,7.1597,7.1544,7.1578,7.0,XUCH1,1873.0
2020-08-21,7.1372,7.1472,7.1352,7.1497,164.0,XUCH1,2011.0
2020-08-24,7.1543,7.1551,7.142,7.1452,97.0,XUCH1,2065.0
2020-08-25,7.1427,7.1486,7.1386,7.1468,63.0,XUCH1,2086.0
2020-08-26,7.1472999999999995,7.1477,7.1188,7.1232,139.0,XUCH1,2183.0
2020-08-27,7.1215,7.1215,7.1047,7.1168,1156.0,XUCH1,3039.0
2020-08-28,7.1202,7.1202,7.0949,7.0994,850.0,XUCH1,3707.0
2020-08-31,7.1019,7.1024,7.0866,7.0907,103.0,XUCM1,1559.0
2020-09-01,7.0876,7.0879,7.0576,7.0659,73.0,XUCM1,1576.0
2020-09-02,7.0654,7.0805,7.0639,7.0631,58.0,XUCM1,1623.0
2020-09-03,7.0597,7.0795,7.0597,7.0736,78.0,XUCM1,1645.0
2020-09-04,7.0814,7.0832,7.0762,7.077,75.0,XUCM1,1698.0
2020-09-07,7.0676,7.0696,7.0656,7.0701,28.0,XUCM1,1721.0
2020-09-08,7.0659,7.0724,7.0659,7.0774,6.0,XUCM1,1715.0
2020-09-09,7.0821,7.086,7.0806000000000004,7.0817,43.0,XUCM1,1712.0
2020-09-10,7.0733,7.0733,7.0622,7.0724,23.0,XUCM1,1717.0
2020-09-11,7.0635,7.0686,7.0568,7.0671,30.0,XUCM1,1726.0
2020-09-14,7.0682,7.0682,7.0566,7.0552,9.0,XUCM1,1722.0
2020-09-15,7.0517,7.0517,7.0023,7.0023,42.0,XUCM1,1723.0
2020-09-16,6.9951,7.01,6.9951,6.9823,14.0,XUCM1,1719.0
2020-09-17,6.9916,7.0026,6.9911,6.9971,96.0,XUCM1,1747.0
2020-09-18,6.9872,6.9872,6.9767,6.9806,40.0,XUCM1,1736.0
2020-09-21,6.9976,7.0014,6.9976,7.009,11.0,XUCM1,1725.0
2020-09-22,,,,7.0124,,XUCM1,1725.0
2020-09-23,7.0015,7.0223,7.0015,7.0177,30.0,XUCM1,1731.0
2020-09-24,7.0369,7.0576,7.0369,7.0661,24.0,XUCM1,1751.0
2020-09-25,7.0644,7.0644,7.0414,7.0652,227.0,XUCM1,1809.0
2020-09-28,7.0662,7.0662,7.0586,7.0531,42.0,XUCM1,1810.0
2020-09-29,7.0421,7.0481,7.0421,7.0485,101.0,XUCM1,1903.0
2020-09-30,7.0393,7.0393,7.0337,7.0355,28.0,XUCM1,1892.0
2020-10-01,6.9767,6.9767,6.9542,6.9643,35.0,XUCM1,1869.0
2020-10-02,6.9576,6.9906,6.9576,6.984,44.0,XUCM1,1866.0
2020-10-05,6.9776,6.9782,6.9776,6.9517,17.0,XUCM1,1867.0
2020-10-06,6.9328,6.9371,6.9328,6.9471,10.0,XUCM1,1859.0
2020-10-07,6.9475,6.9596,6.947,6.953,24.0,XUCM1,1851.0
2020-10-08,6.9502,6.9569,6.9467,6.9555,18.0,XUCM1,1849.0
2020-10-09,6.9357,6.9373000000000005,6.9266,6.9221,101.0,XUCM1,1828.0
2020-10-12,6.9096,6.9818,6.9049,6.9818,49.0,XUCM1,1857.0
2020-10-13,6.9732,6.9916,6.9709,6.9607,190.0,XUCM1,1941.0
2020-10-14,6.9695,6.9695,6.9628,6.9527,17.0,XUCM1,1943.0
2020-10-15,6.9548,6.9556000000000004,6.9315999999999995,6.9503,211.0,XUCM1,2032.0
2020-10-16,6.9444,6.9444,6.9147,6.9205,38.0,XUCM1,1941.0
2020-10-19,6.9199,6.92,6.904,6.9047,26.0,XUCM1,1940.0
2020-10-20,6.8987,6.8994,6.8915,6.896,182.0,XUCM1,2074.0
2020-10-21,6.8967,6.8981,6.8493,6.8625,279.0,XUCM1,2183.0
2020-10-22,6.8614,6.8749,6.8593,6.8876,53.0,XUCM1,2188.0
2020-10-23,6.8870000000000005,6.8911,6.87,6.8711,92.0,XUCM1,2229.0
2020-10-26,6.8702,6.9116,6.8698,6.9132,73.0,XUCM1,2253.0
2020-10-27,6.9134,6.9315999999999995,6.9051,6.938,250.0,XUCM1,2380.0
2020-10-28,6.9296,6.9326,6.9227,6.9344,166.0,XUCM1,2442.0
2020-10-29,6.9422,6.9422,6.9196,6.9276,27.0,XUCM1,2437.0
2020-10-30,6.9174,6.9181,6.8962,6.9048,41.0,XUCM1,2413.0
2020-11-02,6.8968,6.9066,6.8968,6.9021,89.0,XUCM1,2429.0
2020-11-03,6.9005,6.902,6.8916,6.8909,43.0,XUCM1,2472.0
2020-11-04,6.8902,6.9773,6.8883,6.9327,313.0,XUCM1,2621.0
2020-11-05,6.9116,6.9116,6.8317,6.8317,504.0,XUCM1,2832.0
2020-11-06,6.814,6.8353,6.809,6.821,669.0,XUCM1,3139.0
2020-11-09,6.798,6.8132,6.7586,6.7749,213.0,XUCM1,3120.0
2020-11-10,6.7732,6.8476,6.7609,6.8074,847.0,XUCM1,3512.0
2020-11-11,6.8137,6.8301,6.7903,6.8229,632.0,XUCM1,3906.0
2020-11-12,6.8224,6.841,6.8151,6.8277,414.0,XUCM1,4137.0
2020-11-13,6.8256,6.8363,6.8156,6.8227,683.0,XUCM1,4372.0
2020-11-16,6.822,6.8239,6.7781,6.7849,100.0,XUCM1,4373.0
2020-11-17,6.7881,6.7945,6.7583,6.7597000000000005,140.0,XUCM1,4409.0
2020-11-18,6.7636,6.7686,6.7406,6.7537,176.0,XUCM1,4468.0
2020-11-19,6.766,6.7946,6.7646,6.792,152.0,XUCM1,4521.0
2020-11-20,6.7922,6.7922,6.7692,6.7757,253.0,XUCM1,4604.0
2020-11-23,6.7755,6.7755,6.7548,6.7693,168.0,XUCM1,4664.0
2020-11-24,6.7657,6.7892,6.7657,6.7799,202.0,XUCM1,4797.0
2020-11-25,6.7933,6.8031,6.7795,6.7781,728.0,XUCM1,5455.0
2020-11-26,6.7719000000000005,6.7805,6.7643,6.7767,75.0,XUCM1,5485.0
2020-11-27,6.7776,6.7843,6.7703,6.7802,264.0,XUCM1,5652.0
2020-11-30,6.7738,6.7813,6.7719000000000005,6.7743,380.0,XUCM1,5805.0
2020-12-01,6.7778,6.7837,6.7595,6.764,266.0,XUCM1,5851.0
2020-12-02,6.7635,6.7635,6.7406,6.758,159.0,XUCU1,2005.0
2020-12-03,6.7396,6.7448,6.7396,6.7477,49.0,XUCU1,2035.0
2020-12-04,6.7447,6.7447,6.7131,6.7158,187.0,XUCU1,2177.0
2020-12-07,6.7107,6.7214,6.7107,6.7291,12.0,XUCU1,2189.0
2020-12-08,6.7132,6.7174,6.7075,6.7082,71.0,XUCU1,2237.0
2020-12-09,6.6946,6.6946,6.6826,6.6959,113.0,XUCU1,2258.0
2020-12-10,6.7101,6.7118,6.6947,6.712,45.0,XUCU1,2274.0
2020-12-11,6.7137,6.7137,6.7001,6.718,2.0,XUCU1,2273.0
2020-12-14,6.7173,6.7173,6.6922,6.6997,108.0,XUCU1,2312.0
2020-12-15,6.7113,6.7149,6.7078,6.7094000000000005,136.0,XUCU1,2262.0
