,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-14 21:13:00-04:00,79.785,79.785,79.785,79.785,3,1,239.355
2021-07-14 22:55:00-04:00,79.7,79.7,79.7,79.7,2,1,159.4
2021-07-14 23:16:00-04:00,79.72,79.72,79.72,79.72,1,1,79.72
2021-07-14 23:57:00-04:00,79.75,79.75,79.75,79.75,1,1,79.75
2021-07-15 03:04:00-04:00,79.81,79.81,79.81,79.81,1,1,79.81
2021-07-15 04:15:00-04:00,79.93,79.93,79.93,79.93,2,2,159.86
2021-07-15 08:04:00-04:00,79.79,79.79,79.79,79.79,1,1,79.79
2021-07-15 10:26:00-04:00,79.725,79.725,79.725,79.725,2,1,159.45
2021-07-15 10:32:00-04:00,79.79,79.79,79.79,79.79,1,1,79.79
2021-07-15 13:39:00-04:00,79.385,79.385,79.385,79.385,1,1,79.385
