,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty,S Q22 Comdty
,open,high,low,close,volume,num_trds,value
2021-11-08 20:00:00-05:00,1219.5,1219.5,1218.75,1218.75,13,4,15850.75
2021-11-08 20:07:00-05:00,1219.75,1220.0,1219.25,1219.25,6,3,7318.75
2021-11-08 20:12:00-05:00,1219.75,1219.75,1219.75,1219.75,2,2,2439.5
2021-11-08 20:13:00-05:00,1219.75,1219.75,1219.75,1219.75,2,2,2439.5
2021-11-08 20:14:00-05:00,1220.0,1220.0,1220.0,1220.0,1,1,1220.0
2021-11-08 21:15:00-05:00,1220.75,1220.75,1220.75,1220.75,1,1,1220.75
2021-11-08 21:30:00-05:00,1219.75,1219.75,1219.75,1219.75,2,2,2439.5
2021-11-08 21:48:00-05:00,1220.25,1220.25,1220.25,1220.25,2,2,2440.5
2021-11-09 05:39:00-05:00,1221.75,1222.0,1221.75,1222.0,3,3,3665.5
2021-11-09 05:47:00-05:00,1222.0,1222.0,1221.75,1221.75,2,2,2443.75
2021-11-09 05:48:00-05:00,1221.75,1221.75,1221.5,1221.75,5,5,6108.0
2021-11-09 06:55:00-05:00,1220.25,1220.25,1220.25,1220.25,1,1,1220.25
2021-11-09 07:06:00-05:00,1220.5,1220.5,1220.5,1220.5,1,1,1220.5
2021-11-09 07:38:00-05:00,1219.25,1219.25,1219.25,1219.25,1,1,1219.25
2021-11-09 07:41:00-05:00,1219.75,1219.75,1219.75,1219.75,1,1,1219.75
2021-11-09 07:42:00-05:00,1219.25,1219.25,1219.25,1219.25,2,2,2438.5
2021-11-09 07:43:00-05:00,1219.0,1220.0,1219.0,1220.0,16,6,19515.75
2021-11-09 07:47:00-05:00,1219.75,1220.0,1219.75,1220.0,3,3,3659.75
2021-11-09 07:52:00-05:00,1220.25,1220.25,1220.25,1220.25,3,3,3660.75
2021-11-09 07:53:00-05:00,1219.75,1219.75,1219.75,1219.75,2,1,2439.5
2021-11-09 08:06:00-05:00,1219.75,1219.75,1219.75,1219.75,1,1,1219.75
2021-11-09 08:07:00-05:00,1219.75,1219.75,1219.75,1219.75,1,1,1219.75
2021-11-09 08:24:00-05:00,1219.5,1219.5,1219.5,1219.5,2,2,2439.0
2021-11-09 09:30:00-05:00,1220.75,1220.75,1220.75,1220.75,1,1,1220.75
2021-11-09 09:52:00-05:00,1223.25,1223.25,1223.25,1223.25,2,2,2446.5
2021-11-09 09:59:00-05:00,1221.25,1221.25,1221.25,1221.25,1,1,1221.25
2021-11-09 10:00:00-05:00,1221.25,1221.25,1221.25,1221.25,1,1,1221.25
2021-11-09 10:06:00-05:00,1220.5,1220.5,1220.5,1220.5,1,1,1220.5
2021-11-09 10:10:00-05:00,1220.25,1220.25,1220.25,1220.25,1,1,1220.25
2021-11-09 10:12:00-05:00,1219.5,1219.5,1219.5,1219.5,1,1,1219.5
2021-11-09 10:15:00-05:00,1220.0,1220.0,1220.0,1220.0,2,2,2440.0
2021-11-09 10:16:00-05:00,1220.25,1220.25,1220.25,1220.25,4,4,4881.0
2021-11-09 10:17:00-05:00,1220.0,1220.0,1220.0,1220.0,1,1,1220.0
2021-11-09 10:20:00-05:00,1220.0,1220.0,1220.0,1220.0,1,1,1220.0
2021-11-09 10:21:00-05:00,1220.0,1220.0,1220.0,1220.0,2,2,2440.0
2021-11-09 10:22:00-05:00,1220.0,1220.0,1220.0,1220.0,1,1,1220.0
2021-11-09 10:23:00-05:00,1219.75,1219.75,1219.75,1219.75,2,2,2439.5
