,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-05-19 18:45:00-04:00,82.41,82.415,82.41,82.415,2,2,164.825
2021-05-20 07:00:00-04:00,82.515,82.515,82.515,82.515,1,1,82.515
2021-05-20 07:01:00-04:00,82.52,82.52,82.52,82.52,1,1,82.52
2021-05-20 07:23:00-04:00,82.555,82.555,82.555,82.555,4,2,330.22
2021-05-20 07:29:00-04:00,82.57,82.57,82.57,82.57,2,1,165.14
2021-05-20 08:21:00-04:00,82.61,82.61,82.61,82.61,1,1,82.61
2021-05-20 10:05:00-04:00,82.86,82.86,82.86,82.86,1,1,82.86
2021-05-20 10:06:00-04:00,82.84,82.84,82.84,82.84,1,1,82.84
2021-05-20 10:15:00-04:00,82.835,82.835,82.835,82.835,1,1,82.835
2021-05-20 12:50:00-04:00,82.91,82.91,82.91,82.91,4,1,331.64
