,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy,CDU1 Curncy
,open,high,low,close,volume,num_trds,value
2021-05-19 18:10:00-04:00,82.435,82.435,82.435,82.435,1,1,82.435
2021-05-19 18:11:00-04:00,82.43,82.43,82.43,82.43,1,1,82.43
2021-05-19 18:13:00-04:00,82.435,82.435,82.435,82.435,2,2,164.87
2021-05-19 18:15:00-04:00,82.435,82.435,82.435,82.435,2,2,164.87
2021-05-19 18:22:00-04:00,82.415,82.415,82.415,82.415,3,1,247.245
2021-05-19 18:27:00-04:00,82.405,82.405,82.405,82.405,1,1,82.405
2021-05-19 18:29:00-04:00,82.405,82.405,82.405,82.405,1,1,82.405
2021-05-19 18:34:00-04:00,82.405,82.405,82.405,82.405,1,1,82.405
2021-05-19 18:44:00-04:00,82.4,82.4,82.4,82.4,1,1,82.4
2021-05-19 20:09:00-04:00,82.45,82.45,82.45,82.45,1,1,82.45
2021-05-19 20:19:00-04:00,82.5,82.5,82.5,82.5,1,1,82.5
2021-05-19 21:01:00-04:00,82.55,82.55,82.55,82.55,1,1,82.55
2021-05-19 22:09:00-04:00,82.505,82.505,82.505,82.505,1,1,82.505
2021-05-19 22:19:00-04:00,82.48,82.48,82.48,82.48,1,1,82.48
2021-05-20 00:31:00-04:00,82.57,82.57,82.57,82.57,1,1,82.57
2021-05-20 00:33:00-04:00,82.565,82.565,82.565,82.565,1,1,82.565
2021-05-20 01:31:00-04:00,82.6,82.6,82.6,82.6,3,3,247.8
2021-05-20 01:38:00-04:00,82.595,82.595,82.595,82.595,1,1,82.595
2021-05-20 01:39:00-04:00,82.595,82.595,82.595,82.595,1,1,82.595
2021-05-20 02:13:00-04:00,82.61,82.61,82.61,82.61,1,1,82.61
2021-05-20 02:33:00-04:00,82.605,82.605,82.605,82.605,1,1,82.605
2021-05-20 02:34:00-04:00,82.61,82.61,82.61,82.61,1,1,82.61
2021-05-20 02:47:00-04:00,82.585,82.585,82.585,82.585,1,1,82.585
2021-05-20 02:51:00-04:00,82.575,82.575,82.575,82.575,1,1,82.575
2021-05-20 03:02:00-04:00,82.565,82.565,82.565,82.565,1,1,82.565
2021-05-20 03:04:00-04:00,82.57,82.57,82.57,82.57,1,1,82.57
2021-05-20 03:05:00-04:00,82.59,82.59,82.59,82.59,1,1,82.59
2021-05-20 03:07:00-04:00,82.59,82.59,82.59,82.59,1,1,82.59
2021-05-20 03:12:00-04:00,82.6,82.6,82.6,82.6,1,1,82.6
2021-05-20 03:14:00-04:00,82.605,82.605,82.605,82.605,1,1,82.605
2021-05-20 03:15:00-04:00,82.61,82.61,82.61,82.61,1,1,82.61
2021-05-20 03:18:00-04:00,82.62,82.62,82.62,82.62,1,1,82.62
2021-05-20 04:04:00-04:00,82.59,82.59,82.59,82.59,1,1,82.59
2021-05-20 04:08:00-04:00,82.59,82.59,82.59,82.59,1,1,82.59
2021-05-20 04:09:00-04:00,82.58,82.58,82.58,82.58,1,1,82.58
2021-05-20 04:51:00-04:00,82.4,82.4,82.4,82.4,1,1,82.4
2021-05-20 05:00:00-04:00,82.4,82.4,82.4,82.4,1,1,82.4
2021-05-20 05:11:00-04:00,82.41,82.41,82.41,82.41,1,1,82.41
2021-05-20 05:32:00-04:00,82.36,82.36,82.35,82.35,3,2,247.06
2021-05-20 06:53:00-04:00,82.48,82.48,82.48,82.48,6,1,494.88
2021-05-20 08:37:00-04:00,82.61,82.61,82.61,82.61,1,1,82.61
2021-05-20 08:51:00-04:00,82.595,82.595,82.595,82.595,1,1,82.595
2021-05-20 09:44:00-04:00,82.75,82.75,82.75,82.75,1,1,82.75
2021-05-20 09:45:00-04:00,82.78,82.78,82.78,82.78,1,1,82.78
2021-05-20 09:48:00-04:00,82.78,82.785,82.78,82.78,26,7,2152.3
2021-05-20 09:49:00-04:00,82.78,82.78,82.78,82.78,1,1,82.78
2021-05-20 09:50:00-04:00,82.79,82.79,82.79,82.79,1,1,82.79
2021-05-20 09:52:00-04:00,82.785,82.785,82.745,82.745,3,3,248.28
2021-05-20 09:55:00-04:00,82.82,82.82,82.82,82.82,1,1,82.82
2021-05-20 10:04:00-04:00,82.83,82.83,82.83,82.83,1,1,82.83
2021-05-20 10:06:00-04:00,82.83,82.835,82.83,82.835,2,2,165.665
2021-05-20 10:25:00-04:00,82.885,82.885,82.885,82.885,2,1,165.77
2021-05-20 10:36:00-04:00,82.81,82.81,82.81,82.81,1,1,82.81
2021-05-20 10:38:00-04:00,82.815,82.815,82.815,82.815,1,1,82.815
2021-05-20 10:50:00-04:00,82.875,82.875,82.875,82.875,2,1,165.75
2021-05-20 11:09:00-04:00,82.935,82.935,82.935,82.935,1,1,82.935
2021-05-20 11:43:00-04:00,82.915,82.915,82.915,82.915,1,1,82.915
2021-05-20 11:58:00-04:00,82.98,82.98,82.98,82.98,1,1,82.98
2021-05-20 12:08:00-04:00,82.925,82.925,82.925,82.925,1,1,82.925
2021-05-20 12:15:00-04:00,82.885,82.885,82.885,82.885,20,2,1657.7
2021-05-20 12:19:00-04:00,82.85,82.85,82.85,82.85,1,1,82.85
2021-05-20 12:30:00-04:00,82.915,82.915,82.915,82.915,1,1,82.915
2021-05-20 12:32:00-04:00,82.935,82.935,82.935,82.935,1,1,82.935
