,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy
,open,high,low,close,volume,num_trds,value
2021-05-19 18:00:00-04:00,82.445,82.455,82.43,82.45,73,29,6018.465
2021-05-19 18:01:00-04:00,82.45,82.45,82.45,82.45,4,2,329.8
2021-05-19 18:02:00-04:00,82.445,82.445,82.445,82.445,1,1,82.445
2021-05-19 18:04:00-04:00,82.44,82.45,82.44,82.45,11,4,906.93
2021-05-19 18:05:00-04:00,82.44,82.44,82.435,82.44,39,14,3215.125
2021-05-19 18:06:00-04:00,82.435,82.44,82.43,82.44,7,5,577.05
2021-05-19 18:07:00-04:00,82.44,82.44,82.44,82.44,1,1,82.44
2021-05-19 18:09:00-04:00,82.44,82.44,82.44,82.44,3,1,247.32
2021-05-19 18:10:00-04:00,82.435,82.435,82.43,82.435,10,5,824.345
2021-05-19 18:11:00-04:00,82.43,82.43,82.43,82.43,16,4,1318.88
2021-05-19 18:12:00-04:00,82.435,82.435,82.435,82.435,1,1,82.435
2021-05-19 18:13:00-04:00,82.43,82.435,82.43,82.435,5,3,412.155
2021-05-19 18:14:00-04:00,82.435,82.435,82.435,82.435,2,1,164.87
2021-05-19 18:15:00-04:00,82.44,82.44,82.43,82.43,25,11,2060.84
2021-05-19 18:16:00-04:00,82.43,82.43,82.43,82.43,2,1,164.86
2021-05-19 18:18:00-04:00,82.43,82.43,82.425,82.425,2,2,164.855
2021-05-19 18:19:00-04:00,82.425,82.425,82.42,82.42,21,6,1730.91
2021-05-19 18:20:00-04:00,82.42,82.42,82.42,82.42,1,1,82.42
2021-05-19 18:21:00-04:00,82.42,82.425,82.42,82.425,18,5,1483.57
2021-05-19 18:22:00-04:00,82.42,82.42,82.415,82.415,22,7,1813.195
2021-05-19 18:23:00-04:00,82.41,82.42,82.41,82.415,33,7,2719.62
2021-05-19 18:25:00-04:00,82.41,82.41,82.405,82.405,30,13,2472.23
2021-05-19 18:26:00-04:00,82.405,82.405,82.405,82.405,4,3,329.62
2021-05-19 18:27:00-04:00,82.405,82.41,82.405,82.405,9,4,741.68
2021-05-19 18:28:00-04:00,82.41,82.41,82.41,82.41,1,1,82.41
2021-05-19 18:29:00-04:00,82.41,82.41,82.41,82.41,3,2,247.23
2021-05-19 18:30:00-04:00,82.41,82.415,82.41,82.415,3,3,247.235
2021-05-19 18:31:00-04:00,82.42,82.42,82.42,82.42,1,1,82.42
2021-05-19 18:32:00-04:00,82.42,82.42,82.42,82.42,2,2,164.84
2021-05-19 18:33:00-04:00,82.415,82.415,82.415,82.415,1,1,82.415
2021-05-19 18:34:00-04:00,82.415,82.415,82.415,82.415,2,2,164.83
2021-05-19 18:35:00-04:00,82.41,82.41,82.41,82.41,5,3,412.05
2021-05-19 18:36:00-04:00,82.41,82.41,82.41,82.41,1,1,82.41
2021-05-19 18:38:00-04:00,82.405,82.405,82.405,82.405,1,1,82.405
2021-05-19 18:39:00-04:00,82.42,82.42,82.42,82.42,1,1,82.42
2021-05-19 18:42:00-04:00,82.415,82.42,82.415,82.415,3,3,247.25
2021-05-19 18:43:00-04:00,82.41,82.41,82.405,82.41,8,5,659.275
2021-05-19 18:44:00-04:00,82.405,82.405,82.405,82.405,9,1,741.645
2021-05-19 18:46:00-04:00,82.4,82.4,82.4,82.4,8,3,659.2
2021-05-19 18:47:00-04:00,82.395,82.395,82.39,82.39,20,7,1647.87
2021-05-19 18:48:00-04:00,82.39,82.39,82.39,82.39,1,1,82.39
2021-05-19 18:49:00-04:00,82.39,82.39,82.39,82.39,58,16,4778.62
2021-05-19 18:50:00-04:00,82.39,82.39,82.39,82.39,2,1,164.78
2021-05-19 18:51:00-04:00,82.39,82.395,82.39,82.395,31,6,2554.125
2021-05-19 18:52:00-04:00,82.39,82.39,82.39,82.39,2,1,164.78
2021-05-19 18:56:00-04:00,82.39,82.39,82.39,82.39,9,2,741.51
2021-05-19 18:57:00-04:00,82.39,82.39,82.39,82.39,4,1,329.56
2021-05-19 18:58:00-04:00,82.39,82.39,82.39,82.39,4,1,329.56
2021-05-19 18:59:00-04:00,82.39,82.39,82.39,82.39,57,9,4696.23
2021-05-19 19:00:00-04:00,82.385,82.385,82.375,82.375,99,19,8155.555
2021-05-19 19:01:00-04:00,82.375,82.38,82.375,82.38,35,13,2883.29
2021-05-19 19:02:00-04:00,82.38,82.39,82.38,82.39,4,3,329.54
2021-05-19 19:03:00-04:00,82.385,82.395,82.385,82.395,36,9,2966.15
2021-05-19 19:04:00-04:00,82.395,82.395,82.395,82.395,1,1,82.395
2021-05-19 19:05:00-04:00,82.395,82.415,82.395,82.415,89,12,7333.829
2021-05-19 19:06:00-04:00,82.415,82.415,82.415,82.415,9,2,741.735
2021-05-19 19:07:00-04:00,82.415,82.415,82.41,82.41,18,4,1483.385
2021-05-19 19:09:00-04:00,82.415,82.415,82.415,82.415,9,1,741.735
2021-05-19 19:11:00-04:00,82.41,82.41,82.41,82.41,8,2,659.28
2021-05-19 19:12:00-04:00,82.405,82.405,82.405,82.405,2,2,164.81
2021-05-19 19:13:00-04:00,82.4,82.4,82.4,82.4,1,1,82.4
2021-05-19 19:14:00-04:00,82.405,82.405,82.405,82.405,3,1,247.215
2021-05-19 19:15:00-04:00,82.415,82.415,82.415,82.415,5,2,412.075
2021-05-19 19:16:00-04:00,82.42,82.43,82.42,82.43,44,9,3626.67
2021-05-19 19:17:00-04:00,82.425,82.425,82.425,82.425,3,1,247.275
2021-05-19 19:18:00-04:00,82.425,82.425,82.425,82.425,1,1,82.425
2021-05-19 19:20:00-04:00,82.425,82.43,82.425,82.43,9,3,741.845
2021-05-19 19:21:00-04:00,82.435,82.435,82.435,82.435,48,5,3956.88
2021-05-19 19:22:00-04:00,82.44,82.44,82.435,82.44,28,8,2308.27
2021-05-19 19:23:00-04:00,82.44,82.44,82.44,82.44,5,1,412.2
2021-05-19 19:24:00-04:00,82.435,82.435,82.435,82.435,10,3,824.35
2021-05-19 19:25:00-04:00,82.435,82.435,82.43,82.43,39,11,3214.885
2021-05-19 19:26:00-04:00,82.425,82.425,82.425,82.425,4,2,329.7
2021-05-19 19:27:00-04:00,82.42,82.42,82.42,82.42,25,3,2060.5
2021-05-19 19:28:00-04:00,82.425,82.43,82.425,82.43,9,2,741.85
2021-05-19 19:29:00-04:00,82.43,82.43,82.43,82.43,39,9,3214.77
2021-05-19 19:30:00-04:00,82.435,82.435,82.435,82.435,14,2,1154.09
2021-05-19 19:31:00-04:00,82.435,82.435,82.425,82.425,22,6,1813.54
2021-05-19 19:32:00-04:00,82.42,82.42,82.42,82.42,8,3,659.36
2021-05-19 19:33:00-04:00,82.425,82.435,82.425,82.435,28,9,2307.945
2021-05-19 19:34:00-04:00,82.435,82.44,82.435,82.435,14,6,1154.1
2021-05-19 19:35:00-04:00,82.435,82.435,82.43,82.43,9,3,741.91
2021-05-19 19:36:00-04:00,82.43,82.43,82.43,82.43,7,6,577.01
2021-05-19 19:37:00-04:00,82.43,82.435,82.43,82.435,22,10,1813.565
2021-05-19 19:38:00-04:00,82.435,82.435,82.435,82.435,5,1,412.175
2021-05-19 19:40:00-04:00,82.435,82.435,82.435,82.435,2,1,164.87
2021-05-19 19:41:00-04:00,82.44,82.44,82.435,82.435,3,2,247.31
