,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty
,open,high,low,close,volume,num_trds,value
2021-06-03 20:00:00-04:00,1402.0,1406.25,1402.0,1405.0,271,104,380386.5
2021-06-03 20:01:00-04:00,1405.0,1407.5,1405.0,1407.5,90,23,126580.0
2021-06-03 20:02:00-04:00,1407.5,1407.5,1404.75,1405.0,48,38,67474.5
2021-06-03 20:03:00-04:00,1405.0,1406.0,1404.75,1405.5,13,12,18272.25
2021-06-03 20:04:00-04:00,1404.0,1404.75,1402.75,1404.25,116,24,162793.25
2021-06-03 20:05:00-04:00,1405.0,1405.0,1403.25,1403.75,43,18,60365.0
2021-06-03 20:06:00-04:00,1404.25,1405.75,1404.25,1405.75,15,10,21079.25
2021-06-03 20:07:00-04:00,1405.75,1406.0,1405.75,1406.0,5,3,7029.75
2021-06-03 20:08:00-04:00,1405.75,1406.0,1405.5,1406.0,35,10,49200.25
2021-06-03 20:09:00-04:00,1405.5,1406.0,1405.0,1405.25,19,10,26700.75
2021-06-03 20:10:00-04:00,1405.5,1406.0,1405.5,1405.5,23,5,32327.25
2021-06-03 20:11:00-04:00,1404.75,1405.5,1404.75,1405.25,4,4,5620.5
2021-06-03 20:12:00-04:00,1406.0,1406.0,1406.0,1406.0,2,1,2812.0
2021-06-03 20:13:00-04:00,1405.75,1406.0,1405.75,1405.75,10,5,14059.5
2021-06-03 20:14:00-04:00,1406.0,1406.5,1406.0,1406.5,9,6,12657.0
2021-06-03 20:15:00-04:00,1406.5,1406.75,1406.0,1406.75,27,16,37969.25
2021-06-03 20:16:00-04:00,1406.75,1407.25,1406.75,1407.25,11,5,15477.0
2021-06-03 20:17:00-04:00,1406.75,1406.75,1406.25,1406.25,10,5,14065.0
2021-06-03 20:18:00-04:00,1406.0,1406.25,1406.0,1406.0,4,3,5624.25
2021-06-03 20:19:00-04:00,1406.0,1406.0,1406.0,1406.0,1,1,1406.0
2021-06-03 20:20:00-04:00,1406.25,1406.25,1406.25,1406.25,3,1,4218.75
2021-06-03 20:21:00-04:00,1406.25,1406.25,1405.75,1405.75,16,5,22495.5
2021-06-03 20:22:00-04:00,1406.5,1406.75,1406.5,1406.75,5,4,7032.75
2021-06-03 20:23:00-04:00,1407.5,1408.5,1407.5,1408.5,62,21,87308.25
2021-06-03 20:24:00-04:00,1408.0,1408.0,1408.0,1408.0,10,2,14080.0
