,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty
,open,high,low,close,volume,num_trds,value
2021-10-06 20:00:00-04:00,1271.0,1272.5,1271.0,1272.5,42,22,53407.25
2021-10-06 20:01:00-04:00,1272.5,1272.75,1271.0,1271.0,14,9,17811.75
2021-10-06 20:06:00-04:00,1270.75,1270.75,1270.0,1270.5,8,5,10162.75
2021-10-06 20:07:00-04:00,1270.75,1270.75,1270.75,1270.75,1,1,1270.75
2021-10-06 20:47:00-04:00,1274.25,1274.25,1274.25,1274.25,1,1,1274.25
2021-10-06 20:49:00-04:00,1273.75,1273.75,1273.75,1273.75,1,1,1273.75
2021-10-06 21:02:00-04:00,1273.5,1273.5,1273.5,1273.5,1,1,1273.5
2021-10-06 21:03:00-04:00,1273.0,1273.0,1273.0,1273.0,1,1,1273.0
2021-10-06 21:15:00-04:00,1273.25,1273.25,1273.25,1273.25,1,1,1273.25
2021-10-06 21:16:00-04:00,1273.75,1273.75,1273.75,1273.75,2,2,2547.5
2021-10-06 21:37:00-04:00,1275.0,1275.0,1275.0,1275.0,1,1,1275.0
2021-10-06 22:56:00-04:00,1272.75,1272.75,1272.75,1272.75,2,2,2545.5
2021-10-06 23:00:00-04:00,1273.0,1273.0,1273.0,1273.0,4,4,5092.0
2021-10-06 23:16:00-04:00,1272.25,1272.25,1272.25,1272.25,1,1,1272.25
2021-10-06 23:22:00-04:00,1272.25,1272.25,1272.25,1272.25,2,2,2544.5
2021-10-06 23:24:00-04:00,1272.25,1272.25,1272.25,1272.25,1,1,1272.25
2021-10-06 23:27:00-04:00,1272.25,1272.25,1272.25,1272.25,1,1,1272.25
2021-10-07 01:29:00-04:00,1272.25,1272.25,1272.25,1272.25,2,1,2544.5
2021-10-07 01:55:00-04:00,1270.5,1270.5,1270.5,1270.5,1,1,1270.5
2021-10-07 02:00:00-04:00,1270.75,1271.0,1270.75,1271.0,2,2,2541.75
2021-10-07 02:11:00-04:00,1274.0,1274.0,1274.0,1274.0,1,1,1274.0
2021-10-07 02:23:00-04:00,1273.75,1273.75,1273.75,1273.75,1,1,1273.75
2021-10-07 02:47:00-04:00,1273.25,1273.25,1273.25,1273.25,1,1,1273.25
2021-10-07 02:58:00-04:00,1273.0,1273.0,1273.0,1273.0,2,1,2546.0
2021-10-07 03:00:00-04:00,1273.0,1273.0,1273.0,1273.0,1,1,1273.0
2021-10-07 03:03:00-04:00,1273.0,1273.0,1273.0,1273.0,1,1,1273.0
2021-10-07 03:06:00-04:00,1272.75,1272.75,1272.75,1272.75,3,2,3818.25
2021-10-07 03:15:00-04:00,1274.0,1274.25,1274.0,1274.25,3,3,3822.5
2021-10-07 03:34:00-04:00,1272.0,1272.5,1272.0,1272.5,3,3,3817.0
2021-10-07 03:37:00-04:00,1272.75,1272.75,1272.75,1272.75,1,1,1272.75
2021-10-07 03:53:00-04:00,1272.75,1272.75,1272.75,1272.75,7,7,8909.25
