,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty,S F22 Comdty
,open,high,low,close,volume,num_trds,value
2021-10-06 20:00:00-04:00,1252.5,1254.0,1252.5,1254.0,101,35,126552.0
2021-10-06 20:01:00-04:00,1254.25,1254.5,1252.5,1252.75,33,15,41367.5
2021-10-06 20:02:00-04:00,1253.0,1254.0,1253.0,1254.0,26,11,32585.75
2021-10-06 20:03:00-04:00,1253.25,1253.25,1253.25,1253.25,1,1,1253.25
2021-10-06 20:04:00-04:00,1253.5,1253.5,1253.0,1253.0,3,3,3760.0
2021-10-06 20:06:00-04:00,1252.5,1252.5,1251.25,1252.0,23,9,28793.0
2021-10-06 20:07:00-04:00,1252.0,1252.25,1252.0,1252.25,3,3,3756.25
2021-10-06 20:10:00-04:00,1252.5,1253.25,1252.5,1253.25,5,4,6264.75
2021-10-06 20:13:00-04:00,1253.5,1253.5,1253.5,1253.5,1,1,1253.5
2021-10-06 20:14:00-04:00,1253.5,1253.5,1253.5,1253.5,1,1,1253.5
2021-10-06 20:19:00-04:00,1253.5,1253.5,1253.5,1253.5,1,1,1253.5
2021-10-06 20:27:00-04:00,1254.25,1254.25,1254.25,1254.25,1,1,1254.25
2021-10-06 20:32:00-04:00,1254.5,1254.5,1254.25,1254.25,5,5,6272.25
2021-10-06 20:33:00-04:00,1254.5,1254.5,1254.5,1254.5,2,1,2509.0
2021-10-06 20:35:00-04:00,1254.25,1254.25,1254.25,1254.25,6,2,7525.5
2021-10-06 20:36:00-04:00,1254.5,1254.5,1254.5,1254.5,2,2,2509.0
2021-10-06 20:37:00-04:00,1254.75,1255.25,1254.75,1255.25,31,11,38904.5
2021-10-06 20:39:00-04:00,1255.5,1255.5,1255.5,1255.5,1,1,1255.5
2021-10-06 20:40:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-06 20:42:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-06 20:47:00-04:00,1255.75,1256.0,1255.75,1256.0,3,2,3767.75
2021-10-06 20:48:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-10-06 20:54:00-04:00,1255.0,1255.0,1255.0,1255.0,1,1,1255.0
2021-10-06 20:58:00-04:00,1255.0,1255.0,1255.0,1255.0,2,2,2510.0
2021-10-06 20:59:00-04:00,1254.75,1254.75,1254.75,1254.75,1,1,1254.75
2021-10-06 21:01:00-04:00,1255.0,1255.0,1255.0,1255.0,2,1,2510.0
2021-10-06 21:02:00-04:00,1255.0,1255.0,1255.0,1255.0,5,2,6275.0
2021-10-06 21:03:00-04:00,1254.5,1254.5,1254.5,1254.5,2,1,2509.0
2021-10-06 21:05:00-04:00,1254.5,1254.5,1254.5,1254.5,3,1,3763.5
2021-10-06 21:14:00-04:00,1255.0,1255.0,1255.0,1255.0,1,1,1255.0
2021-10-06 21:16:00-04:00,1255.25,1255.25,1255.25,1255.25,4,2,5021.0
2021-10-06 21:25:00-04:00,1254.75,1254.75,1254.75,1254.75,1,1,1254.75
2021-10-06 21:33:00-04:00,1256.0,1256.0,1256.0,1256.0,4,2,5024.0
2021-10-06 21:37:00-04:00,1256.75,1257.0,1256.75,1257.0,2,2,2513.75
2021-10-06 21:43:00-04:00,1255.75,1255.75,1255.75,1255.75,2,2,2511.5
2021-10-06 21:49:00-04:00,1256.0,1256.0,1256.0,1256.0,1,1,1256.0
2021-10-06 21:52:00-04:00,1255.75,1255.75,1255.75,1255.75,2,2,2511.5
2021-10-06 21:56:00-04:00,1255.5,1255.5,1255.5,1255.5,1,1,1255.5
2021-10-06 22:13:00-04:00,1255.0,1255.0,1255.0,1255.0,1,1,1255.0
2021-10-06 22:21:00-04:00,1254.5,1254.5,1254.5,1254.5,1,1,1254.5
2021-10-06 22:32:00-04:00,1254.75,1254.75,1254.75,1254.75,2,1,2509.5
2021-10-06 22:38:00-04:00,1255.0,1255.0,1255.0,1255.0,1,1,1255.0
2021-10-06 22:47:00-04:00,1254.75,1254.75,1254.5,1254.5,5,3,6273.5
2021-10-06 22:49:00-04:00,1254.5,1254.5,1254.5,1254.5,1,1,1254.5
2021-10-06 23:21:00-04:00,1254.0,1254.0,1254.0,1254.0,2,1,2508.0
2021-10-06 23:22:00-04:00,1254.0,1254.0,1254.0,1254.0,1,1,1254.0
2021-10-06 23:24:00-04:00,1254.0,1254.0,1254.0,1254.0,1,1,1254.0
2021-10-06 23:27:00-04:00,1254.0,1254.0,1254.0,1254.0,1,1,1254.0
2021-10-06 23:55:00-04:00,1254.25,1254.25,1254.25,1254.25,2,1,2508.5
2021-10-07 00:34:00-04:00,1254.25,1254.25,1254.25,1254.25,1,1,1254.25
2021-10-07 00:46:00-04:00,1253.75,1253.75,1253.75,1253.75,1,1,1253.75
2021-10-07 00:47:00-04:00,1253.75,1253.75,1253.75,1253.75,1,1,1253.75
2021-10-07 00:52:00-04:00,1253.5,1253.5,1253.5,1253.5,4,2,5014.0
2021-10-07 00:53:00-04:00,1253.75,1253.75,1253.75,1253.75,2,2,2507.5
2021-10-07 00:59:00-04:00,1253.5,1253.5,1253.5,1253.5,1,1,1253.5
2021-10-07 01:01:00-04:00,1253.75,1254.0,1253.75,1254.0,4,3,5015.5
2021-10-07 01:07:00-04:00,1254.0,1254.0,1254.0,1254.0,2,1,2508.0
2021-10-07 01:31:00-04:00,1254.0,1254.0,1254.0,1254.0,1,1,1254.0
2021-10-07 01:40:00-04:00,1253.75,1253.75,1253.0,1253.0,16,12,20051.5
2021-10-07 01:42:00-04:00,1252.5,1252.5,1252.5,1252.5,5,4,6262.5
2021-10-07 01:43:00-04:00,1252.5,1252.5,1252.5,1252.5,1,1,1252.5
2021-10-07 01:44:00-04:00,1252.75,1252.75,1252.75,1252.75,10,5,12527.5
2021-10-07 01:45:00-04:00,1253.0,1253.0,1253.0,1253.0,1,1,1253.0
2021-10-07 01:49:00-04:00,1253.0,1253.0,1253.0,1253.0,2,1,2506.0
2021-10-07 01:50:00-04:00,1252.75,1252.75,1252.75,1252.75,1,1,1252.75
2021-10-07 01:55:00-04:00,1252.5,1252.5,1252.5,1252.5,1,1,1252.5
2021-10-07 02:00:00-04:00,1252.75,1253.25,1252.75,1253.25,7,7,8771.5
2021-10-07 02:01:00-04:00,1253.25,1254.0,1253.25,1254.0,7,7,8776.0
2021-10-07 02:02:00-04:00,1254.5,1254.5,1254.25,1254.25,5,3,6272.25
2021-10-07 02:03:00-04:00,1254.25,1254.25,1254.25,1254.25,1,1,1254.25
2021-10-07 02:04:00-04:00,1254.5,1254.5,1254.5,1254.5,1,1,1254.5
2021-10-07 02:10:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-07 02:11:00-04:00,1256.0,1256.0,1256.0,1256.0,1,1,1256.0
2021-10-07 02:13:00-04:00,1255.5,1255.5,1255.5,1255.5,1,1,1255.5
2021-10-07 02:17:00-04:00,1255.75,1256.0,1255.75,1256.0,2,2,2511.75
2021-10-07 02:19:00-04:00,1256.5,1256.5,1256.5,1256.5,1,1,1256.5
2021-10-07 02:20:00-04:00,1256.5,1256.5,1255.75,1255.75,5,4,6279.5
2021-10-07 02:22:00-04:00,1255.5,1255.5,1255.25,1255.5,6,4,7532.75
2021-10-07 02:23:00-04:00,1256.0,1256.0,1256.0,1256.0,1,1,1256.0
2021-10-07 02:27:00-04:00,1255.5,1255.5,1255.5,1255.5,1,1,1255.5
2021-10-07 02:29:00-04:00,1255.75,1255.75,1255.75,1255.75,4,2,5023.0
2021-10-07 02:31:00-04:00,1255.75,1255.75,1255.5,1255.5,18,13,22601.0
2021-10-07 02:33:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-10-07 02:36:00-04:00,1256.0,1256.0,1256.0,1256.0,16,6,20096.0
2021-10-07 02:37:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-10-07 02:42:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-07 02:43:00-04:00,1255.0,1255.0,1255.0,1255.0,1,1,1255.0
2021-10-07 02:45:00-04:00,1255.0,1255.0,1255.0,1255.0,1,1,1255.0
2021-10-07 02:49:00-04:00,1254.75,1254.75,1254.75,1254.75,1,1,1254.75
2021-10-07 02:51:00-04:00,1254.75,1254.75,1254.75,1254.75,1,1,1254.75
2021-10-07 02:54:00-04:00,1255.0,1255.0,1254.5,1254.5,2,2,2509.5
2021-10-07 02:56:00-04:00,1254.75,1254.75,1254.75,1254.75,4,3,5019.0
2021-10-07 02:58:00-04:00,1254.75,1254.75,1254.75,1254.75,1,1,1254.75
2021-10-07 03:03:00-04:00,1254.75,1254.75,1254.75,1254.75,9,7,11292.75
2021-10-07 03:05:00-04:00,1254.5,1254.5,1254.5,1254.5,2,2,2509.0
2021-10-07 03:06:00-04:00,1254.5,1254.5,1254.0,1254.0,11,4,13795.0
2021-10-07 03:07:00-04:00,1254.0,1254.5,1254.0,1254.5,2,2,2508.5
2021-10-07 03:10:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-07 03:15:00-04:00,1256.25,1256.25,1256.0,1256.0,2,2,2512.25
2021-10-07 03:16:00-04:00,1255.75,1256.0,1255.25,1255.25,5,5,6277.75
2021-10-07 03:17:00-04:00,1255.5,1255.5,1255.25,1255.25,5,3,6276.5
2021-10-07 03:18:00-04:00,1255.25,1255.25,1254.75,1255.0,6,3,7530.75
2021-10-07 03:20:00-04:00,1254.5,1254.5,1254.5,1254.5,2,1,2509.0
2021-10-07 03:23:00-04:00,1253.75,1254.0,1253.75,1254.0,2,2,2507.75
2021-10-07 03:25:00-04:00,1254.0,1254.25,1254.0,1254.25,4,2,5016.25
2021-10-07 03:28:00-04:00,1254.0,1254.0,1254.0,1254.0,2,2,2508.0
2021-10-07 03:30:00-04:00,1254.0,1254.5,1253.75,1253.75,27,13,33867.75
2021-10-07 03:31:00-04:00,1254.0,1254.0,1254.0,1254.0,1,1,1254.0
2021-10-07 03:32:00-04:00,1253.75,1253.75,1253.75,1253.75,1,1,1253.75
2021-10-07 03:33:00-04:00,1253.75,1253.75,1253.5,1253.75,11,8,13790.0
2021-10-07 03:34:00-04:00,1253.25,1253.75,1252.75,1253.75,10,6,12531.5
2021-10-07 03:35:00-04:00,1254.0,1254.0,1254.0,1254.0,1,1,1254.0
2021-10-07 03:36:00-04:00,1254.25,1254.25,1254.25,1254.25,2,2,2508.5
2021-10-07 03:38:00-04:00,1254.0,1254.25,1254.0,1254.25,2,2,2508.25
2021-10-07 03:39:00-04:00,1254.5,1254.5,1254.5,1254.5,1,1,1254.5
2021-10-07 03:48:00-04:00,1253.75,1253.75,1253.75,1253.75,1,1,1253.75
2021-10-07 03:56:00-04:00,1253.75,1253.75,1253.75,1253.75,2,2,2507.5
2021-10-07 04:04:00-04:00,1253.25,1253.25,1253.0,1253.0,3,2,3759.25
2021-10-07 04:05:00-04:00,1253.5,1253.75,1253.5,1253.75,4,2,5014.25
2021-10-07 04:06:00-04:00,1253.25,1253.25,1253.25,1253.25,1,1,1253.25
2021-10-07 04:10:00-04:00,1252.75,1253.0,1252.75,1252.75,10,6,12529.5
2021-10-07 04:11:00-04:00,1252.5,1253.0,1252.5,1252.75,8,7,10021.5
2021-10-07 04:12:00-04:00,1253.25,1253.25,1253.25,1253.25,1,1,1253.25
2021-10-07 04:13:00-04:00,1253.0,1253.25,1253.0,1253.25,3,3,3759.5
2021-10-07 04:14:00-04:00,1253.0,1253.0,1253.0,1253.0,1,1,1253.0
2021-10-07 04:23:00-04:00,1253.0,1253.0,1253.0,1253.0,2,2,2506.0
2021-10-07 04:24:00-04:00,1253.0,1253.0,1253.0,1253.0,1,1,1253.0
2021-10-07 04:25:00-04:00,1252.75,1252.75,1252.5,1252.5,5,3,6263.5
2021-10-07 04:26:00-04:00,1252.25,1252.5,1252.0,1252.5,4,3,5009.25
2021-10-07 04:27:00-04:00,1252.75,1252.75,1252.75,1252.75,1,1,1252.75
2021-10-07 04:28:00-04:00,1253.25,1253.25,1253.25,1253.25,4,1,5013.0
2021-10-07 04:29:00-04:00,1253.75,1254.0,1253.75,1254.0,4,3,5015.5
2021-10-07 04:31:00-04:00,1254.0,1254.0,1254.0,1254.0,2,2,2508.0
2021-10-07 04:32:00-04:00,1254.25,1254.25,1254.25,1254.25,2,1,2508.5
2021-10-07 04:36:00-04:00,1254.75,1254.75,1254.75,1254.75,2,1,2509.5
2021-10-07 04:39:00-04:00,1254.25,1254.25,1254.25,1254.25,2,1,2508.5
2021-10-07 04:41:00-04:00,1254.0,1254.0,1254.0,1254.0,1,1,1254.0
2021-10-07 04:43:00-04:00,1254.0,1254.0,1254.0,1254.0,2,1,2508.0
2021-10-07 04:48:00-04:00,1253.75,1253.75,1253.5,1253.5,15,4,18802.75
2021-10-07 04:51:00-04:00,1253.25,1253.5,1253.25,1253.5,4,4,5013.25
2021-10-07 04:54:00-04:00,1253.5,1253.5,1253.5,1253.5,1,1,1253.5
2021-10-07 04:56:00-04:00,1253.0,1253.0,1253.0,1253.0,1,1,1253.0
2021-10-07 04:58:00-04:00,1253.25,1253.25,1253.25,1253.25,2,2,2506.5
2021-10-07 05:04:00-04:00,1253.0,1253.0,1252.5,1252.75,5,5,6263.75
2021-10-07 05:08:00-04:00,1252.5,1252.5,1252.5,1252.5,3,3,3757.5
2021-10-07 05:09:00-04:00,1252.5,1252.75,1252.5,1252.75,5,4,6263.0
2021-10-07 05:10:00-04:00,1253.0,1253.25,1253.0,1253.25,2,2,2506.25
2021-10-07 05:11:00-04:00,1252.75,1253.0,1252.75,1253.0,2,2,2505.75
2021-10-07 05:27:00-04:00,1253.25,1253.5,1253.25,1253.5,7,5,8773.75
2021-10-07 05:28:00-04:00,1253.5,1253.5,1253.5,1253.5,1,1,1253.5
2021-10-07 05:29:00-04:00,1253.25,1253.25,1253.25,1253.25,1,1,1253.25
2021-10-07 05:31:00-04:00,1253.5,1253.5,1253.5,1253.5,3,2,3760.5
2021-10-07 05:34:00-04:00,1253.5,1253.5,1253.5,1253.5,2,1,2507.0
2021-10-07 05:35:00-04:00,1253.5,1253.5,1253.5,1253.5,1,1,1253.5
2021-10-07 05:36:00-04:00,1253.75,1254.5,1253.75,1254.5,9,6,11288.25
2021-10-07 05:37:00-04:00,1254.5,1254.5,1254.0,1254.0,4,4,5016.75
2021-10-07 05:38:00-04:00,1254.0,1254.5,1254.0,1254.5,9,7,11289.25
2021-10-07 05:39:00-04:00,1254.25,1255.0,1254.25,1254.75,27,17,33876.5
2021-10-07 05:40:00-04:00,1254.5,1254.5,1254.25,1254.25,3,3,3763.25
2021-10-07 05:41:00-04:00,1254.25,1254.5,1254.25,1254.5,2,2,2508.75
2021-10-07 05:43:00-04:00,1254.75,1254.75,1254.75,1254.75,1,1,1254.75
2021-10-07 05:44:00-04:00,1255.0,1255.0,1255.0,1255.0,1,1,1255.0
2021-10-07 05:46:00-04:00,1255.25,1255.75,1255.25,1255.5,20,10,25109.25
2021-10-07 05:48:00-04:00,1255.25,1255.5,1255.25,1255.25,8,4,10042.5
2021-10-07 05:49:00-04:00,1255.0,1255.0,1255.0,1255.0,1,1,1255.0
2021-10-07 05:50:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-07 05:53:00-04:00,1255.5,1255.5,1255.5,1255.5,1,1,1255.5
2021-10-07 05:54:00-04:00,1255.75,1255.75,1255.5,1255.5,5,2,6278.5
2021-10-07 05:55:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-07 05:56:00-04:00,1255.5,1255.5,1255.5,1255.5,3,2,3766.5
2021-10-07 05:58:00-04:00,1255.25,1255.5,1255.25,1255.5,4,4,5021.5
2021-10-07 06:00:00-04:00,1255.75,1255.75,1255.5,1255.5,6,6,7534.25
2021-10-07 06:01:00-04:00,1255.75,1255.75,1255.5,1255.5,3,3,3767.0
2021-10-07 06:02:00-04:00,1255.25,1255.5,1255.25,1255.5,5,2,6276.5
2021-10-07 06:03:00-04:00,1255.75,1255.75,1255.75,1255.75,7,6,8790.25
2021-10-07 06:04:00-04:00,1255.5,1255.5,1255.25,1255.25,6,6,7532.75
2021-10-07 06:05:00-04:00,1255.5,1255.5,1255.5,1255.5,1,1,1255.5
2021-10-07 06:06:00-04:00,1255.5,1255.5,1255.5,1255.5,3,1,3766.5
2021-10-07 06:08:00-04:00,1255.25,1255.25,1255.25,1255.25,2,2,2510.5
2021-10-07 06:09:00-04:00,1255.0,1255.0,1255.0,1255.0,6,3,7530.0
2021-10-07 06:11:00-04:00,1255.0,1255.75,1255.0,1255.75,58,6,72823.25
2021-10-07 06:12:00-04:00,1255.5,1256.0,1255.25,1255.5,16,7,20090.25
2021-10-07 06:14:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-10-07 06:15:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-07 06:16:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-07 06:19:00-04:00,1255.25,1255.25,1255.0,1255.0,4,2,5020.75
2021-10-07 06:20:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-07 06:21:00-04:00,1255.5,1255.75,1255.5,1255.5,6,4,7533.5
2021-10-07 06:22:00-04:00,1255.5,1255.5,1255.25,1255.25,7,6,8787.75
2021-10-07 06:23:00-04:00,1255.0,1255.0,1255.0,1255.0,1,1,1255.0
2021-10-07 06:24:00-04:00,1255.25,1255.5,1255.25,1255.25,24,18,30129.75
2021-10-07 06:25:00-04:00,1255.0,1255.0,1255.0,1255.0,3,3,3765.0
2021-10-07 06:26:00-04:00,1254.75,1254.75,1254.5,1254.5,3,2,3763.75
2021-10-07 06:28:00-04:00,1254.75,1254.75,1254.5,1254.75,4,3,5018.5
2021-10-07 06:30:00-04:00,1254.5,1254.5,1254.25,1254.5,10,8,12544.25
2021-10-07 06:31:00-04:00,1254.25,1254.5,1254.25,1254.5,4,2,5017.25
2021-10-07 06:34:00-04:00,1254.5,1254.5,1254.5,1254.5,1,1,1254.5
2021-10-07 06:46:00-04:00,1254.75,1254.75,1254.75,1254.75,1,1,1254.75
2021-10-07 06:48:00-04:00,1254.5,1254.5,1254.5,1254.5,4,2,5018.0
2021-10-07 06:53:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-07 06:54:00-04:00,1255.5,1255.5,1255.5,1255.5,1,1,1255.5
2021-10-07 06:55:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-07 06:56:00-04:00,1255.0,1255.0,1255.0,1255.0,1,1,1255.0
2021-10-07 07:01:00-04:00,1255.25,1255.25,1255.0,1255.0,14,8,17571.5
2021-10-07 07:03:00-04:00,1255.0,1255.0,1255.0,1255.0,2,1,2510.0
2021-10-07 07:04:00-04:00,1255.5,1255.5,1255.5,1255.5,7,3,8788.5
2021-10-07 07:07:00-04:00,1255.5,1255.5,1255.5,1255.5,1,1,1255.5
2021-10-07 07:08:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-07 07:11:00-04:00,1255.5,1255.5,1255.0,1255.0,4,4,5020.75
2021-10-07 07:12:00-04:00,1255.5,1255.75,1255.5,1255.75,5,3,6278.25
2021-10-07 07:13:00-04:00,1255.75,1255.75,1255.75,1255.75,3,1,3767.25
2021-10-07 07:14:00-04:00,1255.75,1256.5,1255.75,1256.5,207,61,259992.25
2021-10-07 07:16:00-04:00,1256.75,1256.75,1256.75,1256.75,7,3,8797.25
2021-10-07 07:17:00-04:00,1256.5,1256.5,1256.5,1256.5,1,1,1256.5
2021-10-07 07:18:00-04:00,1256.5,1256.5,1256.25,1256.25,3,3,3769.25
2021-10-07 07:19:00-04:00,1256.25,1256.5,1256.25,1256.5,4,2,5025.5
2021-10-07 07:21:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-10-07 07:22:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-10-07 07:23:00-04:00,1255.5,1255.5,1255.5,1255.5,1,1,1255.5
2021-10-07 07:25:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-10-07 07:26:00-04:00,1256.0,1256.25,1256.0,1256.25,4,4,5024.75
2021-10-07 07:29:00-04:00,1256.5,1256.5,1256.5,1256.5,1,1,1256.5
2021-10-07 07:30:00-04:00,1257.0,1257.25,1257.0,1257.25,10,6,12571.25
2021-10-07 07:31:00-04:00,1256.75,1256.75,1255.75,1255.75,25,5,31401.25
2021-10-07 07:33:00-04:00,1256.25,1256.25,1256.25,1256.25,3,3,3768.75
2021-10-07 07:34:00-04:00,1256.0,1256.0,1255.75,1255.75,4,4,5023.25
2021-10-07 07:35:00-04:00,1256.0,1256.0,1256.0,1256.0,1,1,1256.0
2021-10-07 07:36:00-04:00,1256.25,1256.25,1256.0,1256.0,5,2,6280.75
2021-10-07 07:37:00-04:00,1256.75,1256.75,1256.75,1256.75,2,2,2513.5
2021-10-07 07:38:00-04:00,1256.5,1256.5,1256.5,1256.5,1,1,1256.5
2021-10-07 07:39:00-04:00,1256.75,1257.0,1256.75,1257.0,3,2,3770.5
2021-10-07 07:41:00-04:00,1257.0,1257.25,1257.0,1257.25,7,7,8800.0
2021-10-07 07:42:00-04:00,1257.25,1257.25,1257.25,1257.25,1,1,1257.25
2021-10-07 07:43:00-04:00,1257.0,1257.0,1256.75,1256.75,4,2,5027.75
2021-10-07 07:44:00-04:00,1256.75,1256.75,1256.75,1256.75,20,6,25135.0
2021-10-07 07:45:00-04:00,1256.75,1256.75,1256.75,1256.75,6,3,7540.5
2021-10-07 07:46:00-04:00,1256.5,1256.75,1256.5,1256.75,20,10,25130.75
2021-10-07 07:49:00-04:00,1256.75,1256.75,1256.75,1256.75,3,1,3770.25
2021-10-07 07:50:00-04:00,1256.75,1256.75,1256.75,1256.75,3,2,3770.25
2021-10-07 07:51:00-04:00,1256.75,1256.75,1256.5,1256.75,20,13,25131.25
2021-10-07 07:52:00-04:00,1256.5,1256.75,1256.5,1256.75,8,6,10052.25
2021-10-07 07:56:00-04:00,1257.0,1257.25,1256.75,1256.75,94,19,118160.25
2021-10-07 07:57:00-04:00,1256.75,1256.75,1256.75,1256.75,4,3,5027.0
2021-10-07 07:58:00-04:00,1256.5,1256.5,1256.5,1256.5,5,4,6282.5
2021-10-07 07:59:00-04:00,1256.75,1257.0,1256.75,1257.0,26,11,32681.25
2021-10-07 08:00:00-04:00,1257.0,1257.5,1257.0,1257.0,122,41,153371.25
2021-10-07 08:01:00-04:00,1256.75,1256.75,1256.5,1256.75,7,7,8796.5
2021-10-07 08:02:00-04:00,1257.0,1257.0,1256.75,1257.0,26,9,32676.25
2021-10-07 08:03:00-04:00,1256.75,1257.25,1256.75,1257.0,12,7,15084.0
2021-10-07 08:05:00-04:00,1257.25,1257.25,1256.75,1256.75,10,5,12569.75
2021-10-07 08:06:00-04:00,1256.75,1257.0,1256.75,1256.75,21,3,26395.0
2021-10-07 08:07:00-04:00,1256.0,1256.25,1256.0,1256.0,9,6,11304.25
2021-10-07 08:08:00-04:00,1256.0,1256.0,1256.0,1256.0,5,3,6280.0
2021-10-07 08:09:00-04:00,1255.75,1255.75,1255.5,1255.75,5,4,6278.5
2021-10-07 08:10:00-04:00,1255.5,1255.5,1255.5,1255.5,3,2,3766.5
2021-10-07 08:11:00-04:00,1255.5,1255.5,1255.5,1255.5,4,2,5022.0
2021-10-07 08:12:00-04:00,1255.5,1255.75,1255.0,1255.0,11,9,13809.0
2021-10-07 08:13:00-04:00,1255.25,1255.25,1255.25,1255.25,3,3,3765.75
2021-10-07 08:19:00-04:00,1256.0,1256.5,1256.0,1256.5,6,3,7538.0
2021-10-07 08:22:00-04:00,1256.0,1256.0,1255.75,1255.75,2,2,2511.75
2021-10-07 08:26:00-04:00,1255.75,1256.0,1255.75,1256.0,5,2,6279.0
2021-10-07 08:27:00-04:00,1255.75,1255.75,1255.5,1255.5,2,2,2511.25
2021-10-07 08:30:00-04:00,1255.5,1255.5,1255.5,1255.5,3,3,3766.5
2021-10-07 08:32:00-04:00,1255.5,1256.25,1255.5,1256.25,8,5,10047.5
2021-10-07 08:33:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-10-07 08:34:00-04:00,1255.25,1255.5,1255.25,1255.5,2,2,2510.75
2021-10-07 08:35:00-04:00,1255.5,1255.5,1255.5,1255.5,4,3,5022.0
2021-10-07 08:37:00-04:00,1255.25,1255.75,1255.25,1255.75,5,2,6277.75
2021-10-07 08:38:00-04:00,1255.5,1255.5,1255.25,1255.25,7,4,8787.75
2021-10-07 08:39:00-04:00,1255.0,1255.25,1255.0,1255.25,18,5,22591.25
2021-10-07 08:40:00-04:00,1255.0,1255.0,1255.0,1255.0,1,1,1255.0
2021-10-07 08:41:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-10-07 08:42:00-04:00,1256.0,1256.25,1256.0,1256.25,7,2,8793.25
2021-10-07 08:43:00-04:00,1256.0,1256.0,1256.0,1256.0,1,1,1256.0
2021-10-07 08:44:00-04:00,1255.0,1255.0,1255.0,1255.0,5,3,6275.0
