,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-06 18:31:00-04:00,79.8,79.8,79.8,79.8,2,1,159.6
2021-09-06 21:46:00-04:00,79.86,79.86,79.86,79.86,1,1,79.86
2021-09-07 04:03:00-04:00,79.605,79.605,79.6,79.6,2,2,159.205
2021-09-07 04:40:00-04:00,79.61,79.61,79.61,79.61,1,1,79.61
2021-09-07 07:08:00-04:00,79.485,79.485,79.485,79.485,1,1,79.485
2021-09-07 08:09:00-04:00,79.395,79.395,79.395,79.395,2,1,158.79
2021-09-07 10:06:00-04:00,79.33,79.33,79.33,79.33,1,1,79.33
2021-09-07 10:07:00-04:00,79.35,79.35,79.35,79.35,1,1,79.35
2021-09-07 10:31:00-04:00,79.205,79.205,79.205,79.205,2,1,158.41
2021-09-07 10:56:00-04:00,79.09,79.09,79.09,79.09,2,1,158.18
2021-09-07 10:58:00-04:00,79.14,79.14,79.14,79.14,1,1,79.14
2021-09-07 11:26:00-04:00,79.14,79.14,79.14,79.14,3,1,237.42
2021-09-07 12:03:00-04:00,79.21,79.21,79.21,79.21,2,1,158.42
2021-09-07 12:08:00-04:00,79.215,79.215,79.215,79.215,3,2,237.645
2021-09-07 14:31:00-04:00,79.13,79.13,79.13,79.13,2,1,158.26
2021-09-07 14:35:00-04:00,79.14,79.14,79.14,79.14,2,1,158.28
2021-09-07 14:58:00-04:00,79.09,79.09,79.09,79.09,1,1,79.09
