,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-23 20:21:00-04:00,79.01,79.01,79.01,79.01,5,1,395.05
2021-08-23 21:04:00-04:00,79.02,79.02,79.02,79.02,5,1,395.1
2021-08-24 07:55:00-04:00,79.225,79.225,79.22,79.22,3,2,237.665
2021-08-24 09:49:00-04:00,79.17,79.17,79.17,79.17,1,1,79.17
2021-08-24 10:36:00-04:00,79.35,79.35,79.35,79.35,3,3,238.05
2021-08-24 11:25:00-04:00,79.34,79.34,79.34,79.34,1,1,79.34
2021-08-24 11:54:00-04:00,79.255,79.255,79.25,79.25,2,2,158.505
2021-08-24 12:19:00-04:00,79.265,79.265,79.265,79.265,1,1,79.265
2021-08-24 12:37:00-04:00,79.295,79.295,79.295,79.295,2,1,158.59
2021-08-24 12:51:00-04:00,79.355,79.355,79.355,79.355,1,1,79.355
2021-08-24 14:14:00-04:00,79.37,79.37,79.37,79.37,3,1,238.11
2021-08-24 14:35:00-04:00,79.395,79.395,79.395,79.395,1,1,79.395
2021-08-24 14:45:00-04:00,79.38,79.38,79.38,79.38,4,1,317.52
2021-08-24 15:30:00-04:00,79.4,79.4,79.4,79.4,2,1,158.8
2021-08-24 15:58:00-04:00,79.365,79.365,79.365,79.365,3,2,238.095
