,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-10 05:32:00-04:00,79.29,79.29,79.29,79.29,2,2,158.58
2021-09-10 06:54:00-04:00,79.24,79.24,79.24,79.24,2,1,158.48
2021-09-10 08:09:00-04:00,79.38,79.38,79.38,79.38,1,1,79.38
2021-09-10 08:22:00-04:00,79.335,79.335,79.335,79.335,1,1,79.335
2021-09-10 08:40:00-04:00,79.415,79.415,79.415,79.415,1,1,79.415
2021-09-10 09:43:00-04:00,79.345,79.345,79.345,79.345,1,1,79.345
2021-09-10 09:51:00-04:00,79.345,79.345,79.345,79.345,1,1,79.345
2021-09-10 13:24:00-04:00,79.055,79.055,79.055,79.055,1,1,79.055
2021-09-10 13:54:00-04:00,78.97,78.97,78.97,78.97,1,1,78.97
2021-09-10 14:36:00-04:00,78.99,78.99,78.99,78.99,1,1,78.99
2021-09-10 14:37:00-04:00,78.98,78.98,78.98,78.98,1,1,78.98
