,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-09 18:19:00-04:00,78.975,78.975,78.97,78.97,2,2,157.945
2021-09-09 20:09:00-04:00,78.995,78.995,78.995,78.995,1,1,78.995
2021-09-09 20:45:00-04:00,78.965,78.97,78.965,78.97,2,2,157.935
2021-09-09 21:03:00-04:00,78.925,78.925,78.915,78.915,10,3,789.215
2021-09-09 21:57:00-04:00,79.005,79.005,79.005,79.005,1,1,79.005
2021-09-10 00:10:00-04:00,79.09,79.09,79.09,79.09,1,1,79.09
2021-09-10 03:02:00-04:00,79.14,79.15,79.14,79.15,8,2,633.14
2021-09-10 03:05:00-04:00,79.12,79.12,79.12,79.12,1,1,79.12
2021-09-10 03:15:00-04:00,79.14,79.14,79.14,79.14,1,1,79.14
2021-09-10 03:20:00-04:00,79.13,79.13,79.13,79.13,1,1,79.13
2021-09-10 04:47:00-04:00,79.335,79.335,79.335,79.335,1,1,79.335
2021-09-10 05:00:00-04:00,79.385,79.385,79.385,79.385,2,1,158.77
2021-09-10 08:15:00-04:00,79.36,79.36,79.36,79.36,10,3,793.6
2021-09-10 09:05:00-04:00,79.44,79.44,79.44,79.44,1,1,79.44
2021-09-10 09:41:00-04:00,79.375,79.375,79.375,79.375,1,1,79.375
2021-09-10 09:50:00-04:00,79.365,79.365,79.365,79.365,2,1,158.73
2021-09-10 11:25:00-04:00,79.15,79.15,79.15,79.15,5,1,395.75
2021-09-10 11:31:00-04:00,79.13,79.13,79.13,79.13,2,1,158.26
2021-09-10 13:25:00-04:00,79.06,79.06,79.06,79.06,1,1,79.06
2021-09-10 14:46:00-04:00,79.005,79.005,79.005,79.005,1,1,79.005
