,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-09 20:32:00-04:00,82.525,82.525,82.525,82.525,5,1,412.625
2021-06-09 20:52:00-04:00,82.5,82.5,82.495,82.495,2,2,164.995
2021-06-09 21:25:00-04:00,82.475,82.475,82.475,82.475,5,1,412.375
2021-06-10 01:34:00-04:00,82.56,82.56,82.56,82.56,3,1,247.68
2021-06-10 02:28:00-04:00,82.58,82.58,82.58,82.58,2,1,165.16
2021-06-10 03:17:00-04:00,82.545,82.545,82.545,82.545,1,1,82.545
2021-06-10 06:55:00-04:00,82.59,82.59,82.59,82.59,1,1,82.59
2021-06-10 08:11:00-04:00,82.58,82.605,82.58,82.605,30,6,2477.825
2021-06-10 08:12:00-04:00,82.58,82.645,82.58,82.645,30,6,2478.69
2021-06-10 08:13:00-04:00,82.59,82.61,82.59,82.605,40,8,3303.91
2021-06-10 08:49:00-04:00,82.725,82.725,82.725,82.725,2,1,165.45
2021-06-10 09:50:00-04:00,82.71,82.71,82.71,82.71,2,1,165.42
2021-06-10 09:51:00-04:00,82.715,82.73,82.715,82.73,8,2,661.765
2021-06-10 10:27:00-04:00,82.805,82.805,82.795,82.795,12,2,993.6
2021-06-10 10:29:00-04:00,82.805,82.825,82.805,82.825,10,4,828.105
2021-06-10 10:39:00-04:00,82.735,82.735,82.735,82.735,1,1,82.735
2021-06-10 12:50:00-04:00,82.735,82.735,82.735,82.735,5,1,413.675
2021-06-10 14:32:00-04:00,82.69,82.69,82.69,82.69,1,1,82.69
2021-06-10 14:41:00-04:00,82.69,82.69,82.69,82.69,1,1,82.69
2021-06-10 15:14:00-04:00,82.7,82.7,82.7,82.7,2,2,165.4
