,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-15 22:08:00-04:00,79.13,79.13,79.13,79.13,1,1,79.13
2021-09-15 23:41:00-04:00,79.115,79.12,79.115,79.12,5,2,395.59
2021-09-16 02:00:00-04:00,79.095,79.095,79.095,79.095,1,1,79.095
2021-09-16 02:20:00-04:00,79.125,79.125,79.125,79.125,1,1,79.125
2021-09-16 03:51:00-04:00,79.12,79.12,79.12,79.12,1,1,79.12
2021-09-16 04:41:00-04:00,79.05,79.05,79.05,79.05,1,1,79.05
2021-09-16 10:31:00-04:00,78.78,78.78,78.78,78.78,1,1,78.78
2021-09-16 10:32:00-04:00,78.75,78.75,78.75,78.75,3,1,236.25
2021-09-16 10:38:00-04:00,78.79,78.79,78.79,78.79,3,1,236.37
2021-09-16 11:33:00-04:00,78.82,78.82,78.82,78.82,1,1,78.82
2021-09-16 11:45:00-04:00,78.82,78.82,78.82,78.82,1,1,78.82
2021-09-16 13:08:00-04:00,78.815,78.815,78.815,78.815,3,1,236.445
2021-09-16 13:11:00-04:00,78.81,78.81,78.81,78.81,1,1,78.81
2021-09-16 14:04:00-04:00,78.84,78.84,78.84,78.84,1,1,78.84
2021-09-16 15:28:00-04:00,78.84,78.84,78.84,78.84,1,1,78.84
