,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-15 23:41:00-04:00,79.11,79.115,79.11,79.115,5,2,395.565
2021-09-16 08:41:00-04:00,79.09,79.09,79.09,79.09,1,1,79.09
2021-09-16 10:03:00-04:00,78.875,78.875,78.875,78.875,3,1,236.625
2021-09-16 10:32:00-04:00,78.75,78.75,78.75,78.75,2,1,157.5
2021-09-16 10:38:00-04:00,78.815,78.815,78.815,78.815,1,1,78.815
2021-09-16 10:44:00-04:00,78.82,78.82,78.82,78.82,1,1,78.82
2021-09-16 10:50:00-04:00,78.795,78.8,78.795,78.8,4,3,315.195
2021-09-16 13:01:00-04:00,78.825,78.825,78.825,78.825,2,1,157.65
2021-09-16 13:08:00-04:00,78.81,78.815,78.81,78.815,5,2,394.06
