,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty
,open,high,low,close,volume,num_trds,value
2021-07-06 10:35:00-04:00,1331.25,1331.5,1329.0,1329.25,270,111,359105.25
2021-07-06 10:36:00-04:00,1329.0,1329.5,1329.0,1329.0,286,50,380122.0
2021-07-06 10:37:00-04:00,1329.0,1329.5,1327.75,1329.0,255,105,338799.75
2021-07-06 10:38:00-04:00,1329.0,1330.5,1328.75,1330.25,155,75,206099.5
2021-07-06 10:39:00-04:00,1330.25,1331.0,1330.25,1330.75,89,50,118421.25
2021-07-06 10:40:00-04:00,1330.75,1330.75,1329.75,1329.75,99,42,131697.0
2021-07-06 10:41:00-04:00,1329.5,1329.75,1327.5,1328.0,128,61,169993.5
2021-07-06 10:42:00-04:00,1328.0,1329.0,1327.75,1329.0,173,78,229870.25
2021-07-06 10:43:00-04:00,1328.75,1329.0,1328.0,1328.75,141,70,187329.0
2021-07-06 10:44:00-04:00,1328.5,1329.0,1328.25,1328.5,97,47,128873.0
2021-07-06 10:45:00-04:00,1328.5,1329.5,1327.5,1327.75,258,109,342779.25
2021-07-06 10:46:00-04:00,1328.0,1329.25,1328.0,1329.0,174,88,231231.75
2021-07-06 10:47:00-04:00,1329.0,1329.25,1329.0,1329.25,145,121,192708.0
2021-07-06 10:48:00-04:00,1329.0,1329.75,1329.0,1329.0,299,170,397410.75
2021-07-06 10:49:00-04:00,1329.0,1331.75,1329.0,1331.0,224,100,298029.0
2021-07-06 10:50:00-04:00,1331.25,1333.0,1331.25,1331.75,331,92,440838.25
2021-07-06 10:51:00-04:00,1331.75,1333.0,1331.0,1332.0,463,108,616653.25
2021-07-06 10:52:00-04:00,1332.0,1333.0,1330.75,1330.75,166,49,221157.25
2021-07-06 10:53:00-04:00,1330.75,1330.75,1329.5,1329.75,90,41,119703.75
2021-07-06 10:54:00-04:00,1329.75,1331.0,1329.75,1331.0,128,67,170255.75
2021-07-06 10:55:00-04:00,1331.0,1331.25,1329.0,1329.25,185,70,246077.75
2021-07-06 10:56:00-04:00,1329.25,1329.75,1329.0,1329.25,71,35,94385.75
2021-07-06 10:57:00-04:00,1329.25,1329.5,1328.75,1328.75,154,68,204689.25
2021-07-06 10:58:00-04:00,1328.75,1328.75,1327.75,1327.75,72,38,95632.0
2021-07-06 10:59:00-04:00,1328.0,1330.5,1328.0,1329.25,238,64,316327.0
2021-07-06 11:00:00-04:00,1329.5,1329.75,1329.0,1329.25,160,59,212702.25
2021-07-06 11:01:00-04:00,1329.0,1329.25,1329.0,1329.25,32,17,42530.75
2021-07-06 11:02:00-04:00,1329.25,1329.5,1328.75,1329.0,107,40,142212.25
2021-07-06 11:03:00-04:00,1329.0,1330.25,1329.0,1329.75,163,48,216737.25
2021-07-06 11:04:00-04:00,1329.75,1330.5,1329.25,1329.5,90,31,119679.5
2021-07-06 11:05:00-04:00,1329.25,1329.25,1328.75,1329.0,42,26,55817.5
2021-07-06 11:06:00-04:00,1329.25,1329.5,1328.75,1329.5,45,20,59817.5
2021-07-06 11:07:00-04:00,1329.5,1329.75,1328.25,1328.25,51,24,67783.25
2021-07-06 11:08:00-04:00,1328.25,1329.75,1328.25,1329.75,90,41,119628.5
2021-07-06 11:09:00-04:00,1329.5,1329.5,1329.0,1329.0,25,17,33233.75
2021-07-06 11:10:00-04:00,1329.0,1329.0,1327.5,1328.0,141,42,187243.25
2021-07-06 11:11:00-04:00,1328.25,1328.25,1327.75,1327.75,25,15,33200.75
2021-07-06 11:12:00-04:00,1327.75,1327.75,1326.0,1327.0,801,114,1062657.25
2021-07-06 11:13:00-04:00,1327.0,1327.0,1326.0,1326.0,87,30,115398.25
2021-07-06 11:14:00-04:00,1326.0,1326.25,1324.25,1324.5,351,81,465152.25
2021-07-06 11:15:00-04:00,1324.5,1324.75,1323.25,1324.0,398,87,527004.25
2021-07-06 11:16:00-04:00,1324.0,1324.0,1321.75,1322.75,563,179,744631.25
2021-07-06 11:17:00-04:00,1323.0,1324.75,1323.0,1323.5,517,112,684468.75
2021-07-06 11:18:00-04:00,1323.5,1324.0,1323.25,1323.25,145,47,191934.0
2021-07-06 11:19:00-04:00,1323.25,1323.75,1321.75,1321.75,224,41,296277.0
2021-07-06 11:20:00-04:00,1321.75,1322.75,1321.25,1322.5,458,106,605479.75
