,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index,ESH22 Index
,open,high,low,close,volume,num_trds,value
2021-11-17 18:10:00-05:00,4679.25,4679.25,4678.75,4678.75,2,2,9358.0
2021-11-17 18:15:00-05:00,4678.25,4678.25,4678.25,4678.25,1,1,4678.25
2021-11-17 18:23:00-05:00,4679.0,4679.0,4678.75,4678.75,7,2,32752.25
2021-11-17 18:29:00-05:00,4680.25,4680.25,4680.25,4680.25,2,1,9360.5
2021-11-17 18:46:00-05:00,4681.25,4681.25,4681.25,4681.25,1,1,4681.25
2021-11-17 18:58:00-05:00,4682.0,4682.0,4682.0,4682.0,1,1,4682.0
2021-11-17 19:10:00-05:00,4682.0,4682.0,4682.0,4682.0,1,1,4682.0
2021-11-17 19:34:00-05:00,4682.25,4682.25,4682.25,4682.25,1,1,4682.25
2021-11-17 19:57:00-05:00,4683.5,4683.5,4683.5,4683.5,1,1,4683.5
2021-11-17 20:27:00-05:00,4683.0,4683.0,4683.0,4683.0,1,1,4683.0
2021-11-17 21:12:00-05:00,4681.25,4681.25,4681.25,4681.25,1,1,4681.25
2021-11-17 21:17:00-05:00,4679.25,4679.25,4679.25,4679.25,1,1,4679.25
2021-11-17 21:31:00-05:00,4682.5,4682.5,4682.5,4682.5,1,1,4682.5
2021-11-17 21:38:00-05:00,4684.0,4684.0,4684.0,4684.0,1,1,4684.0
2021-11-17 21:48:00-05:00,4683.5,4683.5,4683.25,4683.25,42,8,196697.0
2021-11-17 21:49:00-05:00,4683.5,4683.5,4683.5,4683.5,1,1,4683.5
2021-11-17 22:17:00-05:00,4682.75,4682.75,4682.75,4682.75,2,1,9365.5
2021-11-17 23:57:00-05:00,4684.5,4684.5,4684.5,4684.5,1,1,4684.5
2021-11-18 00:02:00-05:00,4685.25,4685.25,4685.25,4685.25,43,9,201465.75
2021-11-18 00:03:00-05:00,4685.0,4685.0,4685.0,4685.0,1,1,4685.0
2021-11-18 00:15:00-05:00,4686.75,4687.0,4686.75,4687.0,5,2,23434.0
2021-11-18 00:16:00-05:00,4686.5,4686.5,4686.5,4686.5,36,7,168714.0
2021-11-18 00:48:00-05:00,4686.5,4686.5,4686.5,4686.5,1,1,4686.5
2021-11-18 00:49:00-05:00,4686.25,4686.25,4686.25,4686.25,1,1,4686.25
2021-11-18 00:50:00-05:00,4686.0,4686.0,4686.0,4686.0,1,1,4686.0
2021-11-18 00:51:00-05:00,4685.75,4685.75,4685.75,4685.75,6,2,28114.5
2021-11-18 00:52:00-05:00,4685.5,4685.5,4685.5,4685.5,9,2,42169.5
2021-11-18 01:04:00-05:00,4685.75,4685.75,4685.75,4685.75,4,1,18743.0
2021-11-18 01:26:00-05:00,4685.75,4685.75,4685.75,4685.75,1,1,4685.75
2021-11-18 01:37:00-05:00,4686.0,4686.0,4686.0,4686.0,1,1,4686.0
2021-11-18 01:41:00-05:00,4686.25,4686.25,4686.25,4686.25,1,1,4686.25
2021-11-18 01:57:00-05:00,4686.75,4686.75,4686.75,4686.75,3,1,14060.25
2021-11-18 02:02:00-05:00,4686.5,4686.5,4686.5,4686.5,1,1,4686.5
2021-11-18 02:12:00-05:00,4688.0,4688.0,4688.0,4688.0,1,1,4688.0
2021-11-18 02:14:00-05:00,4688.25,4688.25,4688.25,4688.25,5,1,23441.25
2021-11-18 02:39:00-05:00,4687.75,4687.75,4687.75,4687.75,1,1,4687.75
2021-11-18 02:40:00-05:00,4688.0,4688.0,4688.0,4688.0,1,1,4688.0
2021-11-18 02:53:00-05:00,4688.5,4688.5,4688.5,4688.5,1,1,4688.5
2021-11-18 02:55:00-05:00,4689.0,4689.0,4689.0,4689.0,1,1,4689.0
2021-11-18 02:58:00-05:00,4688.75,4688.75,4688.75,4688.75,3,1,14066.25
2021-11-18 02:59:00-05:00,4688.5,4688.5,4688.5,4688.5,1,1,4688.5
2021-11-18 03:16:00-05:00,4690.5,4691.25,4690.5,4691.25,2,2,9381.75
2021-11-18 03:22:00-05:00,4690.75,4690.75,4690.75,4690.75,1,1,4690.75
2021-11-18 03:31:00-05:00,4690.5,4690.5,4690.5,4690.5,3,1,14071.5
2021-11-18 03:47:00-05:00,4692.0,4692.0,4692.0,4692.0,40,2,187680.0
2021-11-18 03:48:00-05:00,4691.5,4691.5,4691.5,4691.5,2,1,9383.0
2021-11-18 04:01:00-05:00,4695.0,4695.0,4695.0,4695.0,1,1,4695.0
2021-11-18 04:03:00-05:00,4696.25,4696.25,4696.25,4696.25,69,5,324041.25
2021-11-18 04:34:00-05:00,4696.0,4696.0,4696.0,4696.0,2,2,9392.0
2021-11-18 04:48:00-05:00,4694.0,4694.0,4694.0,4694.0,1,1,4694.0
2021-11-18 04:53:00-05:00,4693.0,4693.0,4693.0,4693.0,1,1,4693.0
2021-11-18 05:09:00-05:00,4691.75,4692.5,4691.75,4692.5,20,6,93843.5
2021-11-18 05:13:00-05:00,4692.5,4692.75,4692.5,4692.75,2,2,9385.25
2021-11-18 05:14:00-05:00,4692.75,4692.75,4692.75,4692.75,1,1,4692.75
2021-11-18 05:27:00-05:00,4693.0,4693.0,4693.0,4693.0,20,1,93860.0
2021-11-18 05:32:00-05:00,4692.75,4692.75,4692.75,4692.75,1,1,4692.75
2021-11-18 05:58:00-05:00,4693.5,4693.5,4693.5,4693.5,1,1,4693.5
2021-11-18 06:21:00-05:00,4695.0,4695.0,4695.0,4695.0,1,1,4695.0
2021-11-18 06:22:00-05:00,4695.5,4695.5,4695.5,4695.5,1,1,4695.5
2021-11-18 07:03:00-05:00,4693.75,4693.75,4693.75,4693.75,1,1,4693.75
2021-11-18 07:06:00-05:00,4693.5,4693.5,4693.5,4693.5,1,1,4693.5
2021-11-18 07:07:00-05:00,4693.5,4693.5,4693.5,4693.5,1,1,4693.5
2021-11-18 08:00:00-05:00,4690.5,4690.5,4690.0,4690.5,48,11,225141.0
2021-11-18 08:01:00-05:00,4690.5,4690.5,4690.5,4690.5,23,5,107881.5
2021-11-18 08:04:00-05:00,4690.5,4690.5,4690.5,4690.5,4,1,18762.0
2021-11-18 08:16:00-05:00,4691.5,4691.5,4691.5,4691.5,2,1,9383.0
2021-11-18 08:37:00-05:00,4692.5,4692.5,4692.5,4692.5,2,1,9385.0
2021-11-18 08:42:00-05:00,4692.0,4692.0,4692.0,4692.0,1,1,4692.0
2021-11-18 08:58:00-05:00,4690.25,4690.25,4690.25,4690.25,1,1,4690.25
2021-11-18 09:03:00-05:00,4690.75,4690.75,4690.75,4690.75,1,1,4690.75
2021-11-18 09:05:00-05:00,4691.5,4691.5,4691.5,4691.5,1,1,4691.5
2021-11-18 09:13:00-05:00,4693.5,4693.5,4693.5,4693.5,1,1,4693.5
2021-11-18 09:27:00-05:00,4690.5,4690.5,4689.75,4689.75,6,3,28141.25
2021-11-18 09:28:00-05:00,4691.0,4691.25,4691.0,4691.25,3,2,14073.25
2021-11-18 09:29:00-05:00,4691.25,4691.25,4691.25,4691.25,1,1,4691.25
2021-11-18 09:30:00-05:00,4689.5,4689.5,4688.25,4688.25,2,2,9377.75
2021-11-18 09:32:00-05:00,4687.25,4687.25,4687.25,4687.25,1,1,4687.25
2021-11-18 09:34:00-05:00,4686.0,4686.0,4686.0,4686.0,1,1,4686.0
2021-11-18 09:35:00-05:00,4685.0,4685.0,4685.0,4685.0,1,1,4685.0
2021-11-18 09:39:00-05:00,4686.75,4686.75,4686.75,4686.75,1,1,4686.75
2021-11-18 09:40:00-05:00,4688.0,4688.0,4688.0,4688.0,1,1,4688.0
2021-11-18 09:43:00-05:00,4686.0,4686.25,4686.0,4686.25,2,2,9372.25
2021-11-18 09:47:00-05:00,4689.5,4689.5,4689.5,4689.5,1,1,4689.5
2021-11-18 09:48:00-05:00,4688.0,4688.0,4688.0,4688.0,1,1,4688.0
2021-11-18 09:53:00-05:00,4684.75,4684.75,4682.25,4682.25,2,2,9367.0
2021-11-18 09:57:00-05:00,4683.0,4683.5,4683.0,4683.5,2,2,9366.5
2021-11-18 09:59:00-05:00,4684.0,4684.0,4683.75,4683.75,2,2,9367.75
2021-11-18 10:02:00-05:00,4683.5,4684.0,4683.5,4684.0,5,3,23418.5
2021-11-18 10:03:00-05:00,4684.25,4684.5,4684.25,4684.5,15,3,70267.25
2021-11-18 10:05:00-05:00,4684.5,4684.75,4684.25,4684.25,6,3,28107.75
2021-11-18 10:07:00-05:00,4684.75,4684.75,4684.75,4684.75,1,1,4684.75
2021-11-18 10:09:00-05:00,4680.0,4680.0,4678.0,4678.0,2,2,9358.0
2021-11-18 10:10:00-05:00,4676.0,4676.0,4673.0,4673.0,28,8,130866.25
2021-11-18 10:12:00-05:00,4670.0,4670.0,4670.0,4670.0,2,1,9340.0
2021-11-18 10:13:00-05:00,4667.75,4667.75,4667.25,4667.25,2,2,9335.0
2021-11-18 10:14:00-05:00,4668.25,4670.0,4668.25,4670.0,5,5,23345.5
2021-11-18 10:16:00-05:00,4671.0,4671.0,4671.0,4671.0,1,1,4671.0
2021-11-18 10:17:00-05:00,4671.25,4671.25,4669.75,4670.0,4,4,18682.25
2021-11-18 10:19:00-05:00,4668.0,4668.0,4665.5,4667.0,7,7,32665.75
2021-11-18 10:20:00-05:00,4664.5,4667.25,4662.0,4667.25,13,10,60636.5
2021-11-18 10:21:00-05:00,4665.5,4666.0,4665.0,4665.0,4,4,18662.25
2021-11-18 10:22:00-05:00,4666.0,4667.0,4666.0,4667.0,2,2,9333.0
2021-11-18 10:24:00-05:00,4668.5,4668.5,4668.5,4668.5,1,1,4668.5
2021-11-18 10:25:00-05:00,4666.75,4666.75,4666.75,4666.75,1,1,4666.75
2021-11-18 10:26:00-05:00,4667.75,4667.75,4667.75,4667.75,3,2,14003.25
2021-11-18 10:27:00-05:00,4667.75,4667.75,4667.75,4667.75,2,2,9335.5
2021-11-18 10:28:00-05:00,4667.0,4667.0,4665.25,4665.75,23,5,107337.0
2021-11-18 10:29:00-05:00,4665.75,4665.75,4665.75,4665.75,1,1,4665.75
2021-11-18 10:30:00-05:00,4669.75,4669.75,4669.75,4669.75,1,1,4669.75
2021-11-18 10:31:00-05:00,4669.75,4669.75,4669.75,4669.75,2,1,9339.5
2021-11-18 10:32:00-05:00,4670.0,4670.0,4670.0,4670.0,1,1,4670.0
2021-11-18 10:33:00-05:00,4670.75,4671.0,4670.75,4671.0,3,2,14012.75
2021-11-18 10:35:00-05:00,4673.0,4673.0,4672.75,4672.75,3,2,14018.75
2021-11-18 10:36:00-05:00,4674.0,4674.75,4674.0,4674.75,2,2,9348.75
2021-11-18 10:43:00-05:00,4672.5,4672.5,4671.0,4671.0,2,2,9343.5
2021-11-18 10:44:00-05:00,4670.25,4670.25,4670.0,4670.0,2,2,9340.25
2021-11-18 10:45:00-05:00,4671.0,4671.0,4671.0,4671.0,1,1,4671.0
2021-11-18 10:47:00-05:00,4671.5,4671.5,4671.5,4671.5,8,1,37372.0
2021-11-18 11:01:00-05:00,4674.25,4674.25,4674.25,4674.25,1,1,4674.25
2021-11-18 11:02:00-05:00,4672.0,4672.0,4671.75,4671.75,2,2,9343.75
2021-11-18 11:03:00-05:00,4670.25,4670.25,4670.25,4670.25,2,1,9340.5
2021-11-18 11:04:00-05:00,4670.25,4670.25,4670.25,4670.25,2,2,9340.5
2021-11-18 11:05:00-05:00,4672.25,4672.25,4672.25,4672.25,1,1,4672.25
2021-11-18 11:07:00-05:00,4674.0,4674.0,4674.0,4674.0,1,1,4674.0
2021-11-18 11:12:00-05:00,4675.5,4677.0,4675.5,4677.0,7,3,32732.5
2021-11-18 11:13:00-05:00,4678.0,4678.0,4678.0,4678.0,2,1,9356.0
2021-11-18 11:14:00-05:00,4677.25,4677.25,4677.25,4677.25,1,1,4677.25
2021-11-18 11:15:00-05:00,4678.0,4679.75,4678.0,4679.75,3,3,14036.75
2021-11-18 11:18:00-05:00,4679.5,4679.5,4679.5,4679.5,1,1,4679.5
2021-11-18 11:19:00-05:00,4679.25,4679.25,4679.25,4679.25,3,1,14037.75
2021-11-18 11:21:00-05:00,4679.0,4679.0,4678.75,4678.75,5,2,23394.25
2021-11-18 11:22:00-05:00,4677.75,4677.75,4677.75,4677.75,5,2,23388.75
2021-11-18 11:23:00-05:00,4678.25,4678.25,4678.25,4678.25,1,1,4678.25
2021-11-18 11:27:00-05:00,4679.0,4679.0,4679.0,4679.0,1,1,4679.0
2021-11-18 11:30:00-05:00,4678.25,4678.25,4678.0,4678.25,5,3,23390.75
2021-11-18 11:31:00-05:00,4680.0,4680.0,4680.0,4680.0,1,1,4680.0
2021-11-18 11:32:00-05:00,4680.5,4681.0,4680.5,4681.0,2,2,9361.5
2021-11-18 11:33:00-05:00,4684.25,4685.0,4684.25,4685.0,2,2,9369.25
2021-11-18 11:34:00-05:00,4686.0,4687.0,4686.0,4687.0,21,4,98424.5
2021-11-18 11:35:00-05:00,4687.0,4687.0,4687.0,4687.0,1,1,4687.0
2021-11-18 11:36:00-05:00,4686.25,4686.25,4686.25,4686.25,1,1,4686.25
2021-11-18 11:38:00-05:00,4689.25,4689.5,4689.25,4689.5,4,2,18757.5
