,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy
,open,high,low,close,volume,num_trds,value
2021-05-27 18:00:00-04:00,82.855,82.865,82.85,82.86,31,14,2568.55
2021-05-27 18:01:00-04:00,82.855,82.87,82.855,82.87,71,16,5883.505
2021-05-27 18:03:00-04:00,82.875,82.875,82.87,82.87,24,3,1988.94
2021-05-27 18:04:00-04:00,82.87,82.87,82.865,82.865,26,4,2154.55
2021-05-27 18:05:00-04:00,82.865,82.865,82.865,82.865,3,2,248.595
2021-05-27 18:06:00-04:00,82.865,82.87,82.865,82.87,8,3,662.935
2021-05-27 18:08:00-04:00,82.865,82.875,82.86,82.875,22,7,1823.07
2021-05-27 18:09:00-04:00,82.875,82.875,82.87,82.87,3,2,248.62
2021-05-27 18:10:00-04:00,82.875,82.875,82.875,82.875,5,2,414.375
2021-05-27 18:12:00-04:00,82.88,82.88,82.875,82.875,2,2,165.755
2021-05-27 18:13:00-04:00,82.88,82.88,82.88,82.88,4,1,331.52
2021-05-27 18:14:00-04:00,82.88,82.88,82.875,82.875,3,2,248.63
2021-05-27 18:15:00-04:00,82.87,82.87,82.865,82.865,9,3,745.805
2021-05-27 18:16:00-04:00,82.87,82.87,82.87,82.87,1,1,82.87
2021-05-27 18:19:00-04:00,82.875,82.875,82.875,82.875,1,1,82.875
2021-05-27 18:20:00-04:00,82.87,82.87,82.87,82.87,6,2,497.22
2021-05-27 18:22:00-04:00,82.87,82.875,82.865,82.875,3,3,248.61
2021-05-27 18:23:00-04:00,82.875,82.875,82.875,82.875,9,3,745.875
2021-05-27 18:24:00-04:00,82.875,82.875,82.875,82.875,4,2,331.5
2021-05-27 18:30:00-04:00,82.87,82.87,82.87,82.87,3,1,248.61
2021-05-27 18:32:00-04:00,82.87,82.87,82.87,82.87,2,2,165.74
2021-05-27 18:40:00-04:00,82.87,82.87,82.87,82.87,10,1,828.7
2021-05-27 18:41:00-04:00,82.87,82.87,82.865,82.865,10,2,828.655
2021-05-27 18:43:00-04:00,82.865,82.865,82.86,82.86,8,2,662.9
2021-05-27 18:47:00-04:00,82.865,82.865,82.865,82.865,6,1,497.19
2021-05-27 18:55:00-04:00,82.86,82.86,82.86,82.86,10,1,828.6
2021-05-27 18:57:00-04:00,82.86,82.86,82.86,82.86,2,2,165.72
2021-05-27 18:59:00-04:00,82.86,82.86,82.86,82.86,2,2,165.72
2021-05-27 19:00:00-04:00,82.87,82.87,82.86,82.86,28,6,2320.105
2021-05-27 19:05:00-04:00,82.855,82.855,82.85,82.85,15,4,1242.775
2021-05-27 19:06:00-04:00,82.85,82.85,82.85,82.85,3,1,248.55
2021-05-27 19:07:00-04:00,82.85,82.85,82.845,82.845,41,10,3396.695
2021-05-27 19:08:00-04:00,82.845,82.845,82.845,82.845,1,1,82.845
2021-05-27 19:09:00-04:00,82.845,82.845,82.845,82.845,1,1,82.845
2021-05-27 19:10:00-04:00,82.85,82.85,82.85,82.85,3,1,248.55
2021-05-27 19:11:00-04:00,82.85,82.85,82.85,82.85,14,3,1159.9
2021-05-27 19:12:00-04:00,82.85,82.85,82.845,82.845,12,3,994.145
2021-05-27 19:13:00-04:00,82.845,82.845,82.845,82.845,4,3,331.38
2021-05-27 19:14:00-04:00,82.85,82.85,82.85,82.85,4,1,331.4
2021-05-27 19:15:00-04:00,82.845,82.845,82.845,82.845,5,1,414.225
2021-05-27 19:16:00-04:00,82.845,82.845,82.845,82.845,1,1,82.845
2021-05-27 19:17:00-04:00,82.845,82.845,82.845,82.845,46,7,3810.87
2021-05-27 19:18:00-04:00,82.84,82.84,82.84,82.84,4,1,331.36
2021-05-27 19:19:00-04:00,82.84,82.84,82.835,82.84,19,3,1573.89
2021-05-27 19:20:00-04:00,82.84,82.84,82.84,82.84,23,7,1905.32
2021-05-27 19:22:00-04:00,82.835,82.84,82.835,82.84,13,4,1076.87
2021-05-27 19:23:00-04:00,82.835,82.835,82.835,82.835,1,1,82.835
2021-05-27 19:24:00-04:00,82.835,82.835,82.835,82.835,1,1,82.835
2021-05-27 19:25:00-04:00,82.835,82.835,82.835,82.835,1,1,82.835
2021-05-27 19:27:00-04:00,82.84,82.84,82.84,82.84,15,4,1242.6
2021-05-27 19:28:00-04:00,82.84,82.84,82.84,82.84,12,4,994.08
2021-05-27 19:29:00-04:00,82.845,82.845,82.845,82.845,14,6,1159.83
2021-05-27 19:30:00-04:00,82.84,82.84,82.84,82.84,2,1,165.68
2021-05-27 19:31:00-04:00,82.845,82.855,82.845,82.85,118,20,9776.42
2021-05-27 19:32:00-04:00,82.855,82.86,82.855,82.86,12,6,994.31
2021-05-27 19:33:00-04:00,82.855,82.855,82.85,82.85,18,9,1491.385
2021-05-27 19:34:00-04:00,82.85,82.85,82.845,82.845,8,4,662.765
2021-05-27 19:37:00-04:00,82.85,82.855,82.85,82.85,59,12,4888.244
2021-05-27 19:39:00-04:00,82.85,82.85,82.845,82.845,14,5,1159.855
2021-05-27 19:40:00-04:00,82.845,82.845,82.845,82.845,1,1,82.845
2021-05-27 19:41:00-04:00,82.845,82.85,82.845,82.845,10,4,828.475
2021-05-27 19:42:00-04:00,82.84,82.84,82.84,82.84,3,3,248.52
2021-05-27 19:43:00-04:00,82.84,82.84,82.84,82.84,9,1,745.56
