,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy,CDH22 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-03 18:23:00-04:00,79.24,79.24,79.24,79.24,1,1,79.24
2021-10-03 18:29:00-04:00,79.26,79.26,79.26,79.26,1,1,79.26
2021-10-03 19:33:00-04:00,79.24,79.24,79.24,79.24,1,1,79.24
2021-10-03 20:32:00-04:00,79.165,79.165,79.165,79.165,2,1,158.33
2021-10-03 20:59:00-04:00,79.08,79.08,79.08,79.08,1,1,79.08
2021-10-03 22:10:00-04:00,79.06,79.06,79.06,79.06,1,1,79.06
2021-10-03 23:50:00-04:00,79.15,79.15,79.15,79.15,1,1,79.15
2021-10-03 23:52:00-04:00,79.155,79.155,79.155,79.155,1,1,79.155
2021-10-04 00:50:00-04:00,79.235,79.235,79.235,79.235,1,1,79.235
2021-10-04 01:01:00-04:00,79.25,79.25,79.25,79.25,1,1,79.25
2021-10-04 01:24:00-04:00,79.245,79.245,79.245,79.245,1,1,79.245
2021-10-04 02:14:00-04:00,79.11,79.11,79.11,79.11,1,1,79.11
2021-10-04 02:25:00-04:00,79.115,79.115,79.115,79.115,1,1,79.115
2021-10-04 02:34:00-04:00,79.19,79.19,79.19,79.19,1,1,79.19
2021-10-04 02:43:00-04:00,79.2,79.2,79.2,79.2,1,1,79.2
2021-10-04 03:10:00-04:00,79.14,79.14,79.14,79.14,1,1,79.14
2021-10-04 04:00:00-04:00,79.2,79.2,79.2,79.2,1,1,79.2
2021-10-04 04:35:00-04:00,79.15,79.15,79.15,79.15,1,1,79.15
2021-10-04 05:53:00-04:00,79.27,79.27,79.27,79.27,1,1,79.27
2021-10-04 05:55:00-04:00,79.26,79.26,79.26,79.26,2,2,158.52
2021-10-04 05:58:00-04:00,79.255,79.255,79.255,79.255,1,1,79.255
2021-10-04 06:11:00-04:00,79.265,79.265,79.265,79.265,1,1,79.265
2021-10-04 06:14:00-04:00,79.275,79.275,79.275,79.275,1,1,79.275
2021-10-04 06:44:00-04:00,79.205,79.205,79.205,79.205,2,1,158.41
2021-10-04 06:46:00-04:00,79.195,79.195,79.195,79.195,2,1,158.39
2021-10-04 06:48:00-04:00,79.185,79.185,79.185,79.185,2,2,158.37
2021-10-04 07:01:00-04:00,79.265,79.265,79.265,79.265,1,1,79.265
2021-10-04 07:14:00-04:00,79.195,79.195,79.195,79.195,2,1,158.39
2021-10-04 08:52:00-04:00,79.31,79.31,79.31,79.31,1,1,79.31
2021-10-04 08:55:00-04:00,79.4,79.4,79.4,79.4,3,2,238.2
2021-10-04 09:25:00-04:00,79.43,79.43,79.43,79.43,1,1,79.43
2021-10-04 09:26:00-04:00,79.43,79.435,79.43,79.435,2,2,158.865
2021-10-04 09:32:00-04:00,79.445,79.445,79.445,79.445,2,1,158.89
2021-10-04 09:45:00-04:00,79.485,79.485,79.48,79.48,8,3,635.85
2021-10-04 09:47:00-04:00,79.51,79.51,79.51,79.51,1,1,79.51
2021-10-04 09:48:00-04:00,79.505,79.505,79.505,79.505,1,1,79.505
2021-10-04 09:53:00-04:00,79.48,79.48,79.48,79.48,2,1,158.96
2021-10-04 10:17:00-04:00,79.55,79.55,79.55,79.55,1,1,79.55
2021-10-04 10:18:00-04:00,79.525,79.525,79.515,79.515,2,2,159.04
2021-10-04 10:19:00-04:00,79.505,79.515,79.5,79.515,3,3,238.52
2021-10-04 10:21:00-04:00,79.555,79.555,79.555,79.555,1,1,79.555
2021-10-04 10:27:00-04:00,79.54,79.54,79.54,79.54,1,1,79.54
2021-10-04 10:38:00-04:00,79.475,79.475,79.475,79.475,1,1,79.475
2021-10-04 10:39:00-04:00,79.48,79.48,79.48,79.48,1,1,79.48
2021-10-04 10:40:00-04:00,79.47,79.47,79.47,79.47,1,1,79.47
2021-10-04 10:46:00-04:00,79.525,79.525,79.525,79.525,2,1,159.05
2021-10-04 10:47:00-04:00,79.585,79.585,79.585,79.585,1,1,79.585
2021-10-04 10:52:00-04:00,79.53,79.53,79.53,79.53,1,1,79.53
2021-10-04 10:53:00-04:00,79.5,79.5,79.5,79.5,2,1,159.0
2021-10-04 10:54:00-04:00,79.505,79.505,79.505,79.505,2,1,159.01
2021-10-04 10:55:00-04:00,79.505,79.505,79.505,79.505,1,1,79.505
2021-10-04 11:00:00-04:00,79.51,79.51,79.51,79.51,1,1,79.51
2021-10-04 11:01:00-04:00,79.5,79.5,79.5,79.5,62,4,4929.0
2021-10-04 11:03:00-04:00,79.47,79.47,79.47,79.47,1,1,79.47
2021-10-04 11:06:00-04:00,79.47,79.47,79.47,79.47,1,1,79.47
2021-10-04 11:08:00-04:00,79.48,79.485,79.48,79.485,2,2,158.965
2021-10-04 11:11:00-04:00,79.465,79.465,79.465,79.465,1,1,79.465
2021-10-04 11:19:00-04:00,79.46,79.465,79.46,79.465,5,2,397.315
2021-10-04 11:32:00-04:00,79.47,79.47,79.47,79.47,1,1,79.47
2021-10-04 12:07:00-04:00,79.51,79.53,79.51,79.53,2,2,159.04
2021-10-04 12:13:00-04:00,79.53,79.53,79.53,79.53,1,1,79.53
2021-10-04 12:20:00-04:00,79.525,79.525,79.525,79.525,1,1,79.525
2021-10-04 12:38:00-04:00,79.515,79.515,79.515,79.515,1,1,79.515
2021-10-04 12:45:00-04:00,79.48,79.48,79.475,79.475,2,2,158.955
2021-10-04 13:01:00-04:00,79.47,79.47,79.47,79.47,1,1,79.47
2021-10-04 13:02:00-04:00,79.485,79.485,79.485,79.485,1,1,79.485
2021-10-04 13:04:00-04:00,79.47,79.47,79.47,79.47,1,1,79.47
2021-10-04 13:08:00-04:00,79.465,79.465,79.465,79.465,1,1,79.465
