,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-10-03 18:20:00-04:00,79.22,79.22,79.22,79.22,1,1,79.22
2021-10-03 18:29:00-04:00,79.255,79.255,79.255,79.255,1,1,79.255
2021-10-03 22:10:00-04:00,79.055,79.055,79.055,79.055,1,1,79.055
2021-10-04 08:55:00-04:00,79.375,79.375,79.375,79.375,1,1,79.375
2021-10-04 09:58:00-04:00,79.605,79.605,79.605,79.605,2,1,159.21
2021-10-04 10:47:00-04:00,79.57,79.57,79.57,79.57,1,1,79.57
2021-10-04 11:02:00-04:00,79.51,79.51,79.51,79.51,1,1,79.51
2021-10-04 12:42:00-04:00,79.49,79.49,79.49,79.49,1,1,79.49
2021-10-04 13:30:00-04:00,79.49,79.49,79.49,79.49,1,1,79.49
2021-10-04 14:00:00-04:00,79.49,79.49,79.49,79.49,2,1,158.98
