,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-28 22:20:00-04:00,78.845,78.845,78.845,78.845,1,1,78.845
2021-09-29 05:43:00-04:00,78.81,78.81,78.81,78.81,8,1,630.48
2021-09-29 07:43:00-04:00,78.735,78.735,78.735,78.735,4,1,314.94
2021-09-29 07:54:00-04:00,78.76,78.76,78.76,78.76,2,1,157.52
2021-09-29 08:55:00-04:00,78.645,78.645,78.645,78.645,1,1,78.645
2021-09-29 09:59:00-04:00,78.615,78.615,78.615,78.615,2,1,157.23
2021-09-29 10:08:00-04:00,78.58,78.58,78.58,78.58,2,1,157.16
2021-09-29 10:19:00-04:00,78.495,78.495,78.495,78.495,2,1,156.99
2021-09-29 10:31:00-04:00,78.41,78.41,78.41,78.41,2,1,156.82
2021-09-29 10:40:00-04:00,78.415,78.415,78.415,78.415,1,1,78.415
2021-09-29 11:10:00-04:00,78.47,78.47,78.47,78.47,1,1,78.47
2021-09-29 11:58:00-04:00,78.435,78.435,78.435,78.435,1,1,78.435
2021-09-29 12:03:00-04:00,78.445,78.445,78.445,78.445,10,6,784.45
2021-09-29 14:07:00-04:00,78.28,78.28,78.28,78.28,2,2,156.56
2021-09-29 14:16:00-04:00,78.41,78.41,78.41,78.41,2,1,156.82
