,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-14 22:56:00-04:00,78.775,78.775,78.775,78.775,1,1,78.775
2021-09-15 07:57:00-04:00,78.81,78.81,78.805,78.805,4,2,315.225
2021-09-15 08:51:00-04:00,78.86,78.86,78.86,78.86,1,1,78.86
2021-09-15 09:01:00-04:00,78.855,78.855,78.855,78.855,2,1,157.71
2021-09-15 09:49:00-04:00,79.0,79.0,79.0,79.0,2,1,158.0
2021-09-15 10:03:00-04:00,79.115,79.115,79.11,79.11,5,2,395.56
2021-09-15 10:05:00-04:00,79.105,79.105,79.105,79.105,2,1,158.21
2021-09-15 10:12:00-04:00,79.025,79.025,79.025,79.025,3,1,237.075
2021-09-15 10:41:00-04:00,79.115,79.115,79.115,79.115,2,1,158.23
2021-09-15 10:55:00-04:00,79.02,79.02,79.02,79.02,2,1,158.04
2021-09-15 10:58:00-04:00,79.09,79.09,79.09,79.09,2,1,158.18
2021-09-15 11:47:00-04:00,79.08,79.08,79.08,79.08,2,1,158.16
2021-09-15 13:51:00-04:00,79.135,79.135,79.135,79.135,2,1,158.27
2021-09-15 13:57:00-04:00,79.12,79.12,79.12,79.12,2,1,158.24
2021-09-15 13:58:00-04:00,79.125,79.125,79.125,79.125,3,1,237.375
