,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy
,open,high,low,close,volume,num_trds,value
2021-05-17 18:00:00-04:00,82.85,82.865,82.85,82.86,107,26,8865.92
2021-05-17 18:01:00-04:00,82.865,82.865,82.86,82.86,9,3,745.76
2021-05-17 18:02:00-04:00,82.87,82.87,82.87,82.87,1,1,82.87
2021-05-17 18:03:00-04:00,82.875,82.88,82.87,82.87,11,5,911.62
2021-05-17 18:04:00-04:00,82.875,82.88,82.875,82.875,10,3,828.77
2021-05-17 18:06:00-04:00,82.875,82.875,82.875,82.875,1,1,82.875
2021-05-17 18:07:00-04:00,82.875,82.88,82.875,82.88,2,2,165.755
2021-05-17 18:09:00-04:00,82.87,82.87,82.87,82.87,1,1,82.87
2021-05-17 18:11:00-04:00,82.875,82.875,82.875,82.875,2,1,165.75
2021-05-17 18:18:00-04:00,82.86,82.86,82.855,82.855,11,3,911.455
2021-05-17 18:19:00-04:00,82.855,82.855,82.855,82.855,7,4,579.985
2021-05-17 18:21:00-04:00,82.855,82.855,82.855,82.855,3,3,248.565
2021-05-17 18:24:00-04:00,82.86,82.86,82.86,82.86,1,1,82.86
2021-05-17 18:26:00-04:00,82.865,82.865,82.865,82.865,20,4,1657.3
2021-05-17 18:28:00-04:00,82.86,82.86,82.855,82.855,4,2,331.435
2021-05-17 18:29:00-04:00,82.86,82.86,82.86,82.86,1,1,82.86
2021-05-17 18:30:00-04:00,82.86,82.86,82.86,82.86,2,1,165.72
2021-05-17 18:32:00-04:00,82.86,82.86,82.86,82.86,3,1,248.58
2021-05-17 18:33:00-04:00,82.865,82.865,82.865,82.865,1,1,82.865
2021-05-17 18:36:00-04:00,82.86,82.86,82.855,82.86,9,3,745.72
2021-05-17 18:37:00-04:00,82.855,82.855,82.855,82.855,2,2,165.71
2021-05-17 18:39:00-04:00,82.855,82.855,82.855,82.855,4,2,331.42
2021-05-17 18:41:00-04:00,82.855,82.855,82.855,82.855,1,1,82.855
2021-05-17 18:42:00-04:00,82.85,82.85,82.85,82.85,1,1,82.85
2021-05-17 18:43:00-04:00,82.85,82.85,82.85,82.85,2,2,165.7
2021-05-17 18:45:00-04:00,82.855,82.855,82.855,82.855,1,1,82.855
2021-05-17 18:46:00-04:00,82.855,82.855,82.85,82.85,15,4,1242.785
2021-05-17 18:47:00-04:00,82.85,82.85,82.845,82.85,5,3,414.245
2021-05-17 18:48:00-04:00,82.85,82.85,82.85,82.85,1,1,82.85
2021-05-17 18:49:00-04:00,82.85,82.85,82.85,82.85,6,2,497.1
2021-05-17 18:50:00-04:00,82.85,82.85,82.85,82.85,1,1,82.85
2021-05-17 18:51:00-04:00,82.85,82.85,82.85,82.85,1,1,82.85
