,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index,ESZ1 Index
,open,high,low,close,volume,num_trds,value
2021-10-19 18:00:00-04:00,4516.0,4516.0,4513.5,4514.0,673,191,3038465.0
2021-10-19 18:01:00-04:00,4514.0,4514.0,4513.25,4514.0,311,83,1403745.75
2021-10-19 18:02:00-04:00,4513.75,4514.25,4513.75,4513.75,149,60,672595.75
2021-10-19 18:03:00-04:00,4514.0,4514.25,4513.25,4513.75,135,41,609339.0
2021-10-19 18:04:00-04:00,4513.5,4513.75,4513.0,4513.25,106,42,478408.25
2021-10-19 18:05:00-04:00,4513.5,4513.5,4513.0,4513.5,55,26,248229.0
2021-10-19 18:06:00-04:00,4513.5,4513.5,4513.25,4513.25,39,12,176018.75
2021-10-19 18:07:00-04:00,4513.25,4513.25,4512.5,4512.5,113,51,509941.5
2021-10-19 18:08:00-04:00,4512.75,4513.25,4512.75,4513.0,125,41,564115.0
2021-10-19 18:09:00-04:00,4513.25,4513.25,4512.75,4513.25,52,15,234677.0
2021-10-19 18:10:00-04:00,4513.0,4513.25,4512.75,4512.75,67,21,302373.0
2021-10-19 18:11:00-04:00,4512.75,4513.0,4512.75,4513.0,14,7,63181.0
2021-10-19 18:12:00-04:00,4513.25,4513.5,4513.0,4513.25,69,25,311417.5
2021-10-19 18:13:00-04:00,4513.25,4513.5,4513.0,4513.0,83,39,374609.75
2021-10-19 18:14:00-04:00,4513.0,4513.25,4512.75,4513.25,48,21,216624.25
2021-10-19 18:15:00-04:00,4513.25,4513.5,4512.0,4512.0,178,52,803231.0
2021-10-19 18:16:00-04:00,4512.0,4512.25,4511.5,4512.25,203,63,915903.75
2021-10-19 18:17:00-04:00,4512.0,4512.25,4511.75,4512.0,130,52,586559.0
2021-10-19 18:18:00-04:00,4512.0,4512.25,4511.75,4512.0,60,24,270721.0
2021-10-19 18:19:00-04:00,4512.0,4512.25,4511.75,4512.25,78,27,351948.25
2021-10-19 18:20:00-04:00,4512.25,4512.75,4512.25,4512.75,60,16,270748.5
2021-10-19 18:21:00-04:00,4512.75,4513.0,4512.25,4512.5,90,29,406135.5
2021-10-19 18:22:00-04:00,4512.5,4513.0,4512.5,4513.0,73,25,329436.75
2021-10-19 18:23:00-04:00,4513.0,4513.75,4512.75,4513.25,210,62,947828.75
2021-10-19 18:24:00-04:00,4513.25,4513.5,4513.25,4513.5,54,35,243721.5
2021-10-19 18:25:00-04:00,4513.5,4513.75,4512.5,4512.75,107,43,482882.5
2021-10-19 18:26:00-04:00,4512.5,4513.0,4512.5,4512.75,86,22,388108.0
2021-10-19 18:27:00-04:00,4512.75,4513.0,4512.25,4512.5,143,45,645301.5
2021-10-19 18:28:00-04:00,4512.5,4512.75,4512.5,4512.75,45,15,203072.25
2021-10-19 18:29:00-04:00,4512.5,4512.5,4512.5,4512.5,18,12,81225.0
2021-10-19 18:30:00-04:00,4512.5,4512.5,4512.0,4512.0,31,20,139881.75
2021-10-19 18:31:00-04:00,4512.0,4512.25,4512.0,4512.25,69,30,311331.5
2021-10-19 18:32:00-04:00,4512.25,4512.5,4512.0,4512.25,63,22,284268.25
2021-10-19 18:33:00-04:00,4512.25,4512.25,4511.75,4512.0,46,23,207551.5
2021-10-19 18:34:00-04:00,4512.0,4512.25,4511.5,4511.5,57,18,257177.0
2021-10-19 18:35:00-04:00,4511.5,4511.75,4510.75,4511.25,259,94,1168402.5
2021-10-19 18:36:00-04:00,4511.25,4511.75,4511.25,4511.25,106,47,478216.5
2021-10-19 18:37:00-04:00,4511.5,4512.5,4511.5,4512.25,103,43,464727.5
2021-10-19 18:38:00-04:00,4512.25,4512.5,4511.5,4511.75,108,26,487284.5
2021-10-19 18:39:00-04:00,4512.0,4512.0,4511.25,4511.25,56,30,252641.5
2021-10-19 18:40:00-04:00,4511.25,4512.0,4511.25,4512.0,32,17,144372.0
2021-10-19 18:41:00-04:00,4512.0,4512.0,4511.75,4512.0,12,10,54142.5
2021-10-19 18:42:00-04:00,4511.75,4512.25,4511.75,4512.25,58,36,261703.75
2021-10-19 18:43:00-04:00,4512.25,4512.5,4512.0,4512.5,36,17,162445.25
2021-10-19 18:44:00-04:00,4512.5,4512.75,4512.25,4512.25,64,28,288798.75
2021-10-19 18:45:00-04:00,4512.0,4512.25,4512.0,4512.25,16,12,72194.75
