,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-12 18:14:00-04:00,80.28,80.28,80.28,80.28,1,1,80.28
2021-07-12 22:06:00-04:00,80.32,80.32,80.32,80.32,1,1,80.32
2021-07-13 05:45:00-04:00,80.14,80.14,80.14,80.14,1,1,80.14
2021-07-13 06:01:00-04:00,80.13,80.13,80.13,80.13,7,3,560.91
2021-07-13 08:30:00-04:00,79.995,79.995,79.995,79.995,5,2,399.975
2021-07-13 08:33:00-04:00,79.875,79.875,79.875,79.875,4,1,319.5
2021-07-13 08:35:00-04:00,79.905,79.905,79.905,79.905,1,1,79.905
2021-07-13 10:22:00-04:00,79.9,79.9,79.9,79.9,2,1,159.8
2021-07-13 12:01:00-04:00,79.92,79.92,79.92,79.92,1,1,79.92
2021-07-13 13:47:00-04:00,79.88,79.88,79.88,79.88,2,1,159.76
2021-07-13 15:11:00-04:00,79.865,79.865,79.865,79.865,1,1,79.865
