,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty
,open,high,low,close,volume,num_trds,value
2021-05-12 20:00:00-04:00,1639.75,1642.75,1639.25,1641.5,723,168,1186059.25
2021-05-12 20:01:00-04:00,1641.5,1642.25,1641.25,1642.0,185,78,303740.75
2021-05-12 20:02:00-04:00,1642.25,1643.5,1640.75,1641.75,235,97,385949.75
2021-05-12 20:03:00-04:00,1641.75,1643.25,1641.75,1643.0,50,29,82141.25
2021-05-12 20:04:00-04:00,1642.75,1645.25,1642.75,1644.0,86,39,141403.5
2021-05-12 20:05:00-04:00,1644.0,1644.0,1641.5,1642.0,59,41,96919.25
2021-05-12 20:06:00-04:00,1641.75,1642.0,1639.75,1640.75,64,47,105003.5
2021-05-12 20:07:00-04:00,1641.0,1641.0,1640.0,1640.25,30,20,49214.0
2021-05-12 20:08:00-04:00,1640.25,1641.0,1639.75,1639.75,109,26,178772.5
2021-05-12 20:09:00-04:00,1640.0,1640.25,1639.25,1640.25,94,39,154130.25
2021-05-12 20:10:00-04:00,1640.25,1640.5,1637.0,1638.25,141,53,230961.0
2021-05-12 20:11:00-04:00,1638.0,1638.25,1637.25,1637.75,69,34,112998.25
2021-05-12 20:12:00-04:00,1637.75,1638.0,1636.5,1637.0,81,49,132612.25
2021-05-12 20:13:00-04:00,1636.75,1638.0,1636.5,1636.5,33,26,54030.75
2021-05-12 20:14:00-04:00,1637.0,1637.5,1636.5,1636.75,66,33,108036.0
2021-05-12 20:15:00-04:00,1636.5,1636.75,1635.5,1636.25,201,74,328821.5
2021-05-12 20:16:00-04:00,1636.75,1637.0,1635.5,1635.75,119,33,194685.25
2021-05-12 20:17:00-04:00,1636.0,1636.25,1635.5,1635.5,126,28,206124.75
2021-05-12 20:18:00-04:00,1636.25,1636.25,1635.5,1635.5,28,17,45802.0
2021-05-12 20:19:00-04:00,1635.75,1637.75,1635.75,1637.25,137,34,224189.5
2021-05-12 20:20:00-04:00,1637.25,1637.25,1636.0,1636.25,51,22,83469.0
2021-05-12 20:21:00-04:00,1636.0,1636.5,1635.75,1636.0,33,16,53991.0
2021-05-12 20:22:00-04:00,1636.25,1636.5,1635.75,1636.0,112,30,183249.25
2021-05-12 20:23:00-04:00,1636.25,1636.25,1635.5,1635.75,86,37,140685.25
2021-05-12 20:24:00-04:00,1635.5,1635.75,1635.0,1635.5,651,92,1064446.75
2021-05-12 20:25:00-04:00,1635.75,1635.75,1634.5,1634.75,158,66,258322.25
2021-05-12 20:26:00-04:00,1634.5,1637.5,1634.5,1636.75,159,53,260189.0
2021-05-12 20:27:00-04:00,1636.75,1637.0,1634.5,1634.75,92,29,150463.5
2021-05-12 20:28:00-04:00,1634.75,1634.75,1633.5,1633.5,62,32,101299.75
