,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-23 22:12:00-04:00,78.975,78.975,78.975,78.975,1,1,78.975
2021-09-24 04:48:00-04:00,78.85,78.85,78.85,78.85,1,1,78.85
2021-09-24 04:50:00-04:00,78.89,78.89,78.89,78.89,2,2,157.78
2021-09-24 05:36:00-04:00,78.84,78.84,78.84,78.84,4,1,315.36
2021-09-24 06:25:00-04:00,78.92,78.92,78.92,78.92,1,1,78.92
2021-09-24 09:24:00-04:00,78.69,78.69,78.68,78.68,2,2,157.37
2021-09-24 10:04:00-04:00,78.86,78.865,78.86,78.865,4,2,315.455
2021-09-24 10:43:00-04:00,78.79,78.79,78.79,78.79,1,1,78.79
2021-09-24 11:08:00-04:00,78.8,78.8,78.8,78.8,1,1,78.8
2021-09-24 12:31:00-04:00,78.985,78.985,78.985,78.985,1,1,78.985
2021-09-24 12:35:00-04:00,78.99,78.99,78.99,78.99,1,1,78.99
2021-09-24 13:00:00-04:00,78.96,78.96,78.96,78.96,2,1,157.92
2021-09-24 13:10:00-04:00,78.98,78.98,78.98,78.98,1,1,78.98
2021-09-24 13:42:00-04:00,79.015,79.02,79.0,79.0,12,3,948.075
2021-09-24 13:43:00-04:00,79.0,79.0,79.0,79.0,1,1,79.0
2021-09-24 14:11:00-04:00,78.94,78.94,78.94,78.94,4,1,315.76
2021-09-24 14:47:00-04:00,79.0,79.005,79.0,79.005,4,2,316.005
2021-09-24 14:48:00-04:00,78.99,78.99,78.99,78.99,8,1,631.92
2021-09-24 15:55:00-04:00,78.99,78.99,78.99,78.99,4,1,315.96
