,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty
,open,high,low,close,volume,num_trds,value
2021-06-21 20:00:00-04:00,1330.0,1332.75,1328.75,1332.75,11,9,14631.75
2021-06-21 20:01:00-04:00,1333.0,1333.0,1331.0,1331.0,19,14,25313.75
2021-06-21 20:02:00-04:00,1331.5,1331.75,1331.5,1331.75,2,2,2663.25
2021-06-21 20:03:00-04:00,1334.0,1335.25,1333.5,1335.0,21,12,28028.75
2021-06-21 20:04:00-04:00,1335.0,1335.25,1335.0,1335.25,4,4,5340.5
2021-06-21 20:05:00-04:00,1335.25,1336.0,1335.25,1335.75,20,16,26713.5
2021-06-21 20:06:00-04:00,1335.0,1335.0,1334.5,1334.5,3,3,4004.5
2021-06-21 20:07:00-04:00,1335.0,1335.0,1334.75,1334.75,2,2,2669.75
2021-06-21 20:08:00-04:00,1333.25,1333.5,1333.25,1333.25,5,4,6666.5
2021-06-21 20:09:00-04:00,1332.75,1332.75,1332.5,1332.75,4,4,5330.75
2021-06-21 20:10:00-04:00,1332.0,1332.0,1332.0,1332.0,1,1,1332.0
2021-06-21 20:11:00-04:00,1331.0,1331.75,1331.0,1331.0,4,4,5325.5
2021-06-21 20:12:00-04:00,1331.25,1333.5,1331.25,1333.0,4,4,5331.25
2021-06-21 20:14:00-04:00,1332.75,1333.5,1332.75,1333.5,3,3,3999.25
2021-06-21 20:21:00-04:00,1335.25,1335.25,1335.25,1335.25,1,1,1335.25
2021-06-21 20:22:00-04:00,1334.0,1334.0,1332.75,1332.75,13,8,17337.0
2021-06-21 20:24:00-04:00,1331.75,1331.75,1331.5,1331.5,6,3,7989.25
2021-06-21 20:26:00-04:00,1331.25,1331.25,1331.25,1331.25,1,1,1331.25
2021-06-21 20:27:00-04:00,1331.0,1331.0,1331.0,1331.0,1,1,1331.0
2021-06-21 20:34:00-04:00,1330.0,1330.0,1330.0,1330.0,1,1,1330.0
2021-06-21 20:35:00-04:00,1329.75,1329.75,1329.75,1329.75,1,1,1329.75
2021-06-21 20:37:00-04:00,1331.0,1331.0,1331.0,1331.0,1,1,1331.0
2021-06-21 20:38:00-04:00,1331.5,1331.5,1331.25,1331.25,5,2,6656.5
2021-06-21 20:39:00-04:00,1331.25,1331.5,1331.25,1331.5,5,2,6656.75
2021-06-21 20:40:00-04:00,1331.75,1331.75,1330.75,1330.75,2,2,2662.5
2021-06-21 20:41:00-04:00,1330.5,1330.5,1330.0,1330.5,12,5,15963.0
2021-06-21 20:42:00-04:00,1328.5,1328.5,1328.25,1328.25,4,2,5313.25
2021-06-21 20:44:00-04:00,1327.5,1327.5,1327.5,1327.5,1,1,1327.5
2021-06-21 20:46:00-04:00,1328.25,1328.5,1328.25,1328.5,7,2,9299.25
2021-06-21 20:47:00-04:00,1328.25,1328.5,1328.25,1328.5,4,2,5313.75
2021-06-21 20:48:00-04:00,1328.75,1329.5,1328.75,1329.5,8,6,10633.0
2021-06-21 20:49:00-04:00,1328.75,1328.75,1328.75,1328.75,6,2,7972.5
2021-06-21 20:51:00-04:00,1329.25,1329.25,1329.25,1329.25,10,1,13292.5
2021-06-21 20:53:00-04:00,1329.0,1329.0,1329.0,1329.0,1,1,1329.0
2021-06-21 21:00:00-04:00,1326.25,1326.25,1324.75,1324.75,14,8,18555.5
2021-06-21 21:01:00-04:00,1324.25,1324.5,1324.0,1324.0,6,6,7945.5
2021-06-21 21:02:00-04:00,1324.0,1324.25,1323.75,1324.25,11,8,14563.75
2021-06-21 21:04:00-04:00,1323.0,1323.0,1322.75,1322.75,4,2,5291.75
2021-06-21 21:06:00-04:00,1322.25,1322.25,1322.25,1322.25,1,1,1322.25
2021-06-21 21:07:00-04:00,1322.0,1322.0,1322.0,1322.0,1,1,1322.0
2021-06-21 21:08:00-04:00,1322.25,1322.25,1322.0,1322.25,5,3,6611.0
2021-06-21 21:09:00-04:00,1321.75,1321.75,1321.75,1321.75,2,1,2643.5
2021-06-21 21:11:00-04:00,1321.75,1322.0,1321.75,1322.0,4,3,5287.25
2021-06-21 21:13:00-04:00,1321.5,1321.5,1321.25,1321.25,4,3,5285.5
2021-06-21 21:15:00-04:00,1321.25,1321.25,1321.25,1321.25,1,1,1321.25
2021-06-21 21:16:00-04:00,1322.75,1323.0,1322.75,1323.0,5,4,6614.75
2021-06-21 21:17:00-04:00,1322.25,1322.25,1322.25,1322.25,1,1,1322.25
2021-06-21 21:20:00-04:00,1322.25,1322.25,1322.25,1322.25,3,3,3966.75
2021-06-21 21:22:00-04:00,1322.75,1322.75,1322.75,1322.75,2,2,2645.5
2021-06-21 21:29:00-04:00,1321.5,1321.5,1321.5,1321.5,1,1,1321.5
2021-06-21 21:36:00-04:00,1320.5,1320.5,1320.5,1320.5,1,1,1320.5
2021-06-21 21:41:00-04:00,1320.0,1320.0,1320.0,1320.0,6,4,7920.0
2021-06-21 21:44:00-04:00,1319.75,1319.75,1319.75,1319.75,1,1,1319.75
2021-06-21 21:45:00-04:00,1319.75,1319.75,1319.75,1319.75,1,1,1319.75
