,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty,S Q1 Comdty
,open,high,low,close,volume,num_trds,value
2021-07-15 20:00:00-04:00,1449.5,1450.25,1444.0,1445.0,439,114,635531.5
2021-07-15 20:01:00-04:00,1446.25,1448.5,1446.0,1448.5,7,7,10126.75
2021-07-15 20:02:00-04:00,1448.75,1449.0,1448.75,1449.0,2,2,2897.75
2021-07-15 20:03:00-04:00,1449.25,1449.25,1448.75,1448.75,7,5,10143.25
2021-07-15 20:04:00-04:00,1448.75,1448.75,1447.25,1447.5,19,13,27516.5
2021-07-15 20:05:00-04:00,1448.25,1449.25,1448.25,1449.25,10,7,14488.25
2021-07-15 20:06:00-04:00,1449.0,1449.0,1447.75,1447.75,9,8,13035.75
2021-07-15 20:07:00-04:00,1448.0,1448.0,1448.0,1448.0,1,1,1448.0
2021-07-15 20:08:00-04:00,1448.25,1448.25,1448.25,1448.25,1,1,1448.25
2021-07-15 20:09:00-04:00,1449.0,1449.0,1447.25,1447.25,7,6,10134.5
2021-07-15 20:10:00-04:00,1447.5,1447.75,1447.5,1447.5,4,4,5790.25
2021-07-15 20:11:00-04:00,1447.0,1447.5,1446.75,1447.0,23,8,33282.25
2021-07-15 20:12:00-04:00,1447.75,1447.75,1446.5,1446.5,43,10,62215.75
2021-07-15 20:14:00-04:00,1446.75,1446.75,1446.5,1446.5,22,11,31827.25
2021-07-15 20:15:00-04:00,1446.75,1446.75,1446.5,1446.5,10,9,14466.25
2021-07-15 20:16:00-04:00,1446.5,1446.5,1445.5,1445.5,29,16,41938.75
2021-07-15 20:17:00-04:00,1446.0,1446.0,1446.0,1446.0,6,5,8676.0
2021-07-15 20:18:00-04:00,1446.25,1446.25,1446.25,1446.25,1,1,1446.25
2021-07-15 20:19:00-04:00,1445.75,1445.75,1445.25,1445.25,2,2,2891.0
2021-07-15 20:21:00-04:00,1444.5,1444.75,1444.25,1444.75,21,3,30332.5
2021-07-15 20:22:00-04:00,1445.0,1445.0,1444.75,1444.75,8,5,11558.75
2021-07-15 20:23:00-04:00,1445.0,1445.0,1445.0,1445.0,2,2,2890.0
2021-07-15 20:24:00-04:00,1445.25,1446.0,1445.25,1446.0,6,4,8673.75
2021-07-15 20:25:00-04:00,1445.75,1445.75,1445.25,1445.25,3,3,4336.75
2021-07-15 20:27:00-04:00,1445.25,1445.25,1445.25,1445.25,1,1,1445.25
2021-07-15 20:28:00-04:00,1445.25,1445.5,1445.0,1445.5,5,4,7226.0
2021-07-15 20:29:00-04:00,1445.75,1445.75,1445.75,1445.75,3,2,4337.25
2021-07-15 20:30:00-04:00,1445.5,1446.0,1445.5,1446.0,3,3,4337.25
2021-07-15 20:31:00-04:00,1446.25,1446.25,1446.25,1446.25,5,5,7231.25
2021-07-15 20:32:00-04:00,1446.0,1446.0,1446.0,1446.0,1,1,1446.0
2021-07-15 20:34:00-04:00,1446.25,1446.25,1446.25,1446.25,7,6,10123.75
2021-07-15 20:35:00-04:00,1446.25,1446.25,1446.0,1446.25,6,5,8677.25
