,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-29 18:56:00-04:00,80.645,80.645,80.645,80.645,2,1,161.29
2021-06-30 02:10:00-04:00,80.675,80.675,80.675,80.675,2,1,161.35
2021-06-30 04:42:00-04:00,80.535,80.535,80.525,80.525,3,2,241.585
2021-06-30 08:32:00-04:00,80.745,80.745,80.74,80.74,2,2,161.485
2021-06-30 08:48:00-04:00,80.74,80.74,80.74,80.74,2,1,161.48
2021-06-30 09:19:00-04:00,80.665,80.665,80.665,80.665,4,1,322.66
2021-06-30 10:58:00-04:00,80.69,80.695,80.69,80.695,2,2,161.385
2021-06-30 12:42:00-04:00,80.51,80.51,80.51,80.51,1,1,80.51
2021-06-30 12:55:00-04:00,80.61,80.615,80.61,80.615,2,2,161.225
