,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty,S H22 Comdty
,open,high,low,close,volume,num_trds,value
2021-09-23 20:00:00-04:00,1296.5,1297.0,1295.75,1296.5,21,16,27225.0
2021-09-23 20:01:00-04:00,1295.5,1295.75,1295.5,1295.5,4,3,5182.25
2021-09-23 20:02:00-04:00,1296.0,1296.0,1296.0,1296.0,1,1,1296.0
2021-09-23 20:04:00-04:00,1295.0,1295.0,1295.0,1295.0,2,2,2590.0
2021-09-23 20:06:00-04:00,1295.25,1295.25,1295.25,1295.25,5,3,6476.25
2021-09-23 20:08:00-04:00,1294.75,1294.75,1294.75,1294.75,1,1,1294.75
2021-09-23 20:12:00-04:00,1295.75,1295.75,1295.75,1295.75,3,1,3887.25
2021-09-23 20:13:00-04:00,1295.25,1295.25,1295.25,1295.25,1,1,1295.25
2021-09-23 20:16:00-04:00,1296.0,1296.0,1296.0,1296.0,1,1,1296.0
2021-09-23 20:17:00-04:00,1296.0,1296.0,1296.0,1296.0,1,1,1296.0
2021-09-23 20:18:00-04:00,1296.0,1296.0,1296.0,1296.0,1,1,1296.0
2021-09-23 20:27:00-04:00,1295.5,1295.5,1295.5,1295.5,2,2,2591.0
2021-09-23 20:36:00-04:00,1295.75,1295.75,1295.75,1295.75,2,1,2591.5
2021-09-23 20:37:00-04:00,1295.75,1295.75,1295.75,1295.75,1,1,1295.75
2021-09-23 20:38:00-04:00,1296.0,1296.0,1296.0,1296.0,1,1,1296.0
2021-09-23 20:42:00-04:00,1295.5,1295.5,1295.5,1295.5,2,2,2591.0
2021-09-23 20:59:00-04:00,1296.0,1296.0,1296.0,1296.0,1,1,1296.0
2021-09-23 21:04:00-04:00,1295.25,1295.25,1295.25,1295.25,1,1,1295.25
2021-09-23 21:09:00-04:00,1295.75,1295.75,1295.75,1295.75,5,1,6478.75
2021-09-23 21:11:00-04:00,1295.75,1295.75,1295.75,1295.75,4,2,5183.0
2021-09-23 21:21:00-04:00,1296.0,1296.0,1296.0,1296.0,2,1,2592.0
2021-09-23 21:24:00-04:00,1297.0,1297.0,1297.0,1297.0,2,1,2594.0
2021-09-23 21:25:00-04:00,1297.75,1298.0,1297.75,1297.75,7,4,9084.75
