,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-08-03 20:39:00-04:00,79.705,79.705,79.705,79.705,1,1,79.705
2021-08-03 20:54:00-04:00,79.685,79.685,79.685,79.685,1,1,79.685
2021-08-03 21:15:00-04:00,79.705,79.705,79.705,79.705,1,1,79.705
2021-08-03 22:02:00-04:00,79.8,79.8,79.8,79.8,2,2,159.6
2021-08-04 00:21:00-04:00,79.84,79.84,79.84,79.84,1,1,79.84
2021-08-04 01:42:00-04:00,79.75,79.75,79.75,79.75,1,1,79.75
2021-08-04 07:57:00-04:00,79.69,79.69,79.69,79.69,3,1,239.07
2021-08-04 08:26:00-04:00,79.695,79.695,79.695,79.695,3,2,239.085
2021-08-04 09:15:00-04:00,79.73,79.73,79.73,79.73,6,1,478.38
2021-08-04 09:24:00-04:00,79.695,79.695,79.695,79.695,3,1,239.085
2021-08-04 09:55:00-04:00,79.85,79.85,79.85,79.85,4,2,319.4
2021-08-04 09:57:00-04:00,79.8,79.8,79.8,79.8,3,1,239.4
2021-08-04 10:20:00-04:00,79.7,79.7,79.7,79.7,1,1,79.7
2021-08-04 10:22:00-04:00,79.68,79.68,79.68,79.68,3,1,239.04
