,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-19 01:41:00-04:00,79.09,79.09,79.09,79.09,1,1,79.09
2021-07-19 02:47:00-04:00,79.05,79.05,79.05,79.05,1,1,79.05
2021-07-19 02:52:00-04:00,78.965,78.965,78.96,78.96,6,4,473.775
2021-07-19 04:11:00-04:00,78.72,78.72,78.72,78.72,2,1,157.44
2021-07-19 04:13:00-04:00,78.745,78.745,78.745,78.745,13,1,1023.685
2021-07-19 04:14:00-04:00,78.745,78.745,78.745,78.745,27,5,2126.115
2021-07-19 04:59:00-04:00,78.525,78.525,78.525,78.525,1,1,78.525
2021-07-19 05:17:00-04:00,78.26,78.26,78.26,78.26,1,1,78.26
2021-07-19 05:48:00-04:00,78.355,78.355,78.355,78.355,1,1,78.355
2021-07-19 05:52:00-04:00,78.34,78.34,78.34,78.34,1,1,78.34
2021-07-19 06:10:00-04:00,78.24,78.24,78.24,78.24,1,1,78.24
2021-07-19 06:12:00-04:00,78.1,78.1,78.1,78.1,1,1,78.1
2021-07-19 06:13:00-04:00,78.15,78.15,78.15,78.15,1,1,78.15
2021-07-19 07:24:00-04:00,78.345,78.345,78.345,78.345,1,1,78.345
2021-07-19 07:37:00-04:00,78.315,78.315,78.315,78.315,1,1,78.315
2021-07-19 09:22:00-04:00,78.41,78.41,78.41,78.41,1,1,78.41
2021-07-19 11:16:00-04:00,78.38,78.38,78.38,78.38,1,1,78.38
2021-07-19 11:53:00-04:00,78.415,78.415,78.415,78.415,2,1,156.83
2021-07-19 12:38:00-04:00,78.325,78.325,78.325,78.325,1,1,78.325
