,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy,CDN1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-07 18:52:00-04:00,82.74,82.74,82.74,82.74,5,1,413.7
2021-06-07 20:33:00-04:00,82.77,82.77,82.77,82.77,5,1,413.85
2021-06-07 23:35:00-04:00,82.72,82.72,82.72,82.72,1,1,82.72
2021-06-08 00:13:00-04:00,82.72,82.72,82.72,82.72,5,1,413.6
2021-06-08 02:06:00-04:00,82.74,82.74,82.74,82.74,5,1,413.7
2021-06-08 03:41:00-04:00,82.7,82.7,82.7,82.7,5,1,413.5
2021-06-08 03:52:00-04:00,82.725,82.725,82.725,82.725,5,1,413.625
2021-06-08 08:42:00-04:00,82.77,82.77,82.77,82.77,1,1,82.77
2021-06-08 09:52:00-04:00,82.685,82.685,82.685,82.685,5,1,413.425
2021-06-08 10:18:00-04:00,82.665,82.665,82.665,82.665,1,1,82.665
2021-06-08 10:48:00-04:00,82.76,82.76,82.76,82.76,1,1,82.76
2021-06-08 11:13:00-04:00,82.73,82.73,82.73,82.73,1,1,82.73
2021-06-08 12:22:00-04:00,82.595,82.595,82.595,82.595,1,1,82.595
2021-06-08 13:33:00-04:00,82.56,82.56,82.56,82.56,1,1,82.56
2021-06-08 14:35:00-04:00,82.535,82.535,82.535,82.535,5,1,412.675
