,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy,CDM1 Curncy
,open,high,low,close,volume,num_trds,value
2021-06-07 18:00:00-04:00,82.76,82.77,82.745,82.76,272,41,22509.329
2021-06-07 18:01:00-04:00,82.76,82.76,82.755,82.755,24,9,1986.135
2021-06-07 18:02:00-04:00,82.76,82.76,82.76,82.76,1,1,82.76
2021-06-07 18:04:00-04:00,82.76,82.76,82.76,82.76,6,3,496.56
2021-06-07 18:05:00-04:00,82.76,82.76,82.755,82.755,11,4,910.32
2021-06-07 18:07:00-04:00,82.76,82.765,82.76,82.765,3,2,248.29
2021-06-07 18:09:00-04:00,82.765,82.765,82.76,82.76,17,3,1406.95
2021-06-07 18:10:00-04:00,82.755,82.755,82.755,82.755,2,1,165.51
2021-06-07 18:11:00-04:00,82.76,82.76,82.76,82.76,2,2,165.52
2021-06-07 18:12:00-04:00,82.755,82.765,82.755,82.765,26,8,2151.71
2021-06-07 18:13:00-04:00,82.765,82.765,82.76,82.76,5,2,413.805
2021-06-07 18:16:00-04:00,82.755,82.755,82.75,82.75,54,6,4468.65
2021-06-07 18:18:00-04:00,82.75,82.75,82.75,82.75,1,1,82.75
2021-06-07 18:19:00-04:00,82.745,82.745,82.745,82.745,19,4,1572.155
2021-06-07 18:20:00-04:00,82.745,82.745,82.74,82.74,4,2,330.965
2021-06-07 18:22:00-04:00,82.745,82.745,82.74,82.745,18,6,1489.39
2021-06-07 18:23:00-04:00,82.74,82.745,82.74,82.745,5,2,413.705
2021-06-07 18:24:00-04:00,82.75,82.75,82.75,82.75,1,1,82.75
2021-06-07 18:26:00-04:00,82.745,82.745,82.745,82.745,3,1,248.235
2021-06-07 18:27:00-04:00,82.74,82.74,82.74,82.74,41,4,3392.34
2021-06-07 18:28:00-04:00,82.74,82.74,82.74,82.74,9,3,744.66
2021-06-07 18:31:00-04:00,82.74,82.74,82.74,82.74,6,3,496.44
2021-06-07 18:33:00-04:00,82.74,82.74,82.74,82.74,2,1,165.48
2021-06-07 18:34:00-04:00,82.74,82.74,82.74,82.74,12,4,992.88
2021-06-07 18:35:00-04:00,82.735,82.735,82.735,82.735,27,6,2233.845
2021-06-07 18:36:00-04:00,82.735,82.735,82.735,82.735,10,3,827.35
2021-06-07 18:37:00-04:00,82.735,82.735,82.735,82.735,1,1,82.735
2021-06-07 18:38:00-04:00,82.74,82.74,82.74,82.74,5,2,413.7
2021-06-07 18:42:00-04:00,82.74,82.74,82.74,82.74,8,4,661.92
2021-06-07 18:43:00-04:00,82.74,82.74,82.74,82.74,3,2,248.22
2021-06-07 18:46:00-04:00,82.74,82.74,82.74,82.74,4,1,330.96
2021-06-07 18:48:00-04:00,82.74,82.74,82.735,82.735,40,15,3309.405
2021-06-07 18:49:00-04:00,82.735,82.735,82.735,82.735,11,5,910.085
2021-06-07 18:52:00-04:00,82.735,82.735,82.735,82.735,13,2,1075.555
2021-06-07 18:53:00-04:00,82.735,82.735,82.735,82.735,5,5,413.675
2021-06-07 18:58:00-04:00,82.735,82.735,82.735,82.735,24,6,1985.64
2021-06-07 18:59:00-04:00,82.74,82.74,82.74,82.74,1,1,82.74
2021-06-07 19:00:00-04:00,82.74,82.74,82.735,82.735,16,16,1323.77
2021-06-07 19:01:00-04:00,82.735,82.74,82.735,82.735,13,7,1075.59
2021-06-07 19:02:00-04:00,82.735,82.74,82.735,82.74,7,7,579.155
2021-06-07 19:03:00-04:00,82.735,82.74,82.735,82.735,9,8,744.635
2021-06-07 19:04:00-04:00,82.735,82.735,82.735,82.735,5,5,413.675
2021-06-07 19:05:00-04:00,82.74,82.74,82.74,82.74,9,1,744.66
2021-06-07 19:07:00-04:00,82.74,82.74,82.74,82.74,2,1,165.48
2021-06-07 19:11:00-04:00,82.74,82.745,82.735,82.745,5,3,413.69
2021-06-07 19:12:00-04:00,82.735,82.735,82.735,82.735,1,1,82.735
2021-06-07 19:14:00-04:00,82.735,82.74,82.735,82.74,2,2,165.475
2021-06-07 19:15:00-04:00,82.735,82.735,82.735,82.735,2,1,165.47
2021-06-07 19:16:00-04:00,82.73,82.745,82.73,82.745,31,3,2564.97
2021-06-07 19:17:00-04:00,82.74,82.74,82.74,82.74,2,2,165.48
2021-06-07 19:18:00-04:00,82.735,82.735,82.735,82.735,1,1,82.735
2021-06-07 19:19:00-04:00,82.735,82.74,82.73,82.73,23,8,1902.895
2021-06-07 19:20:00-04:00,82.73,82.735,82.73,82.735,8,5,661.87
2021-06-07 19:21:00-04:00,82.735,82.735,82.735,82.735,19,3,1571.965
2021-06-07 19:22:00-04:00,82.735,82.735,82.735,82.735,2,1,165.47
2021-06-07 19:23:00-04:00,82.735,82.735,82.735,82.735,9,6,744.615
2021-06-07 19:24:00-04:00,82.735,82.735,82.735,82.735,4,3,330.94
2021-06-07 19:25:00-04:00,82.735,82.735,82.735,82.735,3,3,248.205
2021-06-07 19:26:00-04:00,82.735,82.735,82.735,82.735,2,2,165.47
2021-06-07 19:27:00-04:00,82.735,82.735,82.735,82.735,1,1,82.735
2021-06-07 19:29:00-04:00,82.735,82.735,82.735,82.735,2,2,165.47
2021-06-07 19:30:00-04:00,82.735,82.735,82.735,82.735,7,5,579.145
2021-06-07 19:31:00-04:00,82.74,82.74,82.74,82.74,5,3,413.7
2021-06-07 19:33:00-04:00,82.74,82.74,82.74,82.74,1,1,82.74
2021-06-07 19:35:00-04:00,82.74,82.745,82.74,82.745,32,4,2647.805
2021-06-07 19:36:00-04:00,82.74,82.74,82.74,82.74,1,1,82.74
2021-06-07 19:37:00-04:00,82.74,82.745,82.74,82.745,2,2,165.485
2021-06-07 19:38:00-04:00,82.74,82.74,82.74,82.74,1,1,82.74
2021-06-07 19:39:00-04:00,82.735,82.735,82.735,82.735,1,1,82.735
2021-06-07 19:40:00-04:00,82.735,82.735,82.735,82.735,1,1,82.735
2021-06-07 19:41:00-04:00,82.735,82.735,82.735,82.735,7,1,579.145
2021-06-07 19:42:00-04:00,82.74,82.74,82.74,82.74,1,1,82.74
2021-06-07 19:43:00-04:00,82.735,82.735,82.735,82.735,1,1,82.735
2021-06-07 19:44:00-04:00,82.735,82.735,82.735,82.735,6,5,496.41
2021-06-07 19:46:00-04:00,82.74,82.74,82.735,82.735,3,3,248.215
2021-06-07 19:53:00-04:00,82.735,82.735,82.73,82.73,46,11,3805.645
2021-06-07 19:54:00-04:00,82.73,82.73,82.73,82.73,29,5,2399.17
2021-06-07 19:55:00-04:00,82.73,82.73,82.73,82.73,1,1,82.73
2021-06-07 19:56:00-04:00,82.73,82.73,82.73,82.73,27,3,2233.71
2021-06-07 19:58:00-04:00,82.73,82.73,82.73,82.73,20,4,1654.6
2021-06-07 19:59:00-04:00,82.73,82.73,82.73,82.73,17,6,1406.41
2021-06-07 20:00:00-04:00,82.73,82.735,82.725,82.73,9,8,744.575
