,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-08 03:06:00-04:00,78.91,78.91,78.91,78.91,1,1,78.91
2021-09-08 03:51:00-04:00,78.86,78.86,78.86,78.86,1,1,78.86
2021-09-08 04:00:00-04:00,78.8,78.8,78.8,78.8,1,1,78.8
2021-09-08 04:11:00-04:00,78.77,78.77,78.77,78.77,2,1,157.54
2021-09-08 04:16:00-04:00,78.755,78.755,78.755,78.755,4,2,315.02
2021-09-08 04:54:00-04:00,78.85,78.85,78.85,78.85,2,1,157.7
2021-09-08 10:06:00-04:00,78.825,78.825,78.825,78.825,1,1,78.825
2021-09-08 10:31:00-04:00,78.61,78.61,78.61,78.61,3,1,235.83
2021-09-08 10:32:00-04:00,78.565,78.565,78.565,78.565,1,1,78.565
2021-09-08 10:33:00-04:00,78.535,78.535,78.535,78.535,1,1,78.535
2021-09-08 10:36:00-04:00,78.465,78.465,78.41,78.41,3,3,235.29
2021-09-08 11:07:00-04:00,78.575,78.575,78.575,78.575,3,1,235.725
