,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy,CDV1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-07 18:18:00-04:00,79.06,79.06,79.06,79.06,3,1,237.18
2021-09-07 19:27:00-04:00,79.06,79.06,79.06,79.06,1,1,79.06
2021-09-07 20:01:00-04:00,79.06,79.06,79.06,79.06,1,1,79.06
2021-09-07 21:10:00-04:00,79.105,79.105,79.105,79.105,3,1,237.315
2021-09-08 02:24:00-04:00,79.0,79.0,79.0,79.0,3,1,237.0
2021-09-08 02:25:00-04:00,78.98,78.98,78.98,78.98,2,1,157.96
2021-09-08 02:47:00-04:00,79.005,79.005,79.005,79.005,1,1,79.005
2021-09-08 02:55:00-04:00,79.01,79.01,79.01,79.01,1,1,79.01
2021-09-08 03:51:00-04:00,78.865,78.865,78.85,78.85,6,3,473.16
2021-09-08 04:00:00-04:00,78.805,78.805,78.805,78.805,2,1,157.61
2021-09-08 04:11:00-04:00,78.775,78.775,78.775,78.775,2,1,157.55
2021-09-08 04:21:00-04:00,78.72,78.72,78.72,78.72,1,1,78.72
2021-09-08 04:33:00-04:00,78.765,78.765,78.765,78.765,3,1,236.295
2021-09-08 04:54:00-04:00,78.855,78.855,78.855,78.855,3,1,236.565
2021-09-08 06:17:00-04:00,78.875,78.875,78.875,78.875,1,1,78.875
2021-09-08 06:19:00-04:00,78.875,78.875,78.875,78.875,2,1,157.75
2021-09-08 07:35:00-04:00,78.945,78.945,78.945,78.945,3,1,236.835
2021-09-08 07:37:00-04:00,78.97,78.97,78.97,78.97,1,1,78.97
2021-09-08 09:15:00-04:00,78.9,78.9,78.9,78.9,1,1,78.9
2021-09-08 09:17:00-04:00,78.875,78.875,78.875,78.875,2,1,157.75
2021-09-08 09:19:00-04:00,78.88,78.88,78.88,78.88,1,1,78.88
2021-09-08 09:48:00-04:00,78.84,78.84,78.835,78.835,2,2,157.675
2021-09-08 09:59:00-04:00,78.975,78.975,78.975,78.975,2,1,157.95
2021-09-08 10:02:00-04:00,79.0,79.0,79.0,79.0,2,1,158.0
2021-09-08 10:06:00-04:00,78.83,78.83,78.83,78.83,1,1,78.83
2021-09-08 10:24:00-04:00,78.81,78.81,78.81,78.81,2,1,157.62
2021-09-08 10:29:00-04:00,78.675,78.675,78.67,78.67,3,2,236.02
2021-09-08 10:31:00-04:00,78.615,78.615,78.615,78.615,3,1,235.845
2021-09-08 10:32:00-04:00,78.575,78.575,78.57,78.57,4,2,314.29
2021-09-08 10:33:00-04:00,78.54,78.54,78.54,78.54,2,1,157.08
2021-09-08 10:36:00-04:00,78.47,78.47,78.41,78.41,6,3,470.59
2021-09-08 10:37:00-04:00,78.415,78.415,78.37,78.37,3,2,235.155
2021-09-08 10:39:00-04:00,78.415,78.415,78.415,78.415,3,1,235.245
2021-09-08 10:52:00-04:00,78.53,78.53,78.53,78.53,1,1,78.53
2021-09-08 11:06:00-04:00,78.56,78.56,78.56,78.56,3,1,235.68
2021-09-08 11:07:00-04:00,78.58,78.58,78.58,78.58,3,1,235.74
2021-09-08 11:10:00-04:00,78.655,78.665,78.655,78.665,6,3,471.95
2021-09-08 11:12:00-04:00,78.665,78.665,78.665,78.665,4,1,314.66
2021-09-08 11:19:00-04:00,78.725,78.725,78.725,78.725,4,1,314.9
2021-09-08 11:29:00-04:00,78.75,78.75,78.75,78.75,140,24,11025.001
2021-09-08 11:36:00-04:00,78.77,78.77,78.77,78.77,1,1,78.77
2021-09-08 12:01:00-04:00,78.89,78.89,78.88,78.88,4,2,315.54
2021-09-08 12:06:00-04:00,78.925,78.925,78.925,78.925,1,1,78.925
2021-09-08 12:16:00-04:00,79.02,79.02,79.02,79.02,1,1,79.02
2021-09-08 14:16:00-04:00,78.99,78.99,78.99,78.99,3,1,236.97
2021-09-08 14:59:00-04:00,78.895,78.895,78.895,78.895,2,1,157.79
2021-09-08 15:34:00-04:00,78.86,78.86,78.86,78.86,5,1,394.3
