,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty
,open,high,low,close,volume,num_trds,value
2021-05-18 20:00:00-04:00,1576.0,1576.25,1572.5,1573.0,876,186,1379196.25
2021-05-18 20:01:00-04:00,1572.75,1572.75,1571.0,1571.25,427,77,671067.5
2021-05-18 20:02:00-04:00,1571.5,1572.0,1567.25,1568.75,612,156,960588.0
2021-05-18 20:03:00-04:00,1568.25,1568.75,1567.5,1567.75,114,42,178757.25
2021-05-18 20:04:00-04:00,1567.5,1568.5,1567.5,1567.75,102,32,159930.5
2021-05-18 20:05:00-04:00,1567.75,1567.75,1565.5,1565.5,281,65,440204.25
2021-05-18 20:06:00-04:00,1566.0,1567.75,1566.0,1567.75,94,27,147272.0
2021-05-18 20:07:00-04:00,1567.25,1567.25,1565.25,1565.25,46,20,72049.25
2021-05-18 20:08:00-04:00,1565.75,1567.5,1565.0,1566.75,180,65,281880.75
2021-05-18 20:09:00-04:00,1566.5,1567.0,1565.75,1566.0,45,21,70480.5
2021-05-18 20:10:00-04:00,1566.0,1566.25,1565.5,1565.5,34,18,53236.25
2021-05-18 20:11:00-04:00,1565.5,1566.5,1565.5,1565.75,28,18,43852.25
2021-05-18 20:12:00-04:00,1565.5,1565.5,1565.0,1565.25,105,31,164346.5
2021-05-18 20:13:00-04:00,1565.5,1565.5,1564.25,1565.5,188,40,294181.0
2021-05-18 20:14:00-04:00,1565.5,1566.5,1565.0,1566.0,60,29,93949.5
2021-05-18 20:15:00-04:00,1566.5,1566.75,1566.0,1566.25,28,21,43860.25
2021-05-18 20:16:00-04:00,1566.25,1566.75,1566.25,1566.5,53,23,83025.5
2021-05-18 20:17:00-04:00,1566.25,1566.5,1565.75,1565.75,54,16,84575.75
2021-05-18 20:18:00-04:00,1565.5,1565.5,1564.5,1565.0,57,14,89214.5
2021-05-18 20:19:00-04:00,1565.25,1565.25,1564.75,1565.0,34,11,53207.75
2021-05-18 20:20:00-04:00,1564.75,1564.75,1564.25,1564.75,40,22,62580.0
