,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy,CDQ1 Curncy
,open,high,low,close,volume,num_trds,value
2021-07-14 00:22:00-04:00,79.945,79.945,79.945,79.945,1,1,79.945
2021-07-14 00:53:00-04:00,79.945,79.945,79.945,79.945,2,1,159.89
2021-07-14 01:57:00-04:00,79.965,79.965,79.965,79.965,2,1,159.93
2021-07-14 05:32:00-04:00,79.95,79.95,79.95,79.95,1,1,79.95
2021-07-14 08:04:00-04:00,80.15,80.15,80.15,80.15,1,1,80.15
2021-07-14 08:08:00-04:00,80.17,80.17,80.17,80.17,1,1,80.17
2021-07-14 08:49:00-04:00,80.27,80.27,80.27,80.27,1,1,80.27
2021-07-14 09:55:00-04:00,80.28,80.28,80.28,80.28,1,1,80.28
2021-07-14 10:00:00-04:00,80.39,80.39,80.39,80.39,5,1,401.95
2021-07-14 10:01:00-04:00,80.06,80.06,80.06,80.06,2,1,160.12
2021-07-14 10:06:00-04:00,79.91,79.935,79.91,79.935,2,2,159.845
2021-07-14 10:07:00-04:00,79.875,79.875,79.875,79.875,1,1,79.875
2021-07-14 10:33:00-04:00,79.98,79.98,79.98,79.98,1,1,79.98
