,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty
,open,high,low,close,volume,num_trds,value
2021-07-26 20:00:00-04:00,1369.0,1374.75,1369.0,1374.25,110,58,150903.25
2021-07-26 20:01:00-04:00,1374.5,1377.0,1374.5,1376.75,107,31,147252.75
2021-07-26 20:02:00-04:00,1375.75,1375.75,1374.0,1374.25,30,14,41238.0
2021-07-26 20:03:00-04:00,1374.5,1374.5,1373.25,1374.0,4,4,5495.5
2021-07-26 20:04:00-04:00,1373.0,1375.0,1373.0,1374.5,16,10,21984.0
2021-07-26 20:05:00-04:00,1374.25,1375.25,1374.25,1375.25,6,2,8250.5
2021-07-26 20:06:00-04:00,1375.25,1375.5,1374.0,1374.0,7,4,9625.75
2021-07-26 20:07:00-04:00,1374.0,1374.25,1374.0,1374.0,6,3,8244.5
2021-07-26 20:09:00-04:00,1373.5,1373.5,1373.0,1373.0,10,3,13732.5
2021-07-26 20:10:00-04:00,1373.0,1373.75,1373.0,1373.75,11,3,15103.75
2021-07-26 20:12:00-04:00,1374.5,1374.5,1374.5,1374.5,5,2,6872.5
2021-07-26 20:13:00-04:00,1373.5,1373.5,1373.5,1373.5,5,1,6867.5
2021-07-26 20:14:00-04:00,1374.0,1374.0,1373.25,1373.25,5,3,6867.75
2021-07-26 20:15:00-04:00,1373.75,1373.75,1373.75,1373.75,1,1,1373.75
2021-07-26 20:16:00-04:00,1372.75,1372.75,1372.75,1372.75,1,1,1372.75
2021-07-26 20:19:00-04:00,1372.75,1372.75,1372.25,1372.5,21,6,28821.5
2021-07-26 20:21:00-04:00,1373.25,1373.5,1373.25,1373.5,4,4,5493.75
2021-07-26 20:22:00-04:00,1373.25,1374.5,1373.25,1374.5,7,6,9614.75
2021-07-26 20:23:00-04:00,1374.25,1374.25,1374.25,1374.25,1,1,1374.25
2021-07-26 20:24:00-04:00,1374.75,1374.75,1374.5,1374.5,3,3,4123.75
2021-07-26 20:25:00-04:00,1374.5,1374.5,1374.0,1374.0,2,2,2748.5
2021-07-26 20:26:00-04:00,1374.25,1374.25,1374.0,1374.0,4,3,5496.25
2021-07-26 20:29:00-04:00,1373.75,1373.75,1373.75,1373.75,1,1,1373.75
2021-07-26 20:30:00-04:00,1374.25,1374.25,1374.25,1374.25,1,1,1374.25
2021-07-26 20:31:00-04:00,1374.25,1374.25,1374.0,1374.0,5,5,6870.5
2021-07-26 20:33:00-04:00,1373.5,1373.5,1373.5,1373.5,1,1,1373.5
2021-07-26 20:34:00-04:00,1373.75,1373.75,1373.75,1373.75,1,1,1373.75
2021-07-26 20:35:00-04:00,1373.5,1373.5,1373.5,1373.5,2,1,2747.0
2021-07-26 20:36:00-04:00,1374.0,1374.0,1374.0,1374.0,11,1,15114.0
2021-07-26 20:37:00-04:00,1373.75,1373.75,1373.75,1373.75,1,1,1373.75
2021-07-26 20:38:00-04:00,1374.0,1374.0,1374.0,1374.0,1,1,1374.0
2021-07-26 20:42:00-04:00,1373.75,1373.75,1373.5,1373.5,2,2,2747.25
2021-07-26 20:54:00-04:00,1372.25,1372.25,1372.25,1372.25,2,1,2744.5
2021-07-26 20:55:00-04:00,1372.25,1372.5,1372.25,1372.5,4,3,5489.25
2021-07-26 20:57:00-04:00,1372.25,1372.25,1372.25,1372.25,1,1,1372.25
2021-07-26 21:00:00-04:00,1372.0,1372.0,1371.5,1371.5,5,4,6859.0
2021-07-26 21:01:00-04:00,1371.25,1372.0,1371.25,1372.0,6,3,8231.0
2021-07-26 21:02:00-04:00,1370.75,1370.75,1370.75,1370.75,3,3,4112.25
2021-07-26 21:03:00-04:00,1370.75,1370.75,1369.0,1369.0,13,8,17804.0
2021-07-26 21:04:00-04:00,1369.5,1370.0,1369.5,1370.0,4,3,5478.5
2021-07-26 21:06:00-04:00,1371.75,1372.0,1371.75,1372.0,3,3,4115.75
2021-07-26 21:13:00-04:00,1371.75,1371.75,1371.75,1371.75,1,1,1371.75
2021-07-26 21:14:00-04:00,1372.5,1372.5,1372.5,1372.5,2,2,2745.0
2021-07-26 21:19:00-04:00,1371.25,1371.25,1371.25,1371.25,1,1,1371.25
2021-07-26 21:22:00-04:00,1371.75,1371.75,1371.75,1371.75,1,1,1371.75
2021-07-26 21:23:00-04:00,1372.0,1372.0,1372.0,1372.0,2,2,2744.0
2021-07-26 21:25:00-04:00,1371.75,1372.25,1371.25,1371.25,5,5,6858.75
2021-07-26 21:34:00-04:00,1372.25,1372.25,1372.25,1372.25,1,1,1372.25
2021-07-26 21:36:00-04:00,1372.25,1372.25,1372.25,1372.25,1,1,1372.25
2021-07-26 21:38:00-04:00,1372.75,1373.0,1372.5,1372.5,5,3,6864.25
2021-07-26 21:43:00-04:00,1372.75,1372.75,1372.5,1372.5,2,2,2745.25
2021-07-26 21:47:00-04:00,1372.25,1372.25,1372.25,1372.25,1,1,1372.25
