,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty,S U1 Comdty
,open,high,low,close,volume,num_trds,value
2021-06-06 20:00:00-04:00,1487.25,1497.75,1485.75,1496.75,72,42,107192.5
2021-06-06 20:01:00-04:00,1499.75,1500.5,1498.25,1498.25,19,8,28488.75
2021-06-06 20:02:00-04:00,1498.25,1498.25,1498.25,1498.25,6,1,8989.5
2021-06-06 20:03:00-04:00,1502.75,1505.5,1502.75,1505.5,11,5,16551.75
2021-06-06 20:04:00-04:00,1505.25,1505.25,1505.25,1505.25,4,3,6021.0
2021-06-06 20:05:00-04:00,1505.25,1506.5,1505.25,1506.5,7,3,10542.25
2021-06-06 20:07:00-04:00,1510.25,1510.75,1507.75,1507.75,12,5,18109.5
2021-06-06 20:08:00-04:00,1507.0,1507.0,1507.0,1507.0,1,1,1507.0
2021-06-06 20:09:00-04:00,1506.75,1507.25,1506.0,1507.0,13,7,19589.75
2021-06-06 20:10:00-04:00,1505.0,1505.0,1505.0,1505.0,2,2,3010.0
2021-06-06 20:11:00-04:00,1504.25,1504.25,1503.0,1503.0,5,2,7516.25
2021-06-06 20:12:00-04:00,1500.75,1500.75,1500.25,1500.25,3,3,4501.5
2021-06-06 20:13:00-04:00,1500.25,1500.25,1500.25,1500.25,1,1,1500.25
2021-06-06 20:14:00-04:00,1500.5,1500.5,1500.0,1500.0,5,3,7502.0
2021-06-06 20:15:00-04:00,1500.0,1500.25,1499.0,1499.0,30,15,44995.25
2021-06-06 20:18:00-04:00,1499.25,1499.5,1499.25,1499.5,2,2,2998.75
2021-06-06 20:19:00-04:00,1499.25,1499.25,1499.25,1499.25,3,3,4497.75
2021-06-06 20:20:00-04:00,1497.75,1497.75,1497.25,1497.25,6,3,8986.0
2021-06-06 20:21:00-04:00,1496.75,1496.75,1496.75,1496.75,3,1,4490.25
2021-06-06 20:23:00-04:00,1496.25,1497.5,1496.25,1497.5,11,4,16468.0
2021-06-06 20:24:00-04:00,1498.0,1498.0,1498.0,1498.0,3,1,4494.0
2021-06-06 20:25:00-04:00,1499.0,1499.0,1499.0,1499.0,4,2,5996.0
2021-06-06 20:26:00-04:00,1499.25,1499.25,1499.25,1499.25,1,1,1499.25
2021-06-06 20:28:00-04:00,1498.75,1498.75,1498.75,1498.75,2,1,2997.5
2021-06-06 20:29:00-04:00,1499.5,1499.75,1499.5,1499.75,2,2,2999.25
2021-06-06 20:30:00-04:00,1500.75,1500.75,1500.5,1500.5,3,2,4502.0
2021-06-06 20:33:00-04:00,1501.0,1501.0,1501.0,1501.0,1,1,1501.0
2021-06-06 20:35:00-04:00,1500.0,1500.0,1500.0,1500.0,1,1,1500.0
2021-06-06 20:36:00-04:00,1499.5,1499.5,1499.5,1499.5,4,4,5998.0
2021-06-06 20:37:00-04:00,1499.75,1500.0,1499.75,1500.0,2,2,2999.75
2021-06-06 20:38:00-04:00,1500.75,1501.25,1500.75,1501.25,14,8,21014.0
