,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty
,open,high,low,close,volume,num_trds,value
2021-06-06 20:00:00-04:00,1409.25,1423.0,1409.25,1423.0,144,67,203337.25
2021-06-06 20:01:00-04:00,1422.25,1424.0,1421.75,1422.75,22,19,31300.0
2021-06-06 20:02:00-04:00,1421.75,1426.0,1421.75,1426.0,8,6,11389.5
2021-06-06 20:03:00-04:00,1426.25,1429.25,1426.0,1428.5,20,14,28564.5
2021-06-06 20:04:00-04:00,1428.25,1428.25,1428.25,1428.25,1,1,1428.25
2021-06-06 20:05:00-04:00,1429.5,1430.5,1429.5,1430.5,2,2,2860.0
2021-06-06 20:06:00-04:00,1433.25,1433.5,1433.0,1433.5,3,3,4299.75
2021-06-06 20:10:00-04:00,1428.0,1428.0,1428.0,1428.0,3,3,4284.0
2021-06-06 20:11:00-04:00,1427.25,1427.5,1426.0,1426.0,5,4,7135.75
2021-06-06 20:12:00-04:00,1424.75,1424.75,1423.5,1423.75,11,7,15663.0
2021-06-06 20:13:00-04:00,1423.25,1423.25,1423.25,1423.25,42,31,59776.5
2021-06-06 20:14:00-04:00,1424.5,1424.5,1424.5,1424.5,6,2,8547.0
2021-06-06 20:15:00-04:00,1423.0,1423.25,1420.5,1422.0,9,7,12798.25
2021-06-06 20:16:00-04:00,1421.75,1421.75,1421.75,1421.75,1,1,1421.75
2021-06-06 20:17:00-04:00,1421.5,1421.5,1421.5,1421.5,1,1,1421.5
2021-06-06 20:18:00-04:00,1422.25,1422.5,1422.25,1422.5,6,2,8534.5
2021-06-06 20:20:00-04:00,1421.25,1421.25,1420.5,1420.5,6,3,8526.0
2021-06-06 20:21:00-04:00,1420.75,1420.75,1420.75,1420.75,1,1,1420.75
2021-06-06 20:23:00-04:00,1420.75,1420.75,1420.75,1420.75,2,1,2841.5
2021-06-06 20:25:00-04:00,1422.5,1422.5,1422.5,1422.5,1,1,1422.5
2021-06-06 20:29:00-04:00,1424.75,1424.75,1424.5,1424.5,13,5,18521.25
