,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty,S K22 Comdty
,open,high,low,close,volume,num_trds,value
2021-10-19 20:00:00-04:00,1254.0,1254.0,1252.0,1252.0,26,14,32579.25
2021-10-19 20:05:00-04:00,1253.25,1253.25,1253.25,1253.25,5,3,6266.25
2021-10-19 20:07:00-04:00,1252.75,1252.75,1252.75,1252.75,1,1,1252.75
2021-10-19 20:34:00-04:00,1253.25,1253.25,1253.0,1253.0,17,8,21304.75
2021-10-19 20:50:00-04:00,1254.0,1254.0,1254.0,1254.0,1,1,1254.0
2021-10-19 20:51:00-04:00,1254.0,1254.0,1254.0,1254.0,1,1,1254.0
2021-10-19 20:54:00-04:00,1253.75,1253.75,1253.75,1253.75,1,1,1253.75
2021-10-19 21:00:00-04:00,1253.75,1253.75,1253.5,1253.5,8,7,10029.0
2021-10-19 21:03:00-04:00,1252.75,1252.75,1252.75,1252.75,3,3,3758.25
2021-10-19 21:07:00-04:00,1253.5,1253.5,1253.5,1253.5,1,1,1253.5
2021-10-19 21:15:00-04:00,1254.0,1254.0,1254.0,1254.0,8,3,10032.0
2021-10-19 21:19:00-04:00,1254.25,1254.25,1254.25,1254.25,1,1,1254.25
2021-10-19 21:22:00-04:00,1254.0,1254.0,1254.0,1254.0,1,1,1254.0
2021-10-19 21:23:00-04:00,1254.5,1254.5,1254.5,1254.5,2,2,2509.0
2021-10-19 21:25:00-04:00,1254.75,1255.0,1254.75,1255.0,5,5,6274.25
2021-10-19 21:26:00-04:00,1255.25,1255.25,1255.25,1255.25,1,1,1255.25
2021-10-19 21:38:00-04:00,1254.0,1254.0,1254.0,1254.0,4,1,5016.0
2021-10-19 21:43:00-04:00,1253.75,1253.75,1253.75,1253.75,2,1,2507.5
2021-10-19 21:50:00-04:00,1254.5,1254.5,1254.5,1254.5,4,1,5018.0
2021-10-19 21:51:00-04:00,1254.5,1254.5,1254.5,1254.5,4,3,5018.0
2021-10-19 21:53:00-04:00,1254.75,1254.75,1254.75,1254.75,3,1,3764.25
2021-10-19 21:54:00-04:00,1255.0,1255.0,1254.75,1254.75,8,3,10039.75
2021-10-19 21:55:00-04:00,1254.5,1254.5,1254.5,1254.5,1,1,1254.5
2021-10-19 21:56:00-04:00,1254.5,1254.5,1254.5,1254.5,1,1,1254.5
2021-10-19 22:00:00-04:00,1254.25,1254.25,1254.25,1254.25,1,1,1254.25
2021-10-19 22:01:00-04:00,1253.75,1253.75,1253.25,1253.25,44,3,55150.25
2021-10-19 22:02:00-04:00,1253.75,1253.75,1253.75,1253.75,1,1,1253.75
2021-10-19 22:05:00-04:00,1253.75,1253.75,1253.75,1253.75,1,1,1253.75
2021-10-19 22:07:00-04:00,1253.75,1253.75,1253.75,1253.75,2,1,2507.5
2021-10-19 22:17:00-04:00,1254.25,1254.25,1254.25,1254.25,1,1,1254.25
2021-10-19 22:50:00-04:00,1254.25,1254.25,1254.25,1254.25,1,1,1254.25
2021-10-19 22:52:00-04:00,1254.25,1254.75,1254.25,1254.75,5,3,6272.5
2021-10-19 23:01:00-04:00,1255.0,1255.0,1255.0,1255.0,3,1,3765.0
2021-10-19 23:05:00-04:00,1255.75,1255.75,1255.75,1255.75,1,1,1255.75
2021-10-19 23:07:00-04:00,1256.0,1256.0,1256.0,1256.0,5,1,6280.0
2021-10-19 23:10:00-04:00,1256.25,1256.25,1256.25,1256.25,1,1,1256.25
2021-10-19 23:12:00-04:00,1256.25,1256.25,1256.25,1256.25,2,1,2512.5
2021-10-19 23:13:00-04:00,1256.5,1256.5,1256.5,1256.5,3,1,3769.5
2021-10-19 23:14:00-04:00,1256.5,1256.5,1256.5,1256.5,3,1,3769.5
2021-10-19 23:15:00-04:00,1256.25,1256.25,1256.25,1256.25,3,2,3768.75
2021-10-19 23:25:00-04:00,1256.5,1256.5,1256.5,1256.5,1,1,1256.5
2021-10-20 00:43:00-04:00,1256.5,1256.5,1256.5,1256.5,2,1,2513.0
