,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty,S N1 Comdty
,open,high,low,close,volume,num_trds,value
2021-05-10 20:00:00-04:00,1586.0,1587.0,1583.5,1585.75,284,116,450320.5
2021-05-10 20:01:00-04:00,1585.75,1587.5,1585.25,1587.5,252,117,399845.5
2021-05-10 20:02:00-04:00,1588.0,1589.75,1587.5,1588.25,138,70,219239.75
2021-05-10 20:03:00-04:00,1588.0,1588.25,1586.0,1587.5,71,29,112697.25
2021-05-10 20:04:00-04:00,1587.25,1587.5,1586.75,1586.75,27,13,42855.0
2021-05-10 20:05:00-04:00,1586.75,1587.5,1586.5,1587.5,31,18,49189.5
2021-05-10 20:06:00-04:00,1587.75,1588.0,1586.75,1586.75,31,19,49208.0
2021-05-10 20:07:00-04:00,1587.0,1588.75,1587.0,1588.5,42,16,66694.25
2021-05-10 20:08:00-04:00,1588.25,1588.25,1588.0,1588.0,12,5,19057.25
2021-05-10 20:09:00-04:00,1588.25,1589.0,1588.25,1589.0,25,10,39718.5
2021-05-10 20:10:00-04:00,1588.75,1590.75,1588.75,1590.5,90,29,143112.25
2021-05-10 20:11:00-04:00,1590.25,1591.0,1590.25,1591.0,44,25,69986.25
2021-05-10 20:12:00-04:00,1591.25,1591.25,1590.0,1590.5,49,22,77934.75
2021-05-10 20:13:00-04:00,1590.5,1591.25,1590.5,1591.0,75,8,119296.75
2021-05-10 20:14:00-04:00,1591.0,1591.5,1591.0,1591.25,19,9,30233.75
2021-05-10 20:15:00-04:00,1591.0,1591.25,1590.25,1590.5,47,25,74758.75
2021-05-10 20:16:00-04:00,1590.75,1590.75,1589.5,1590.5,37,20,58837.0
2021-05-10 20:17:00-04:00,1590.75,1591.25,1590.25,1590.75,20,8,31817.5
2021-05-10 20:18:00-04:00,1590.75,1590.75,1590.25,1590.25,13,8,20677.0
2021-05-10 20:19:00-04:00,1590.0,1590.25,1589.25,1589.25,17,9,27026.25
2021-05-10 20:20:00-04:00,1589.25,1589.75,1589.25,1589.25,8,5,12716.0
2021-05-10 20:21:00-04:00,1589.0,1589.25,1589.0,1589.25,3,3,4767.25
2021-05-10 20:22:00-04:00,1589.5,1589.5,1589.0,1589.0,11,3,17479.5
2021-05-10 20:23:00-04:00,1588.75,1588.75,1587.5,1587.75,36,17,57166.5
2021-05-10 20:24:00-04:00,1588.25,1588.25,1588.0,1588.25,16,8,25410.5
2021-05-10 20:25:00-04:00,1588.5,1588.5,1588.5,1588.5,4,3,6354.0
2021-05-10 20:26:00-04:00,1588.25,1588.25,1587.25,1588.0,32,15,50806.0
2021-05-10 20:27:00-04:00,1588.0,1588.25,1587.75,1588.25,17,6,26996.0
2021-05-10 20:28:00-04:00,1588.5,1588.5,1588.25,1588.25,4,3,6353.75
2021-05-10 20:29:00-04:00,1588.25,1588.25,1587.0,1587.25,29,12,46045.5
2021-05-10 20:30:00-04:00,1587.25,1587.5,1587.25,1587.5,7,4,11111.25
2021-05-10 20:31:00-04:00,1587.5,1587.5,1587.25,1587.25,6,3,9524.75
2021-05-10 20:32:00-04:00,1587.5,1587.5,1587.5,1587.5,4,3,6350.0
2021-05-10 20:33:00-04:00,1587.25,1587.5,1587.25,1587.25,6,5,9523.75
2021-05-10 20:34:00-04:00,1587.25,1587.5,1586.5,1586.5,17,9,26981.0
2021-05-10 20:35:00-04:00,1586.5,1586.75,1586.5,1586.75,14,10,22213.5
2021-05-10 20:36:00-04:00,1586.5,1586.5,1586.0,1586.25,20,14,31725.0
2021-05-10 20:37:00-04:00,1586.5,1587.25,1585.5,1585.5,254,39,402932.0
2021-05-10 20:38:00-04:00,1585.75,1585.75,1585.5,1585.75,14,8,22198.0
2021-05-10 20:39:00-04:00,1585.25,1586.0,1584.75,1586.0,53,21,84014.5
2021-05-10 20:40:00-04:00,1586.0,1586.0,1585.75,1585.75,9,4,14272.75
2021-05-10 20:41:00-04:00,1586.0,1586.0,1585.0,1585.5,19,12,30125.25
2021-05-10 20:42:00-04:00,1585.25,1585.25,1585.25,1585.25,8,7,12682.0
2021-05-10 20:43:00-04:00,1585.5,1585.5,1585.5,1585.5,15,4,23782.5
2021-05-10 20:44:00-04:00,1585.75,1585.75,1585.0,1585.0,8,4,12682.0
2021-05-10 20:45:00-04:00,1585.0,1585.0,1584.0,1584.5,32,16,50704.25
2021-05-10 20:46:00-04:00,1584.5,1584.5,1583.75,1583.75,28,15,44354.5
2021-05-10 20:47:00-04:00,1584.0,1584.25,1583.75,1584.25,11,8,17425.5
2021-05-10 20:48:00-04:00,1584.25,1584.5,1584.0,1584.5,12,5,19011.0
2021-05-10 20:49:00-04:00,1584.25,1584.5,1584.25,1584.5,8,6,12675.25
2021-05-10 20:50:00-04:00,1584.25,1584.25,1584.0,1584.0,4,3,6336.25
2021-05-10 20:51:00-04:00,1583.75,1583.75,1583.75,1583.75,2,1,3167.5
2021-05-10 20:52:00-04:00,1584.0,1584.0,1583.0,1583.0,57,29,90246.5
2021-05-10 20:53:00-04:00,1582.75,1582.75,1582.0,1582.0,80,37,126589.0
2021-05-10 20:54:00-04:00,1582.25,1582.25,1581.0,1581.75,86,28,136020.25
2021-05-10 20:55:00-04:00,1581.5,1582.0,1581.25,1581.75,28,12,44287.5
2021-05-10 20:56:00-04:00,1581.25,1581.5,1580.0,1580.25,226,49,357255.5
2021-05-10 20:57:00-04:00,1580.0,1580.5,1580.0,1580.25,72,23,113772.5
2021-05-10 20:58:00-04:00,1580.5,1580.75,1580.0,1580.5,212,34,334987.25
2021-05-10 20:59:00-04:00,1580.25,1580.5,1580.0,1580.0,71,28,112190.0
2021-05-10 21:00:00-04:00,1580.0,1580.0,1573.75,1575.5,863,261,1360633.0
2021-05-10 21:01:00-04:00,1575.25,1576.5,1573.25,1576.0,432,166,680236.0
2021-05-10 21:02:00-04:00,1575.75,1578.0,1575.5,1577.25,160,46,252302.5
2021-05-10 21:03:00-04:00,1577.0,1577.25,1575.0,1575.75,218,68,343556.0
2021-05-10 21:04:00-04:00,1575.5,1576.0,1575.25,1575.5,90,28,141805.75
2021-05-10 21:05:00-04:00,1575.75,1577.5,1575.5,1577.5,168,62,264804.75
2021-05-10 21:06:00-04:00,1577.25,1577.75,1577.0,1577.0,49,23,77287.5
2021-05-10 21:07:00-04:00,1576.75,1578.5,1576.75,1578.25,66,36,104157.25
2021-05-10 21:08:00-04:00,1578.25,1578.25,1576.0,1576.25,208,48,328039.0
2021-05-10 21:09:00-04:00,1576.25,1577.0,1576.0,1576.0,291,63,458795.0
2021-05-10 21:10:00-04:00,1576.0,1576.75,1575.5,1576.5,47,12,74067.75
2021-05-10 21:11:00-04:00,1576.75,1577.75,1576.5,1577.0,24,17,37853.0
2021-05-10 21:12:00-04:00,1576.75,1578.25,1576.75,1578.25,40,17,63094.75
2021-05-10 21:13:00-04:00,1578.0,1578.25,1577.0,1577.25,49,12,77293.75
2021-05-10 21:14:00-04:00,1577.5,1579.5,1577.5,1579.5,25,22,39461.0
2021-05-10 21:15:00-04:00,1579.5,1579.5,1578.75,1579.25,33,18,52108.25
2021-05-10 21:16:00-04:00,1579.5,1579.5,1579.25,1579.25,5,4,7897.25
2021-05-10 21:17:00-04:00,1579.75,1580.75,1579.75,1580.5,36,20,56885.5
2021-05-10 21:18:00-04:00,1580.25,1582.0,1580.25,1581.5,126,51,199235.25
2021-05-10 21:19:00-04:00,1581.25,1582.25,1581.25,1582.0,24,11,37957.25
2021-05-10 21:20:00-04:00,1582.25,1582.75,1582.25,1582.5,13,10,20572.0
2021-05-10 21:21:00-04:00,1582.75,1583.25,1582.75,1583.25,26,15,41157.0
2021-05-10 21:22:00-04:00,1583.25,1584.0,1583.25,1583.75,23,14,36425.5
2021-05-10 21:23:00-04:00,1583.5,1583.75,1583.5,1583.5,25,15,39589.25
2021-05-10 21:24:00-04:00,1583.25,1584.0,1583.25,1584.0,37,18,58587.25
2021-05-10 21:25:00-04:00,1584.0,1584.0,1583.25,1583.25,22,17,34839.0
2021-05-10 21:26:00-04:00,1583.0,1583.25,1582.75,1582.75,57,18,90227.5
2021-05-10 21:27:00-04:00,1582.75,1582.75,1581.0,1582.0,75,23,118640.5
2021-05-10 21:28:00-04:00,1582.0,1582.25,1581.75,1581.75,26,8,41133.5
2021-05-10 21:29:00-04:00,1581.5,1582.75,1581.5,1582.75,46,27,72773.0
2021-05-10 21:30:00-04:00,1582.75,1582.75,1581.5,1582.25,48,22,75943.5
2021-05-10 21:31:00-04:00,1582.25,1582.25,1581.75,1582.0,28,11,44294.5
2021-05-10 21:32:00-04:00,1581.75,1583.0,1581.75,1583.0,17,10,26902.5
2021-05-10 21:33:00-04:00,1582.5,1582.75,1582.5,1582.75,9,3,14243.75
2021-05-10 21:34:00-04:00,1583.0,1583.25,1583.0,1583.0,5,4,7915.75
2021-05-10 21:35:00-04:00,1582.5,1583.0,1582.5,1583.0,18,15,28487.75
2021-05-10 21:36:00-04:00,1582.75,1582.75,1582.0,1582.5,40,10,63302.0
2021-05-10 21:37:00-04:00,1582.5,1582.5,1582.25,1582.25,9,5,14241.0
