,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy,CDX1 Curncy
,open,high,low,close,volume,num_trds,value
2021-09-30 21:01:00-04:00,78.705,78.705,78.705,78.705,4,1,314.82
2021-09-30 21:17:00-04:00,78.695,78.695,78.695,78.695,4,1,314.78
2021-10-01 01:02:00-04:00,78.61,78.61,78.61,78.61,2,1,157.22
2021-10-01 05:17:00-04:00,78.765,78.765,78.765,78.765,1,1,78.765
2021-10-01 07:37:00-04:00,78.965,78.965,78.965,78.965,2,1,157.93
2021-10-01 11:13:00-04:00,78.91,78.91,78.91,78.91,3,1,236.73
2021-10-01 11:29:00-04:00,78.895,78.895,78.895,78.895,1,1,78.895
2021-10-01 12:27:00-04:00,79.045,79.045,79.045,79.045,1,1,79.045
2021-10-01 13:06:00-04:00,79.105,79.105,79.105,79.105,1,1,79.105
2021-10-01 14:00:00-04:00,79.15,79.15,79.15,79.15,1,1,79.15
2021-10-01 14:49:00-04:00,79.17,79.17,79.17,79.17,1,1,79.17
2021-10-01 14:59:00-04:00,79.14,79.14,79.14,79.14,3,1,237.42
2021-10-01 15:33:00-04:00,79.095,79.095,79.095,79.095,1,1,79.095
